"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10970","TGFB1",6.26997681639131e-15,7.86317792543635e-11,61.6187462617428,1,2359.27099301066,-1.98888965869431
"1522","SFXN5",1.78504125246106e-05,0.111931011735571,18.4818163792566,1,2359.27099301066,0.991777016484565
"12514","ZFY",5.28087043561122e-05,0.220757987110001,16.4047506221151,1,2359.27099301066,-1.62891834623746
"12006","MIEF1",7.71479300774945e-05,0.241878047775465,15.6821324059938,1,2359.27099301066,-2.44915087953241
"7518","XPOT",0.000117007414490914,0.273985626307328,14.8902500310969,1,2359.27099301066,1.19885003840048
"227","WASF2",0.000131083147902397,0.273985626307328,14.6746958459103,1,2359.27099301066,-0.484694613507908
"7408","NR4A1",0.000159048374430272,0.284946523390007,14.3081764235888,1,2359.27099301066,2.48875200940514
"11281","ZNF71",0.000290322707099954,0.432568996185974,13.1712310409816,1,2359.27099301066,1.85703408947069
"11221","CNOT3",0.000332239808514052,0.432568996185974,12.9172428700635,1,2359.27099301066,1.2289758175095
"9440","TIMM22",0.0003449238467315,0.432568996185974,12.8467377316052,1,2359.27099301066,1.4591569122372
"2996","CXCL5",0.000452288477384493,0.496773793201804,12.3375152593321,1,2359.27099301066,1.09051033176327
"12518","UTY",0.000491119687929798,0.496773793201804,12.1830062800292,1,2359.27099301066,0.496046520472791
"11310","ZNF552",0.000514955690265805,0.496773793201804,12.0941622594366,1,2359.27099301066,-3.31002577450353
"2731","ABCF3",0.00062660536807966,0.561304137220502,11.7267551255728,1,2359.27099301066,1.17431639395915
"12434","FAM122B",0.00101535808275118,0.77117722737698,10.8264015966435,1,2359.27099301066,-3.17460012025002
"6980","MRE11",0.0010925631077062,0.77117722737698,10.6901446233126,1,2359.27099301066,-1.39828177746794
"969","RC3H1",0.00118506003439644,0.77117722737698,10.5391911722694,1,2359.27099301066,-0.589471251087679
"10486","HSD11B1L",0.00131813267391292,0.77117722737698,10.3417456586359,1,2359.27099301066,2.04146992370408
"5343","SNTB1",0.00140301970908463,0.77117722737698,10.2260817072429,1,2359.27099301066,-0.56214891493403
"6634","ACP2",0.00149082202448714,0.77117722737698,10.1136782745517,1,2359.27099301066,-0.848001867374067
"2997","CXCL3",0.00153426361536173,0.77117722737698,10.0605222534291,1,2359.27099301066,0.848931189598448
"11123","ALDH16A1",0.00156210015949694,0.77117722737698,10.0272568986313,1,2359.27099301066,-1.56918706402434
"4492","MIOS",0.00157061523240294,0.77117722737698,10.0172011047438,1,2359.27099301066,0.62018505608939
"1940","IDH1",0.00158200817155672,0.77117722737698,10.0038328142649,1,2359.27099301066,-0.484709049374655
"7459","RPS26",0.00158402395072913,0.77117722737698,10.0014776958588,1,2359.27099301066,-0.33448182581511
"9593","TMEM220",0.0016240846617503,0.77117722737698,9.95529290266131,1,2359.27099301066,-10
"67","VAMP3",0.0016602970368534,0.77117722737698,9.91452794071849,1,2359.27099301066,-0.729059792057541
"4950","AGK",0.00184860554536293,0.771703073466884,9.71610645681556,1,2359.27099301066,-2.10320442445955
"12148","TXLNG",0.00187593338209974,0.771703073466884,9.68902719724002,1,2359.27099301066,1.18966565716839
"12438","RTL8B",0.00191836927124268,0.771703073466884,9.64776048093087,1,2359.27099301066,-10
"1061","CHIT1",0.00204436516664308,0.771703073466884,9.53048239457698,1,2359.27099301066,1.4865968162127
"6802","AP5B1",0.00207173165649251,0.771703073466884,9.5059802719642,1,2359.27099301066,-0.788569689527692
"4951","DENND11",0.00218547851293923,0.771703073466884,9.40754157012754,1,2359.27099301066,-1.53079510460699
"11483","NCOA6",0.0022218897071415,0.771703073466884,9.37712671858188,1,2359.27099301066,-0.658102940118178
"8621","ALDH1A2",0.00225409924121018,0.771703073466884,9.3506404003643,1,2359.27099301066,1.165368763619
"7501","TSPAN31",0.00231782109465391,0.771703073466884,9.29935463752258,1,2359.27099301066,0.963963707868794
"5090","EGR3",0.00237897211729416,0.771703073466884,9.25146667981944,1,2359.27099301066,3.04915254519514
"11497","ERGIC3",0.00239088946301632,0.771703073466884,9.24227975374239,1,2359.27099301066,0.669681017031389
"7396","SLC11A2",0.00239984210710537,0.771703073466884,9.23540881318676,1,2359.27099301066,0.66579766680709
"8289","PNMA1",0.00252147976959712,0.790546944762938,9.14455123007328,1,2359.27099301066,-10
"3827","RREB1",0.00278252189773963,0.815593904929586,8.96373547502342,1,2359.27099301066,-0.368227564445572
"8494","RASGRP1",0.00282218708253434,0.815593904929586,8.93777884245569,1,2359.27099301066,5.63338267860943
"10683","ADGRE2",0.00283054180094526,0.815593904929586,8.9323588565415,1,2359.27099301066,-0.680854074786906
"6427","PGGHG",0.00288440745630081,0.815593904929586,8.89780001238986,1,2359.27099301066,1.3132038960122
"4309","ARHGAP18",0.00292653900979438,0.815593904929586,8.87122361278058,1,2359.27099301066,-0.314104560901606
"9524","RNASEK",0.00316626830628819,0.821182457344327,8.7270387459198,1,2359.27099301066,-0.297260121981968
"4622","NIPSNAP2",0.00327011032515918,0.821182457344327,8.66799754122065,1,2359.27099301066,-0.599904589006217
"11350","SRXN1",0.00329150146489345,0.821182457344327,8.65607229603038,1,2359.27099301066,-2.95174392309003
"4869","MDFIC",0.00337594302448609,0.821182457344327,8.60975494479744,1,2359.27099301066,-0.501517978613697
"2502","POPDC2",0.0033915730682318,0.821182457344327,8.60131104190782,1,2359.27099301066,2.31943163507584
"10797","ZNF429",0.00349926136902312,0.821182457344327,8.54418837752177,1,2359.27099301066,-1.31645501493094
"1269","MBOAT2",0.00356385241382165,0.821182457344327,8.5107783529851,1,2359.27099301066,2.34354230182068
"11211","ZNF765",0.00357371074046544,0.821182457344327,8.50573334523309,1,2359.27099301066,-1.63363313559876
"10276","MOCOS",0.0035904855293845,0.821182457344327,8.49718129505665,1,2359.27099301066,2.89685199525967
"5209","ARMC1",0.00360139025228753,0.821182457344327,8.49164367549399,1,2359.27099301066,0.804329747357374
"5625","DAPK1",0.00388810366947438,0.851063993933904,8.35186191042393,1,2359.27099301066,-0.399656669348867
"2393","ABHD6",0.00391072187019985,0.851063993933904,8.34128518330171,1,2359.27099301066,-1.01273221779355
"1188","COG2",0.00402229004945047,0.851063993933904,8.29000871368654,1,2359.27099301066,0.815847353775421
"4989","GIMAP7",0.00409616058548151,0.851063993933904,8.25684880831,1,2359.27099301066,-1.31539806381535
"8910","RAB26",0.00413003455939392,0.851063993933904,8.24184618746631,1,2359.27099301066,3.56415377290121
"3891","BTN2A1",0.00413961435531203,0.851063993933904,8.2376260694167,1,2359.27099301066,-1.16948477330136
"5787","PBX3",0.00425316571860017,0.860305665757496,8.18834842707394,1,2359.27099301066,-0.552097331380688
"4947","NDUFB2",0.0043946523622547,0.874814845635494,8.12879015715953,1,2359.27099301066,-0.479444225104139
"1847","NUP35",0.00456270880872872,0.883061833681837,8.0605354935169,1,2359.27099301066,-10
"3524","DMXL1",0.00457690927273099,0.883061833681837,8.05488595441123,1,2359.27099301066,0.301337942714999
"9595","ZNF18",0.00471563006333826,0.896041160974624,8.0006184159001,1,2359.27099301066,1.43625616665818
"6663","CLP1",0.00491681870748849,0.920325722546465,7.92473807419563,1,2359.27099301066,-2.85813741079972
"3681","SPARC",0.00512000971553026,0.925856682706738,7.85125014605902,1,2359.27099301066,1.08191722933069
"7679","TCTN1",0.00518040435282919,0.925856682706738,7.82997991161761,1,2359.27099301066,-10
"2262","SETD2",0.00519428331883318,0.925856682706738,7.82512765824849,1,2359.27099301066,-0.42792148708792
"4931","TRIM24",0.00544805662982576,0.925856682706738,7.73866428810243,1,2359.27099301066,-0.93345723113758
"8455","UBE3A",0.00550705769238232,0.925856682706738,7.71915098842831,1,2359.27099301066,-0.460593361640664
"8968","ANKS3",0.00551908362518899,0.925856682706738,7.71519985630325,1,2359.27099301066,-2.85974637429034
"3962","LSM2",0.00562864427611364,0.925856682706738,7.6796030380653,1,2359.27099301066,0.67920780395263
"4003","RXRB",0.00577830870359497,0.925856682706738,7.63210263343612,1,2359.27099301066,1.09998600310767
"6071","CXCL12",0.00579965778311585,0.925856682706738,7.62542940503268,1,2359.27099301066,1.75215211951684
"3465","MEF2C",0.00592067613223623,0.925856682706738,7.5880695655081,1,2359.27099301066,-0.37045731646134
"11827","RTL10",0.00593692589415478,0.925856682706738,7.58311252617207,1,2359.27099301066,-10
"8224","SLC38A6",0.00596110085477055,0.925856682706738,7.57576345674617,1,2359.27099301066,-0.455636556296858
"9597","ELAC2",0.00598616338986021,0.925856682706738,7.56817662672918,1,2359.27099301066,-1.83334093073668
"3723","FBXW11",0.00608917424717962,0.925856682706738,7.53733054287019,1,2359.27099301066,-0.477300754262124
"12322","ATRX",0.00612707535609732,0.925856682706738,7.52611515713913,1,2359.27099301066,0.309587033810988
"11969","GGA1",0.00612758987837168,0.925856682706738,7.52596339182247,1,2359.27099301066,0.494732885939995
"11553","PABPC1L",0.00623346969213944,0.930642183441913,7.49500643313777,1,2359.27099301066,-10
"5041","MFHAS1",0.00643165876474999,0.933731052764488,7.43847754263272,1,2359.27099301066,0.562378111471458
"123","PLEKHM2",0.00647684436267342,0.933731052764488,7.42583858020695,1,2359.27099301066,0.369308982651505
"9560","TP53",0.00654493193787589,0.933731052764488,7.40696280369333,1,2359.27099301066,-1.53541343689543
"10742","JUND",0.00658326083366259,0.933731052764488,7.39642503138909,1,2359.27099301066,0.35076494742728
"6352","TRUB1",0.00665187798993406,0.933731052764488,7.37771573449122,1,2359.27099301066,-2.14587641859245
"2512","HCLS1",0.00684851883852076,0.933731052764488,7.32517224377137,1,2359.27099301066,0.335773391309511
"9880","ARHGAP27",0.00696742645499672,0.933731052764488,7.2941424986198,1,2359.27099301066,0.524218291219625
