"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3584","TGFBI",2.5474430209458e-57,3.19474829256813e-53,268.04195984439,1,2510.40808042596,-1.21359388142132
"3585","SMAD5",2.24217991060484e-08,0.000140595891294477,31.4745312747425,1,2510.40808042596,0.744620109335369
"5928","UAP1L1",0.000102258536891484,0.427474770385366,15.143036215536,1,2510.40808042596,-1.46113778891228
"9118","DOC2A",0.000209707678390059,0.452456284204369,13.7824713773077,1,2510.40808042596,-3.48132138887879
"742","CTSK",0.000287710758934141,0.452456284204369,13.1858788276942,1,2510.40808042596,-1.87673994402969
"7713","TBX3",0.000341481423335127,0.452456284204369,12.8633383460256,1,2510.40808042596,-10
"7684","PHETA1",0.000347489390140777,0.452456284204369,12.8305343886028,1,2510.40808042596,-1.90264814253305
"11103","CA11",0.00035735471893142,0.452456284204369,12.7778909631282,1,2510.40808042596,-2.66515887159312
"687","FAM72B",0.000385131237139063,0.452456284204369,12.6371951644636,1,2510.40808042596,1.11812563796858
"5741","WHRN",0.000402596514383566,0.452456284204369,12.5538817385776,1,2510.40808042596,-1.09698146901909
"6568","GAS2",0.000416329357703326,0.452456284204369,12.4908963970771,1,2510.40808042596,1.96250007656168
"6015","ARL5B",0.00043293799620863,0.452456284204369,12.4174660168842,1,2510.40808042596,0.71507857243927
"8743","PSTPIP1",0.000663164933843509,0.550522993791661,11.6188579652019,1,2510.40808042596,0.586683859767368
"10902","ZNF571",0.000665973562719976,0.550522993791661,11.6109608887818,1,2510.40808042596,1.64748372421518
"4787","PPP1R35",0.00068803645126283,0.550522993791661,11.5500725753328,1,2510.40808042596,0.746059751217581
"2083","BHLHE40",0.000702365672647043,0.550522993791661,11.5115755784308,1,2510.40808042596,-1.53818343669392
"6526","AMPD3",0.00105774733934617,0.691352828283137,10.7487324467472,1,2510.40808042596,0.497710796923245
"10153","ARL16",0.00106428050431458,0.691352828283137,10.737288281739,1,2510.40808042596,0.696448891154032
"8582","GALK2",0.00106750579863856,0.691352828283137,10.7316647147854,1,2510.40808042596,0.490713000395709
"2882","CPEB2",0.00114075010834605,0.691352828283137,10.6083870105768,1,2510.40808042596,0.355775246594765
"6107","EGR2",0.00119417492897502,0.691352828283137,10.5234211864793,1,2510.40808042596,-3.53435372301122
"5844","IER5L",0.00124270716512147,0.691352828283137,10.4495087567742,1,2510.40808042596,-0.504945868860512
"7727","SUDS3",0.00129571842068283,0.691352828283137,10.3720437993532,1,2510.40808042596,-0.664341604550869
"4579","RALA",0.00132305780071727,0.691352828283137,10.3333385791154,1,2510.40808042596,-0.329147305989454
"7417","RARG",0.0015094085758325,0.757179717980617,10.0893196229626,1,2510.40808042596,-3.10968487247056
"7837","LATS2",0.00164644648299595,0.771651414051555,9.92862924476549,1,2510.40808042596,0.440314489265831
"9024","NOMO2",0.00166131793153592,0.771651414051555,9.9120131308813,1,2510.40808042596,-10
"7504","METTL1",0.00188433518006704,0.774299585366639,9.67946452245553,1,2510.40808042596,-2.51142810982044
"4386","FBXO5",0.0020194149594199,0.774299585366639,9.55182816840837,1,2510.40808042596,-2.40086155022006
"11416","SNX5",0.00203044692480608,0.774299585366639,9.54178963640727,1,2510.40808042596,0.322667315018664
"4995","TMEM176B",0.00212878352285714,0.774299585366639,9.45467908506044,1,2510.40808042596,0.419159747889961
"1522","SFXN5",0.00213064846452735,0.774299585366639,9.45306678388365,1,2510.40808042596,0.503048855585753
"10642","JUNB",0.00223286336224033,0.774299585366639,9.36682157740484,1,2510.40808042596,-0.524073803135681
"5427","DGAT1",0.00237502034935212,0.774299585366639,9.25331390609386,1,2510.40808042596,-0.955725790224464
"1007","COLGALT2",0.00237721406530072,0.774299585366639,9.25161685447288,1,2510.40808042596,-1.25633932119947
"9792","NR1D1",0.00242856236034552,0.774299585366639,9.21234180385576,1,2510.40808042596,-10
"5786","MAPKAP1",0.00243696811294404,0.774299585366639,9.20599286473511,1,2510.40808042596,0.2421916922133
"4057","RNF8",0.00243918075049395,0.774299585366639,9.20432533735024,1,2510.40808042596,-0.69801304532652
"11779","TRPM2",0.00248148780790826,0.774299585366639,9.1727332814003,1,2510.40808042596,0.355059471742523
"3549","RAPGEF6",0.00251198307748798,0.774299585366639,9.15029889513128,1,2510.40808042596,0.349838006816665
"9578","SLC25A35",0.00256890564155722,0.774299585366639,9.1091532523747,1,2510.40808042596,1.27733897930839
"1676","ZC3H6",0.00260758371342306,0.774299585366639,9.0817204237616,1,2510.40808042596,0.444062690194746
"7991","CLYBL",0.00271280582466809,0.774299585366639,9.00913237733668,1,2510.40808042596,0.503317047535568
"11088","LIG1",0.00271662401372555,0.774299585366639,9.0065524591793,1,2510.40808042596,0.846435238438229
"4526","IGF2BP3",0.00281184406340168,0.783629697758234,8.94337768226153,1,2510.40808042596,0.930421844641392
"1466","C2orf74",0.00292568135632971,0.791561941147129,8.87064450589489,1,2510.40808042596,-0.580330488376012
"321","MEAF6",0.00300776199511217,0.791561941147129,8.81996445630191,1,2510.40808042596,-0.535822533441171
"9328","PHLPP2",0.00302966056734409,0.791561941147129,8.80668085053647,1,2510.40808042596,0.962022561293331
"5796","LRSAM1",0.00317656378669984,0.799201881662309,8.72001723922057,1,2510.40808042596,0.427978218346815
"9590","MYH3",0.00327405747269001,0.799201881662309,8.66472351432255,1,2510.40808042596,-10
"6022","COMMD3",0.0032804105052006,0.799201881662309,8.66117870547829,1,2510.40808042596,0.514404008930149
"909","FCGR3A",0.00332038586481214,0.799201881662309,8.63903255341208,1,2510.40808042596,0.227335922495604
"2446","CMSS1",0.00337753765474064,0.799201881662309,8.60783730160536,1,2510.40808042596,0.905485020784966
"394","PLK3",0.0036865868665211,0.856175664685948,8.44794025761005,1,2510.40808042596,0.750419305618499
"4917","AKR1B1",0.00395851579196679,0.902613573582827,8.31815097637197,1,2510.40808042596,0.418685076832628
"7949","THSD1",0.004165901983895,0.932455609422299,8.225129284319,1,2510.40808042596,-10
"9874","PLCD3",0.00423809662204537,0.932455609422299,8.19384984179272,1,2510.40808042596,-10
"5473","RANBP6",0.00448057353685645,0.93583462814876,8.09262988413328,1,2510.40808042596,-1.07474217853688
"7037","TIMM8B",0.00448594192030385,0.93583462814876,8.09045256872296,1,2510.40808042596,0.273369417819588
"5745","TNFSF15",0.00460290201570103,0.93583462814876,8.04366362244043,1,2510.40808042596,-2.13450262340562
"8971","GLYR1",0.00461420803604161,0.93583462814876,8.03920512428081,1,2510.40808042596,0.3384814238878
"12285","MTMR8",0.00467858774483746,0.93583462814876,8.01402748380946,1,2510.40808042596,-1.39662368399838
"2612","ZBTB38",0.00500369954414134,0.93583462814876,7.89204913181735,1,2510.40808042596,0.370033007004067
"4903","TSPAN33",0.00526844661765449,0.93583462814876,7.7985465422267,1,2510.40808042596,0.678866727656396
"10044","TTYH2",0.00536199352822158,0.93583462814876,7.76664977675023,1,2510.40808042596,0.508312191317387
"2966","CLOCK",0.00545878514044864,0.93583462814876,7.73423878286915,1,2510.40808042596,0.347623055908421
"7422","SP1",0.00549283071508883,0.93583462814876,7.72297772623418,1,2510.40808042596,-0.435701839029763
"3561","SHROOM1",0.00556596428900458,0.93583462814876,7.69902667959777,1,2510.40808042596,-10
"8711","STOML1",0.00558685915895294,0.93583462814876,7.69224262780246,1,2510.40808042596,-10
"493","TCTEX1D1",0.00565785271876044,0.93583462814876,7.66938468070171,1,2510.40808042596,0.454018976641493
"4790","AGFG2",0.00576227859612732,0.93583462814876,7.63628897715002,1,2510.40808042596,-10
"4609","ADCY1",0.00592955089007699,0.93583462814876,7.58453041219727,1,2510.40808042596,-1.75902331046992
"932","CREG1",0.00595577818900178,0.93583462814876,7.57655038648461,1,2510.40808042596,0.158011656871228
"2659","GMPS",0.00606237129905221,0.93583462814876,7.54448303838002,1,2510.40808042596,-0.632505437684849
"8841","LINS1",0.00630163480389242,0.93583462814876,7.474551667657,1,2510.40808042596,0.746792162455115
"3934","DDR1",0.00642180188616479,0.93583462814876,7.44044594682696,1,2510.40808042596,-10
"6199","ATAD1",0.00642788561979242,0.93583462814876,7.43873664736593,1,2510.40808042596,0.410264862998826
"11887","CRYBB1",0.00654668649278167,0.93583462814876,7.40568533114428,1,2510.40808042596,0.785964700629193
"5929","MAN1B1",0.00668796537873991,0.93583462814876,7.3671690790367,1,2510.40808042596,0.499680234387691
"8726","PPCDC",0.00679638070439597,0.93583462814876,7.33817195111957,1,2510.40808042596,-0.825503320668526
"7380","TMBIM6",0.00680453613808952,0.93583462814876,7.33600982402548,1,2510.40808042596,0.16558589910857
"361","RIMKLA",0.00684356674178224,0.93583462814876,7.32569876411687,1,2510.40808042596,-10
"6825","RIN1",0.00692120014334309,0.93583462814876,7.30536714908827,1,2510.40808042596,0.627493250127709
"10131","CARD14",0.00692629254905448,0.93583462814876,7.30404164349709,1,2510.40808042596,1.67502195618237
"5952","DIP2C",0.00693281870818683,0.93583462814876,7.30234440092094,1,2510.40808042596,0.924115092690094
"994","MR1",0.00704151840695835,0.93583462814876,7.27431280722774,1,2510.40808042596,0.337270221089019
"2096","TADA3",0.00704567941336965,0.93583462814876,7.27324857229276,1,2510.40808042596,0.369721995043722
"11304","ZNF211",0.00716832213113918,0.93583462814876,7.24216627257715,1,2510.40808042596,1.08267328020838
"3556","AC116366.2",0.00718518248315196,0.93583462814876,7.23793578645119,1,2510.40808042596,-10
"3800","DUSP22",0.00721333270052061,0.93583462814876,7.23089509378157,1,2510.40808042596,-0.525939085786426
"3417","ENC1",0.0073072166834753,0.93583462814876,7.20761510502502,1,2510.40808042596,-1.08342518669899
"8989","TVP23A",0.00732924212061025,0.93583462814876,7.202197856184,1,2510.40808042596,3.09066683686799
"10078","GALK1",0.00733564900119931,0.93583462814876,7.20062518246444,1,2510.40808042596,-0.904226353823547
"3175","MMAA",0.00735074563619401,0.93583462814876,7.19692501403203,1,2510.40808042596,0.744914229878977
"6235","HELLS",0.00739157939913057,0.93583462814876,7.18695551247803,1,2510.40808042596,-2.79886618930002
"1950","BARD1",0.00745642797478713,0.93583462814876,7.17123801557659,1,2510.40808042596,-0.576324261759082
"3052","HSD17B13",0.00750635035359143,0.93583462814876,7.159233168547,1,2510.40808042596,1.74166110251651
