"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"69","TNFRSF9",0.000447288365457579,0.944605698981725,12.3587346587437,1,2335.43868585905,2.16598459847744
"6878","LTO1",0.000451377635035545,0.944605698981725,12.3416538914041,1,2335.43868585905,-10
"2904","PI4K2B",0.000544655613741435,0.944605698981725,11.9894385332066,1,2335.43868585905,-1.06059971542278
"11408","TASP1",0.000637356373488733,0.944605698981725,11.6952604248714,1,2335.43868585905,-2.72419117787153
"9381","KLHL36",0.000680765751526922,0.944605698981725,11.5720847968058,1,2335.43868585905,-1.39559277652759
"1339","UCN",0.00104837818100708,0.944605698981725,10.7671578497286,1,2335.43868585905,2.54282773314722
"10110","TMC6",0.0011001903619999,0.944605698981725,10.6774856877385,1,2335.43868585905,0.66891857784195
"6343","ZDHHC6",0.00110820928853939,0.944605698981725,10.6639903840623,1,2335.43868585905,0.970837996530181
"9312","NQO1",0.00123555394403789,0.944605698981725,10.4620041289578,1,2335.43868585905,-10
"2395","PXK",0.00139475923044359,0.944605698981725,10.2372697697423,1,2335.43868585905,-1.73827217564973
"1581","POLR1A",0.00152602114387478,0.944605698981725,10.0707305012679,1,2335.43868585905,-3.1063500228148
"91","PEX14",0.00165482265711777,0.944605698981725,9.92086641885236,1,2335.43868585905,0.711751076109847
"2208","TTC21A",0.00178635457982137,0.944605698981725,9.7795661982666,1,2335.43868585905,1.3695193863443
"3223","CLCN3",0.00210339367486697,0.944605698981725,9.47825332769033,1,2335.43868585905,0.644958277225713
"8355","EFCAB11",0.00214618525538259,0.944605698981725,9.44115931556396,1,2335.43868585905,-1.80848290633883
"830","YY1AP1",0.00216340114160185,0.944605698981725,9.42644698765623,1,2335.43868585905,-0.971589884907684
"4712","SLC25A40",0.00227959844058928,0.944605698981725,9.33015136689655,1,2335.43868585905,-1.48373841778737
"2095","CAMK1",0.00228273174989138,0.944605698981725,9.32762423830648,1,2335.43868585905,0.751739472322807
"5616","HNRNPK",0.00229891977729144,0.944605698981725,9.31462384757155,1,2335.43868585905,0.38332119599738
"8752","WDR61",0.00233444411752985,0.944605698981725,9.2864175322452,1,2335.43868585905,-1.78920639992451
"1631","TSGA10",0.00234787622578519,0.944605698981725,9.27586583753098,1,2335.43868585905,-1.44525525064673
"3034","LIN54",0.00256755847069806,0.944605698981725,9.11148946481372,1,2335.43868585905,0.789191258495588
"12362","TCEAL8",0.00266210980075878,0.944605698981725,9.04509554739461,1,2335.43868585905,0.671336248117825
"11419","PET117",0.00268871864085104,0.944605698981725,9.02684247112032,1,2335.43868585905,-10
"5520","NFX1",0.00275291219002891,0.944605698981725,8.98355194371599,1,2335.43868585905,-0.768482825228161
"2755","RPL39L",0.00293048680046183,0.944605698981725,8.86894241917711,1,2335.43868585905,-10
"2820","RNF212",0.00306120847650976,0.944605698981725,8.78899698900213,1,2335.43868585905,3.05966542890279
"2460","RPL24",0.00319562863051553,0.944605698981725,8.71033075650161,1,2335.43868585905,0.327636333117397
"11656","ARFGAP1",0.00332468027668865,0.944605698981725,8.63791053667857,1,2335.43868585905,-1.58625141461209
"100","FBXO6",0.00345918562289866,0.944605698981725,8.56541170213493,1,2335.43868585905,0.920039072728203
"5256","CA2",0.0036544948319535,0.944605698981725,8.46509091670172,1,2335.43868585905,-10
"10715","ANKLE1",0.00366323135131315,0.944605698981725,8.46073182146854,1,2335.43868585905,2.92106231735222
"939","TIPRL",0.00437870317041373,0.944605698981725,8.13556603851435,1,2335.43868585905,-0.912238685058176
"2519","CCDC58",0.00446620327438792,0.944605698981725,8.09956997355474,1,2335.43868585905,-10
"10898","ZNF569",0.00448973446504563,0.944605698981725,8.09001221018018,1,2335.43868585905,-2.97862562444833
"1890","FTCDNL1",0.00456702950116594,0.944605698981725,8.05897239094129,1,2335.43868585905,-1.99995436376343
"12537","AL354822.1",0.00461908290405921,0.944605698981725,8.03836921640551,1,2335.43868585905,-10
"4360","FBXO30",0.004632523560822,0.944605698981725,8.03308772695655,1,2335.43868585905,-2.25555478430604
"12535","MAFIP",0.00466245270537157,0.944605698981725,8.02138300117365,1,2335.43868585905,2.240837700293
"5054","TRMT9B",0.00472481005335724,0.944605698981725,7.99724028437735,1,2335.43868585905,-10
"3834","BLOC1S5",0.0047684509286483,0.944605698981725,7.98053639176587,1,2335.43868585905,-1.54505662755806
"4213","LYRM2",0.00477230988548595,0.944605698981725,7.97906685189797,1,2335.43868585905,-0.908700772247497
"6618","SLC35C1",0.00481458417375922,0.944605698981725,7.96304713053037,1,2335.43868585905,-10
"1475","MDH1",0.00491594673463964,0.944605698981725,7.92521290840782,1,2335.43868585905,-0.86854455215707
"888","LY9",0.00493294745685012,0.944605698981725,7.91894525412357,1,2335.43868585905,-10
"4880","AASS",0.00497097819179065,0.944605698981725,7.90500384630119,1,2335.43868585905,3.40788933528119
"7971","EDNRB",0.00522096935527246,0.944605698981725,7.81598383676781,1,2335.43868585905,1.54956750840202
"11817","DGCR2",0.0053501583832619,0.944605698981725,7.77166996859856,1,2335.43868585905,-1.07564604024051
"729","C1orf54",0.00541034634474811,0.944605698981725,7.75139599301851,1,2335.43868585905,0.562797209096314
"4828","ARMC10",0.00561339634695357,0.944605698981725,7.68465880660114,1,2335.43868585905,-1.09318992911905
"2550","TPRA1",0.0057715541801232,0.944605698981725,7.63436162065302,1,2335.43868585905,-0.902919693637086
"6217","PCGF5",0.00581061413261207,0.944605698981725,7.62215644271981,1,2335.43868585905,0.468806807665839
"11960","TST",0.00586910242219918,0.944605698981725,7.6040361600901,1,2335.43868585905,-1.63656169511247
"6831","BBS1",0.00602042634739729,0.944605698981725,7.55799676119743,1,2335.43868585905,-10
"8528","JMJD7",0.00605793423125054,0.944605698981725,7.54676793654442,1,2335.43868585905,-10
"10647","GCDH",0.00606281262490391,0.944605698981725,7.54531270001889,1,2335.43868585905,-10
"12130","TLR8",0.00633551658855302,0.944605698981725,7.46581082989394,1,2335.43868585905,0.705543524280141
"1134","RAB3GAP2",0.00647433780569301,0.944605698981725,7.42667256473821,1,2335.43868585905,-0.663892840928888
"5148","DDHD2",0.00654243777375462,0.944605698981725,7.40778529589959,1,2335.43868585905,1.08202268612581
"7539","YEATS4",0.00654651338898069,0.944605698981725,7.40666131823613,1,2335.43868585905,-2.13873042597749
"6507","ZNF214",0.00655181297588907,0.944605698981725,7.405200861156,1,2335.43868585905,3.26826878550096
"2112","SEC13",0.00658280270640344,0.944605698981725,7.39668482243815,1,2335.43868585905,-1.23133239060616
"8221","PPM1A",0.00663240791949191,0.944605698981725,7.38313811711446,1,2335.43868585905,-0.8910921890559
"2852","STX18",0.00679889095763526,0.944605698981725,7.33841842892931,1,2335.43868585905,-0.831875040251832
"10229","CEP76",0.00687567414421861,0.944605698981725,7.31816916849112,1,2335.43868585905,1.24152744805759
"742","CTSK",0.00696953726895316,0.944605698981725,7.29372728996582,1,2335.43868585905,1.21513513598579
"2241","KIAA1143",0.00699929735711082,0.944605698981725,7.28604800118761,1,2335.43868585905,-1.61189205601487
"1111","INTS7",0.00721947924272166,0.944605698981725,7.23024868338078,1,2335.43868585905,-1.88311037037776
"11023","ZNF233",0.00726574818278179,0.944605698981725,7.21874444942353,1,2335.43868585905,3.19503480024181
"5493","MLLT3",0.00728066920708477,0.944605698981725,7.21505048050586,1,2335.43868585905,0.949443413976446
"2229","SNRK",0.00739897266540303,0.944605698981725,7.18603349811679,1,2335.43868585905,-0.740050600224835
"3889","BTN3A1",0.00743554521792044,0.944605698981725,7.17715908915351,1,2335.43868585905,-1.3274911154615
"1246","ZNF669",0.00745859774592253,0.944605698981725,7.1715882543758,1,2335.43868585905,-10
"6154","MRPS16",0.00767462664149902,0.944605698981725,7.12022305446328,1,2335.43868585905,-0.857318786817576
"8929","ZG16B",0.00767895175375155,0.944605698981725,7.11920984061949,1,2335.43868585905,2.14812028262732
"142","ARHGEF10L",0.0078580945455525,0.944605698981725,7.07774839983014,1,2335.43868585905,0.622494752666971
"3464","TMEM161B",0.00796023186022741,0.944605698981725,7.05454016956312,1,2335.43868585905,0.797081868129851
"4555","GGCT",0.00802568316344679,0.944605698981725,7.03982762342797,1,2335.43868585905,-1.32588755080753
"8522","NDUFAF1",0.00806339807727274,0.944605698981725,7.03140550230199,1,2335.43868585905,-1.61308727659584
"8084","NRL",0.00819742969879517,0.944605698981725,7.00179780286202,1,2335.43868585905,-10
"12140","PIGA",0.00820791942302239,0.944605698981725,6.99950156184912,1,2335.43868585905,-10
"7611","UTP20",0.00835137535889666,0.944605698981725,6.96839656096427,1,2335.43868585905,-10
"5666","PRXL2C",0.00841519297611396,0.944605698981725,6.95473463783676,1,2335.43868585905,-1.15955453227786
"4820","SPDYE2",0.00843470192496218,0.944605698981725,6.95057937463068,1,2335.43868585905,-10
"9375","MBTPS1",0.0084765277687947,0.944605698981725,6.94170384633525,1,2335.43868585905,-0.646462033537525
"2582","UBA5",0.0087006356360998,0.944605698981725,6.8948989228083,1,2335.43868585905,-1.80554077122725
"966","CENPL",0.00871018772505325,0.944605698981725,6.89293150176665,1,2335.43868585905,-10
"4634","ZNF117",0.00888640361664984,0.944605698981725,6.85702794598907,1,2335.43868585905,-1.08401210679497
"1658","UXS1",0.0089093149289306,0.944605698981725,6.85241348378265,1,2335.43868585905,0.862145995319937
"1644","TBC1D8",0.00898339151301708,0.944605698981725,6.83757683052899,1,2335.43868585905,0.384128877383125
"2387","DNAH12",0.00904015418439579,0.944605698981725,6.8262925286701,1,2335.43868585905,2.12743321231916
"45","MEGF6",0.00947203383037419,0.944605698981725,6.74274200325182,1,2335.43868585905,2.30073036670214
"5996","SUV39H2",0.00952321321351151,0.944605698981725,6.73310074022194,1,2335.43868585905,2.30063370521579
"5746","TNFSF8",0.00953705244770204,0.944605698981725,6.73050280353915,1,2335.43868585905,0.704319184975822
"11369","MRPS26",0.00958342825936528,0.944605698981725,6.72182510758916,1,2335.43868585905,-1.42374443562173
"10994","PHLDB3",0.00975324835768226,0.944605698981725,6.69041234473505,1,2335.43868585905,-10
"6989","SESN3",0.00998499138317703,0.944605698981725,6.64843847407181,1,2335.43868585905,-2.23657536856342
"9141","ZNF747",0.0101112819471971,0.944605698981725,6.62598305544091,1,2335.43868585905,1.52558248248638
"8161","KLHDC2",0.0101533315206002,0.944605698981725,6.61857011767865,1,2335.43868585905,0.880929132512405
"6433","RNH1",0.0102532210364654,0.944605698981725,6.60108607456425,1,2335.43868585905,0.466370420482734
"5470","ERMP1",0.0102758670677877,0.944605698981725,6.59714655556104,1,2335.43868585905,-1.28754346435267
"7557","PHLDA1",0.0103233816989519,0.944605698981725,6.58890974952181,1,2335.43868585905,0.662371130909361
"8403","YY1",0.0104640719032931,0.944605698981725,6.56474687674449,1,2335.43868585905,-0.447414455125746
"4624","PSPH",0.0105403014232006,0.944605698981725,6.55179369005206,1,2335.43868585905,-2.68687854775391
"2914","RELL1",0.0105723446361241,0.944605698981725,6.54637746966228,1,2335.43868585905,-0.926147741065438
"83","LZIC",0.0106477919243481,0.944605698981725,6.53369096618938,1,2335.43868585905,-1.00890881313619
"8872","ANTKMT",0.0108255247912746,0.944605698981725,6.50416612829671,1,2335.43868585905,-1.11398045775846
"2925","RFC1",0.0109979758243018,0.944605698981725,6.47599054652514,1,2335.43868585905,0.568966535100354
"12132","TCEANC",0.0110192143543029,0.944605698981725,6.47255194022895,1,2335.43868585905,-10
"6412","INPP5A",0.0111896934093724,0.944605698981725,6.44519474482194,1,2335.43868585905,-2.11338642147279
"6672","DTX4",0.0112204051028487,0.944605698981725,6.44031188881911,1,2335.43868585905,-10
"2051","ASB1",0.0112912840282597,0.944605698981725,6.42909503104118,1,2335.43868585905,-2.03857135419865
"12466","ZNF185",0.0113502421581109,0.944605698981725,6.41981963990427,1,2335.43868585905,-1.78613713694477
"5631","SECISBP2",0.0116121868937675,0.944605698981725,6.37919974754099,1,2335.43868585905,0.643000613664059
"9866","GPATCH8",0.0116417653103801,0.944605698981725,6.374672269619,1,2335.43868585905,0.382838033433533
"8452","NDN",0.0117619783762793,0.944605698981725,6.35639245134336,1,2335.43868585905,-10
"1028","CFH",0.0117752549497179,0.944605698981725,6.35438537269886,1,2335.43868585905,1.38466691071284
"5426","HSF1",0.0118023781585726,0.944605698981725,6.35029225407677,1,2335.43868585905,-1.09322170058522
"1809","HAT1",0.0118703293368428,0.944605698981725,6.34008014507312,1,2335.43868585905,0.703650524979873
"4069","NFYA",0.0118706156641117,0.944605698981725,6.34003724131017,1,2335.43868585905,-1.8085440975298
"1788","STK39",0.011929537521133,0.944605698981725,6.33123084136919,1,2335.43868585905,-1.47434495603034
"3086","SLC39A8",0.0119493297434341,0.944605698981725,6.32828274199477,1,2335.43868585905,0.53462080008705
"8337","SLIRP",0.0119826592017594,0.944605698981725,6.32332956070752,1,2335.43868585905,-0.554348529306388
"10864","NFKBID",0.0119859063722735,0.944605698981725,6.32284774699531,1,2335.43868585905,0.588173238723441
"9640","TVP23B",0.0120709798178372,0.944605698981725,6.31027215903145,1,2335.43868585905,-2.00085341130803
"492","SGIP1",0.0120809255757611,0.944605698981725,6.30880792403159,1,2335.43868585905,-10
"2285","ARIH2",0.0120925481702639,0.944605698981725,6.3070983907763,1,2335.43868585905,0.469757362075357
"10026","KPNA2",0.0122853799627557,0.944605698981725,6.27897919810998,1,2335.43868585905,0.946960589186831
"2028","GIGYF2",0.0123327073177278,0.944605698981725,6.2721471479443,1,2335.43868585905,0.418585898510233
"3222","NEK1",0.0123530681320832,0.944605698981725,6.2692162033768,1,2335.43868585905,-0.874903119913751
"6884","AP002495.1",0.0123701733431723,0.944605698981725,6.26675773996676,1,2335.43868585905,0.996778053137618
"7193","GAPDH",0.0123832774581838,0.944605698981725,6.2648767012026,1,2335.43868585905,0.226429973260132
"12056","PARVB",0.0124089605183618,0.944605698981725,6.26119593822098,1,2335.43868585905,-0.872959227263498
"1026","GLRX2",0.012408960899495,0.944605698981725,6.26119588365707,1,2335.43868585905,-0.920144717736024
"3263","AHRR",0.0124277256772994,0.944605698981725,6.25851156149351,1,2335.43868585905,0.405549208798568
"5867","TTF1",0.0125578445177404,0.944605698981725,6.24001177683686,1,2335.43868585905,0.734462952069765
"10245","TMEM241",0.0125818249200766,0.944605698981725,6.23662385544512,1,2335.43868585905,-1.82649289177593
"3468","POLR3G",0.0125891624698612,0.944605698981725,6.23558854208886,1,2335.43868585905,2.88290569941188
"5794","ZNF79",0.0126291112889048,0.944605698981725,6.22996270832218,1,2335.43868585905,-2.6249215640473
"4621","ZNF713",0.0126983107548177,0.944605698981725,6.22026078909891,1,2335.43868585905,-10
"10067","MRPS7",0.0127547762394472,0.944605698981725,6.21238440140913,1,2335.43868585905,-0.975946320910138
"3936","VARS2",0.0128681636990409,0.944605698981725,6.19667569092793,1,2335.43868585905,-10
"2126","CHCHD4",0.0129031996689357,0.944605698981725,6.19185058374863,1,2335.43868585905,-10
"168","CDC42",0.0130009382942868,0.944605698981725,6.17846105439622,1,2335.43868585905,-0.316858662764572
"6927","GDPD5",0.0132096660756532,0.944605698981725,6.15021016151121,1,2335.43868585905,1.46369664560809
"1180","RAB4A",0.0132677017780828,0.944605698981725,6.14243671308918,1,2335.43868585905,-0.676125082720666
"6669","LPXN",0.0132894748829388,0.944605698981725,6.13952938990908,1,2335.43868585905,-0.472332278327609
"202","MAN1C1",0.0133591237064832,0.944605698981725,6.13026211714637,1,2335.43868585905,-1.45604037815152
"5250","SNX16",0.0135414114342832,0.944605698981725,6.10624083430243,1,2335.43868585905,-1.31107320659719
"9855","TMEM101",0.0135499374548684,0.944605698981725,6.10512546407734,1,2335.43868585905,0.943326971032088
"10158","P4HB",0.0136803860215087,0.944605698981725,6.08814974106024,1,2335.43868585905,0.35057739503089
"4174","TMEM30A",0.0137855430279029,0.944605698981725,6.07458614846174,1,2335.43868585905,-0.372532706759325
"5284","TP53INP1",0.0140318012977491,0.944605698981725,6.04323504027056,1,2335.43868585905,-1.2171557551299
"11763","WDR4",0.0140344703180201,0.944605698981725,6.04289835928567,1,2335.43868585905,-10
"9331","IST1",0.0142047108991834,0.944605698981725,6.0215586409548,1,2335.43868585905,-0.498160611311958
"7071","UBE4A",0.014292838585362,0.944605698981725,6.01061502973011,1,2335.43868585905,-0.753689238618471
"12117","STS",0.0144523446937634,0.944605698981725,5.9909832880193,1,2335.43868585905,-2.69643402802005
"5706","RAD23B",0.0144559559636426,0.944605698981725,5.9905414067392,1,2335.43868585905,-0.522908531610147
"2216","ZNF620",0.0144727073280865,0.944605698981725,5.988493166472,1,2335.43868585905,-10
"3100","TBCK",0.0144975958647851,0.944605698981725,5.98545447447585,1,2335.43868585905,-0.550815152921259
"4161","SDHAF4",0.0145064009068342,0.944605698981725,5.98438073563776,1,2335.43868585905,-1.95859998151126
"10218","VAPA",0.0145375169704838,0.944605698981725,5.9805916300635,1,2335.43868585905,-0.364079623275753
"7082","RPS25",0.0146064163644644,0.944605698981725,5.97223117003168,1,2335.43868585905,0.265263289578446
"8012","ARHGEF7",0.0146612710920965,0.944605698981725,5.96560392945301,1,2335.43868585905,-0.665014086484385
"11286","ZNF460",0.0146994402809475,0.944605698981725,5.96100759630296,1,2335.43868585905,-10
"6258","AVPI1",0.0147246708627253,0.944605698981725,5.95797607547152,1,2335.43868585905,0.785747709973358
"3380","CENPK",0.0147321538071077,0.944605698981725,5.95707800893587,1,2335.43868585905,1.59737166932982
"11220","PRPF31",0.0147429787780495,0.944605698981725,5.95577968001258,1,2335.43868585905,-1.12396099668305
"831","DAP3",0.0150201851644874,0.944605698981725,5.92286249733944,1,2335.43868585905,0.52952322365453
"12272","RRAGB",0.0151725315978166,0.944605698981725,5.9050375039187,1,2335.43868585905,0.743387634983801
"2312","MON1A",0.0151739981134036,0.944605698981725,5.90486681496386,1,2335.43868585905,-10
"547","PKN2",0.0152233225221487,0.944605698981725,5.89913578811548,1,2335.43868585905,-0.351351424907401
"198","RHD",0.01557729120525,0.944605698981725,5.85856117184351,1,2335.43868585905,-10
"5165","IKBKB",0.0157066400884746,0.944605698981725,5.8439709037185,1,2335.43868585905,0.559137351902157
"3158","MGST2",0.0158680986143676,0.944605698981725,5.8259316253894,1,2335.43868585905,-0.858435469848952
"6975","CEP295",0.0159477096640751,0.944605698981725,5.81710647903655,1,2335.43868585905,-0.842025879815214
"12069","TRMU",0.0159477883591321,0.944605698981725,5.81709777792859,1,2335.43868585905,-1.68976049922754
"8844","CHSY1",0.0160654927429368,0.944605698981725,5.80413283310556,1,2335.43868585905,-0.688961128463991
"4428","C6orf120",0.0161827072439486,0.944605698981725,5.79131885404533,1,2335.43868585905,-1.94348214835926
"9011","PDXDC1",0.0162156886915243,0.944605698981725,5.78773055385025,1,2335.43868585905,-0.549716034093463
"4909","TMEM209",0.0162471350983314,0.944605698981725,5.78431626713769,1,2335.43868585905,-1.69225086690938
"157","MUL1",0.0163172505404952,0.944605698981725,5.77672798217822,1,2335.43868585905,1.04738545556679
"8671","TIPIN",0.0164725966764712,0.944605698981725,5.76003471041029,1,2335.43868585905,-2.5822820884315
"9104","QPRT",0.0164832670599633,0.944605698981725,5.75889405478326,1,2335.43868585905,-0.870142553177439
"6349","CCDC186",0.0164882726376883,0.944605698981725,5.75835922497557,1,2335.43868585905,0.549270678092286
"439","ZFYVE9",0.0165079821539286,0.944605698981725,5.75625495424404,1,2335.43868585905,1.59053371924209
"2814","PCGF3",0.0165585859142825,0.944605698981725,5.75086413496763,1,2335.43868585905,0.644953946744075
"8638","TPM1",0.0166007605843552,0.944605698981725,5.74638423968026,1,2335.43868585905,-2.04079911825527
"1566","TGOLN2",0.0166452895828823,0.944605698981725,5.74166699107253,1,2335.43868585905,-0.398916732770607
"10166","CENPX",0.0167482176174323,0.944605698981725,5.73081280802177,1,2335.43868585905,0.744922772266841
"3074","RAP1GDS1",0.0170085223342361,0.944605698981725,5.70366695120722,1,2335.43868585905,-0.568870563696322
"5332","UTP23",0.0170624450275054,0.944605698981725,5.69809726656888,1,2335.43868585905,-1.16075962954511
"7969","MYCBP2",0.0170950857946153,0.944605698981725,5.69473461814854,1,2335.43868585905,-0.320936761698734
"10649","CALR",0.0170965287553385,0.944605698981725,5.69458611751633,1,2335.43868585905,0.334695104224676
"10941","DYRK1B",0.0172006032263959,0.944605698981725,5.68390939896828,1,2335.43868585905,1.18016818063002
"11697","APP",0.0173111126275339,0.944605698981725,5.67264530738476,1,2335.43868585905,0.409781383669274
"2669","RARRES1",0.0173394772625669,0.944605698981725,5.66976610762166,1,2335.43868585905,1.06583374996248
"4038","RPL10A",0.0174263793453877,0.944605698981725,5.66097514868195,1,2335.43868585905,0.423324160162
"11705","GRIK1",0.0175670255108916,0.944605698981725,5.64684295722591,1,2335.43868585905,-10
"9731","CCT6B",0.0175798809237915,0.944605698981725,5.64555707264439,1,2335.43868585905,-10
"10606","ZNF653",0.0176867217900553,0.944605698981725,5.634907560906,1,2335.43868585905,-10
"7091","NLRX1",0.0177277132203547,0.944605698981725,5.63083931022544,1,2335.43868585905,1.08386793604864
"3081","LAMTOR3",0.0178026016877631,0.944605698981725,5.62343193177645,1,2335.43868585905,-0.884032269058422
"9985","PPM1D",0.0179134750772019,0.944605698981725,5.61252410580922,1,2335.43868585905,-0.666868388711855
"12071","GRAMD4",0.0179167792146076,0.944605698981725,5.612200112902,1,2335.43868585905,-0.538988536642203
"2415","FRMD4B",0.0179200958417415,0.944605698981725,5.61187495736587,1,2335.43868585905,-0.350172184043974
"6196","SHLD2",0.0179598267865478,0.944605698981725,5.60798464082435,1,2335.43868585905,0.47238995248734
"2849","TMEM128",0.0180241683365565,0.944605698981725,5.60170335922055,1,2335.43868585905,-1.90953295785699
"7824","ZNF891",0.0180681604479622,0.944605698981725,5.59742199268624,1,2335.43868585905,-10
"6825","RIN1",0.0181581140717319,0.944605698981725,5.58870102469886,1,2335.43868585905,0.879353868922763
"12234","TFE3",0.0181734200474243,0.944605698981725,5.58722156171589,1,2335.43868585905,0.598095194624464
"9179","VPS35",0.0182226971273149,0.944605698981725,5.58246721055366,1,2335.43868585905,-0.499912800748223
"10370","PTBP1",0.0182826243096343,0.944605698981725,5.5767031874033,1,2335.43868585905,-0.706564652566939
"5483","BNC2",0.0183422300624517,0.944605698981725,5.57098941644129,1,2335.43868585905,-0.736890909731849
