"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9220","MT1X",3.18345760025458e-06,0.0399237417647927,21.8063533857413,1,2384.11761645445,1.56010130169899
"11167","NKG7",1.77272854062999e-05,0.111158943140204,18.4943173798087,1,2384.11761645445,2.45351105344748
"4761","ZKSCAN5",0.000103266120841491,0.325242376532815,15.1269810217085,1,2384.11761645445,1.20708876228245
"10116","PGS1",0.000111129852894966,0.325242376532815,14.9875787370636,1,2384.11761645445,0.631804624646817
"5449","ZNF16",0.000129671627674354,0.325242376532815,14.6947236022255,1,2384.11761645445,1.9001195743068
"3102","DKK2",0.000179317367948221,0.374803185239773,14.0806392248988,1,2384.11761645445,4.96638153969074
"1578","GNLY",0.000409077248275493,0.612773293303443,12.5256766765699,1,2384.11761645445,3.65345775176166
"5303","SPAG1",0.000444461920709412,0.612773293303443,12.3699111406235,1,2384.11761645445,-3.35413461133344
"2015","CAB39",0.000514794496322545,0.612773293303443,12.0943997222215,1,2384.11761645445,0.369722187702123
"10139","AATK",0.000527105859763681,0.612773293303443,12.0501138968481,1,2384.11761645445,0.502097246502711
"1581","POLR1A",0.000599646165943171,0.612773293303443,11.808693061441,1,2384.11761645445,-2.24424615636468
"2356","NISCH",0.000670101453811031,0.612773293303443,11.6009553501854,1,2384.11761645445,0.464560914464652
"10575","RAVER1",0.000671052626287992,0.612773293303443,11.5983044667529,1,2384.11761645445,1.16342275229405
"3355","GZMA",0.000684062363946113,0.612773293303443,11.5624232646679,1,2384.11761645445,5.18828513745633
"9698","TP53I13",0.000992516203297873,0.63289571168545,10.8684463209683,1,2384.11761645445,-1.6326044488393
"4290","MCM9",0.00102103445422927,0.63289571168545,10.8157500649212,1,2384.11761645445,0.724421368249671
"8343","GTF2A1",0.00103035460958869,0.63289571168545,10.7988507046866,1,2384.11761645445,-0.92222009959984
"4686","YWHAG",0.0010473046434822,0.63289571168545,10.7685096253014,1,2384.11761645445,-0.594257438764447
"1472","B3GNT2",0.00106048174221585,0.63289571168545,10.7452636529888,1,2384.11761645445,-0.774079076172811
"4746","LMTK2",0.0010607389645167,0.63289571168545,10.7448127970568,1,2384.11761645445,1.59878007947875
"11080","C5AR2",0.00107475352786512,0.63289571168545,10.7204140670322,1,2384.11761645445,0.953341844112848
"9744","CCL5",0.0011102548167674,0.63289571168545,10.6600210343633,1,2384.11761645445,1.33133177919409
"8725","SCAMP5",0.00124975268973923,0.664285302633927,10.4402809019162,1,2384.11761645445,2.26916217090688
"10467","HDGFL2",0.0013158067754201,0.664285302633927,10.344761185296,1,2384.11761645445,-1.11720877477042
"8198","LGALS3",0.00132422714024784,0.664285302633927,10.3329351324443,1,2384.11761645445,-0.412173901193918
"8273","TTC9",0.00144971011237321,0.669654854179181,10.1651993253775,1,2384.11761645445,3.14144599898223
"7087","HMBS",0.00156289049432364,0.669654854179181,10.0260773340558,1,2384.11761645445,-10
"9407","PIEZO1",0.00157260449630282,0.669654854179181,10.014616507675,1,2384.11761645445,-3.08688099846006
"7227","FOXJ2",0.00164248830287664,0.669654854179181,9.93422205022904,1,2384.11761645445,-1.48506462516676
"9954","MSI2",0.00178509415876421,0.669654854179181,9.78040910147648,1,2384.11761645445,0.847600147035041
"9743","TAF15",0.00180692588370959,0.669654854179181,9.75796739879726,1,2384.11761645445,0.448554711866803
"7282","STRAP",0.00194246241951631,0.669654854179181,9.62451572150012,1,2384.11761645445,-0.865961222358023
"11452","HM13",0.00198575505382575,0.669654854179181,9.5838733847638,1,2384.11761645445,-0.465091723154915
"11242","NCR1",0.00200208067000932,0.669654854179181,9.56878017887117,1,2384.11761645445,2.90074786959826
"1753","RBM43",0.00203166994721608,0.669654854179181,9.54174015627428,1,2384.11761645445,-0.866300874813325
"7163","CACNA2D4",0.00208078520403917,0.669654854179181,9.49772659900579,1,2384.11761645445,0.730254884892584
"4079","MED20",0.00210100810563979,0.669654854179181,9.4799099113712,1,2384.11761645445,-10
"2975","NOA1",0.00210630625244586,0.669654854179181,9.47527093038001,1,2384.11761645445,-2.01764171578413
"5313","ATP6V1C1",0.002146723871256,0.669654854179181,9.44026682360752,1,2384.11761645445,-0.455999256112553
"7028","SIK2",0.0021650930890334,0.669654854179181,9.42457847411014,1,2384.11761645445,0.463730156302211
"5951","ZMYND11",0.00218928706015042,0.669654854179181,9.40412036112258,1,2384.11761645445,0.511423363234
"3323","C9",0.00226784801237832,0.677168617219916,9.339238360487,1,2384.11761645445,1.25829880551563
"8912","MLST8",0.00241096869298984,0.681555257912764,9.22669741638658,1,2384.11761645445,-3.02013594108586
"8782","TM6SF1",0.00241682493291085,0.681555257912764,9.22223812289269,1,2384.11761645445,-1.09413778293817
"414","PIK3R3",0.00257864559902275,0.681555257912764,9.10317502538991,1,2384.11761645445,0.825383453442256
"6826","BRMS1",0.0026619892402436,0.681555257912764,9.04478191052721,1,2384.11761645445,-1.01630122279558
"11216","CACNG8",0.0027093708767798,0.681555257912764,9.0124074917448,1,2384.11761645445,3.40491222388504
"2985","RUFY3",0.00292945921318378,0.681555257912764,8.86920285592931,1,2384.11761645445,-0.591830368070487
"3783","CANX",0.00294307296254811,0.681555257912764,8.86070738406272,1,2384.11761645445,-0.375847070227752
"4899","KCP",0.00299818228352096,0.681555257912764,8.82672057362742,1,2384.11761645445,-3.11151909498336
"6263","PYROXD2",0.00304416627604901,0.681555257912764,8.79884405108179,1,2384.11761645445,1.11918114256117
"12535","MAFIP",0.00305362542139879,0.681555257912764,8.79316281767361,1,2384.11761645445,2.01161202498633
"1787","TTC21B",0.00307576080740571,0.681555257912764,8.77993776276264,1,2384.11761645445,0.675208582113736
"6749","TRPT1",0.00323979148704905,0.681555257912764,8.68485087556556,1,2384.11761645445,-2.27206430246197
"8327","CIPC",0.00331679267456081,0.681555257912764,8.64189023923673,1,2384.11761645445,0.92480472244258
"3031","SCD5",0.00341967806679448,0.681555257912764,8.5860452223704,1,2384.11761645445,1.63799139813014
"8922","AMDHD2",0.00355947689556669,0.681555257912764,8.51284338407892,1,2384.11761645445,-0.911832652864455
"3103","PAPSS1",0.00357853217884783,0.681555257912764,8.50309281522718,1,2384.11761645445,-0.425660350276527
"4509","TWIST1",0.00361705286562164,0.681555257912764,8.48354216075562,1,2384.11761645445,3.40770223066102
"3022","BMP2K",0.00362142115426366,0.681555257912764,8.48133848370755,1,2384.11761645445,0.279080828168571
"4625","CCT6A",0.00371986194821202,0.681555257912764,8.43238259910258,1,2384.11761645445,-0.624334501789011
"11605","DPM1",0.00379077498063461,0.681555257912764,8.39792689553752,1,2384.11761645445,0.649810016652308
"5917","PHPT1",0.00379460192639951,0.681555257912764,8.39608613732221,1,2384.11761645445,-0.565813941025718
"9693","MYO18A",0.00400742293912098,0.681555257912764,8.29658716998286,1,2384.11761645445,-1.00091349146683
"3825","F13A1",0.00403669683583206,0.681555257912764,8.28332351207362,1,2384.11761645445,2.46525978411657
"5426","HSF1",0.00408950179611386,0.681555257912764,8.25964403862232,1,2384.11761645445,-0.961010363974348
"5173","FNTA",0.00409030992959631,0.681555257912764,8.25928406907121,1,2384.11761645445,-0.609451796036234
"1007","COLGALT2",0.00410046600011241,0.681555257912764,8.25476638195214,1,2384.11761645445,-1.74466933746933
"1870","STAT4",0.00411657142869076,0.681555257912764,8.24762557602387,1,2384.11761645445,0.401809330535556
"6596","CAT",0.0041459762766361,0.681555257912764,8.23466118252282,1,2384.11761645445,0.412610931513599
"11407","SPTLC3",0.0041966038412036,0.681555257912764,8.21255773506402,1,2384.11761645445,0.817782164814945
"9312","NQO1",0.00422261144541364,0.681555257912764,8.20130846535178,1,2384.11761645445,-2.38111019257703
"7094","RNF26",0.00422506602999529,0.681555257912764,8.20025041191056,1,2384.11761645445,-2.85098457150612
"6174","COMTD1",0.00423100089147746,0.681555257912764,8.19769476331673,1,2384.11761645445,-2.26899511074947
"9617","MPRIP",0.00424973108204923,0.681555257912764,8.18965311816937,1,2384.11761645445,0.646086676055507
