"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7186","TNFRSF1A",1.50152300143318e-05,0.181493794191641,18.8159456662743,1,2308.08029500021,-1.37819417672015
"6977","C11orf54",2.8944070519359e-05,0.181493794191641,17.5561562105687,1,2308.08029500021,-3.66564619541891
"1800","UBR3",7.40533804616959e-05,0.26166856767623,15.7613291976607,1,2308.08029500021,-1.13526932806978
"12486","DNASE1L1",8.34601922258928e-05,0.26166856767623,15.5336378710259,1,2308.08029500021,-10
"9138","SEPHS2",0.000134944201606061,0.338467046468321,14.6207110748743,1,2308.08029500021,-1.46210738149315
"256","PUM1",0.000190512151447828,0.398202148551203,13.9675305723532,1,2308.08029500021,0.548676170678819
"5820","SLC27A4",0.0005199514241924,0.70022662506671,12.0768100724665,1,2308.08029500021,-1.71284555808867
"732","PRPF3",0.000542271271079554,0.70022662506671,11.9980521965204,1,2308.08029500021,1.1912214918172
"1640","AFF3",0.00055492133310642,0.70022662506671,11.9548567802464,1,2308.08029500021,3.24130884144342
"2949","NFXL1",0.000596182610460974,0.70022662506671,11.820577744094,1,2308.08029500021,1.1725224387525
"12523","MT-ND2",0.00062148651973029,0.70022662506671,11.7427999940612,1,2308.08029500021,0.318578916933008
"6016","MALRD1",0.000737050703838434,0.70022662506671,11.4240576148161,1,2308.08029500021,3.84356546924875
"9743","TAF15",0.00077053526034001,0.70022662506671,11.3411191205967,1,2308.08029500021,0.724844123264214
"3171","ANAPC10",0.000781689877277246,0.70022662506671,11.3142974350304,1,2308.08029500021,0.955849487716186
"3519","ATG12",0.000845772986865785,0.707122601885588,11.1673352739911,1,2308.08029500021,0.829283250468042
"10745","GDF15",0.00109289790932974,0.748786122792866,10.6901618492899,1,2308.08029500021,1.49433153724687
"9008","BFAR",0.00110813003118918,0.748786122792866,10.6644385529862,1,2308.08029500021,-1.74041618033518
"6921","NEU3",0.00115473586775856,0.748786122792866,10.5879002031837,1,2308.08029500021,0.870678358076725
"5461","CDC37L1",0.00116271241528984,0.748786122792866,10.5751148654289,1,2308.08029500021,1.22163921328037
"10977","DMAC2",0.00124717151115587,0.748786122792866,10.4449414250211,1,2308.08029500021,-10
"12510","TMLHE",0.00129562944170221,0.748786122792866,10.374228483225,1,2308.08029500021,-1.64387267914326
"5112","CCDC25",0.00131586094690794,0.748786122792866,10.3454947662259,1,2308.08029500021,0.953457914526451
"7523","LEMD3",0.00144910221079374,0.748786122792866,10.1667593184622,1,2308.08029500021,1.00850171344416
"4631","ZNF107",0.00145142581518823,0.748786122792866,10.1637922475136,1,2308.08029500021,0.994159990755622
"1601","KCNIP3",0.00149267626742857,0.748786122792866,10.1119049851337,1,2308.08029500021,4.17494345561555
"10864","NFKBID",0.00170566026309147,0.808385898809831,9.86521847878131,1,2308.08029500021,0.889020884247768
"6956","ANKRD42",0.00174040501298664,0.808385898809831,9.82796234055162,1,2308.08029500021,-3.04511309228123
