"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10866","TYROBP",1.39663404100742e-110,1.7515187508274e-106,555.076344722277,1,2400.01812202118,-1.60320011386804
"10865","HCST",1.80792310478579e-09,1.13365818285593e-05,36.4520149467946,1,2400.01812202118,0.554999723891244
"213","CD52",1.89296064614887e-08,7.91320648778434e-05,31.8169994431766,1,2400.01812202118,0.959600860890016
"10864","NFKBID",1.11888949240465e-07,0.000350799828106168,28.3282812282055,1,2400.01812202118,0.881693115100977
"3831","SNRNP48",3.18071456828941e-05,0.0761569024973207,17.3728316557116,1,2400.01812202118,0.935684984221499
"10240","SNRPD1",4.42084055229215e-05,0.0761569024973207,16.7431758685774,1,2400.01812202118,-1.02691226448766
"5791","RALGPS1",4.84175435084109e-05,0.0761569024973207,16.5694569058642,1,2400.01812202118,-10
"11519","RBL1",4.85810716831644e-05,0.0761569024973207,16.5630183637902,1,2400.01812202118,1.04137604207168
"742","CTSK",0.000210172165160603,0.289259643482907,13.7801545540567,1,2400.01812202118,1.23001691287182
"6870","GAL",0.00023065117891947,0.289259643482907,13.604538644324,1,2400.01812202118,2.12292037474858
"3854","RANBP9",0.000264769364269798,0.301861145209776,13.3442348785769,1,2400.01812202118,-0.724198175890417
"9728","CCL7",0.000302590504270544,0.303465985542495,13.0925908059779,1,2400.01812202118,-1.07649660885517
"11313","ZNF587",0.000314572826094605,0.303465985542495,13.019455434685,1,2400.01812202118,1.02698398349597
"1247","ZNF124",0.00042807563078988,0.376047994948344,12.4401942927073,1,2400.01812202118,0.465872132012716
"7569","TMTC2",0.000476247071295993,0.376047994948344,12.2400934078128,1,2400.01812202118,0.952761975238518
"11630","NPEPL1",0.000479767795165737,0.376047994948344,12.2262801660454,1,2400.01812202118,-0.918897216237087
"1055","KLHL12",0.000664066769650832,0.46384228634336,11.6176595324066,1,2400.01812202118,0.783069365075687
"12468","ZFP92",0.000685801247872983,0.46384228634336,11.5574783329577,1,2400.01812202118,2.37589645127015
"9762","MRPL45",0.000707895539879009,0.46384228634336,11.4982455591387,1,2400.01812202118,-2.17547429812916
"8330","GSTZ1",0.000752037605228638,0.46384228634336,11.3853062501524,1,2400.01812202118,-1.21737544945041
"1850","ITGAV",0.000830990832577404,0.46384228634336,11.1990785158961,1,2400.01812202118,0.495190006978527
"10001","CCDC47",0.000906141986650411,0.46384228634336,11.0377493640668,1,2400.01812202118,-0.58836134979647
"1937","CCNYL1",0.000998823785066528,0.46384228634336,10.8564816821733,1,2400.01812202118,0.547497252946639
"10562","SHFL",0.00100738291504583,0.46384228634336,10.8406089384051,1,2400.01812202118,-0.561043554694749
"10163","SIRT7",0.00101041637279089,0.46384228634336,10.8350161868601,1,2400.01812202118,0.838803709603169
"6043","MTPAP",0.00101374882795419,0.46384228634336,10.828891731793,1,2400.01812202118,-1.630188996023
"6218","HECTD2",0.00101642089790443,0.46384228634336,10.8239956475583,1,2400.01812202118,-0.981436116470632
"9199","CYLD",0.00113291043472681,0.46384228634336,10.6223225729811,1,2400.01812202118,-0.508942695134878
"5443","ZNF34",0.00115248836464991,0.46384228634336,10.5905013364559,1,2400.01812202118,1.67886583676425
"10660","MRI1",0.00115724095404719,0.46384228634336,10.5828592170495,1,2400.01812202118,1.05481419867114
"10842","SCN1B",0.00116251646884532,0.46384228634336,10.5744133652259,1,2400.01812202118,-1.99737356672219
"9510","RPAIN",0.00118355419527849,0.46384228634336,10.5411145717723,1,2400.01812202118,-0.842230959629743
"5825","SPTAN1",0.00126992696096565,0.465069635943227,10.4104103024264,1,2400.01812202118,0.394147310396037
"2922","TMEM156",0.00127150220804302,0.465069635943227,10.4081110419995,1,2400.01812202118,2.87086690100328
