sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
AXL_CRISPRa_sgRNA_1	AXL	713.98/575.66	2283.1/2238.3	644.82	2260.7	1.8082	9566.7	1.9524e+05	3.657	0.99986	0.0001375	0.00027501	0.16317	True
VLDLR_CRISPRa_sgRNA_4	VLDLR	461.31/465.96	1547.1/1743.2	463.64	1645.2	1.8249	10.817	1.0504e+05	3.6456	0.99986	0.0001444	0.00028879	0.16317	True
CD68_CRISPRa_sgRNA_2	CD68	935.06/668.47	3047.7/2148.3	801.77	2598	1.6949	35535	2.9405e+05	3.3125	0.9995	0.00049695	0.00099389	0.34062	True
ABCA1_CRISPRa_sgRNA_4	ABCA1	600.09/665.66	2035/2060.6	632.87	2047.8	1.6925	2149.9	1.8849e+05	3.2589	0.9994	0.00060287	0.0012057	0.34062	True
AXL_CRISPRa_sgRNA_4	AXL	924.54/938.49	2743.6/2465.7	931.51	2604.6	1.4824	97.317	3.8986e+05	2.6796	0.99605	0.003954	0.0079079	0.99987	True
VLDLR_CRISPRa_sgRNA_2	VLDLR	546.49/521.28	1479.5/1443.9	533.88	1461.7	1.4513	317.85	1.3692e+05	2.5074	0.99343	0.006571	0.013142	0.99987	True
ABCA1_CRISPRa_sgRNA_1	ABCA1	456.53/535.34	1273.6/1434.3	495.93	1354	1.4471	3105.9	1.192e+05	2.4852	0.993	0.0070027	0.014005	0.99987	True
Non_Targeting_92	Non	1053.7/974.11	2997/2270	1013.9	2633.5	1.3762	3170.3	4.5725e+05	2.3951	0.9911	0.0089033	0.017807	0.99987	True
VLDLR_CRISPRa_sgRNA_1	VLDLR	661.34/691.91	1575.6/1904	676.63	1739.8	1.3612	467.31	2.1373e+05	2.2997	0.98844	0.011561	0.023122	0.99987	True
Non_Targeting_4	Non	936.02/893.48	2386.6/2235.1	914.75	2310.9	1.336	904.66	3.7678e+05	2.2744	0.98769	0.012308	0.024615	0.99987	True
AXL_CRISPRa_sgRNA_3	AXL	636.46/702.22	1749.8/1638.5	669.34	1694.2	1.3385	2162.8	2.0943e+05	2.2394	0.98646	0.013536	0.027071	0.99987	True
AXL_CRISPRa_sgRNA_2	AXL	581.9/650.66	1543.9/1491.5	616.28	1517.7	1.2988	2363.7	1.7931e+05	2.1287	0.98206	0.017945	0.03589	0.99987	True
CD68_CRISPRa_sgRNA_3	CD68	512.04/526.9	1234.5/1204.8	519.47	1219.7	1.2298	110.51	1.3005e+05	1.9416	0.97179	0.028207	0.056414	0.99987	True
LDLR_CRISPRa_sgRNA_4	LDLR	549.36/615.97	1584/1122.3	582.67	1353.2	1.2142	2218.3	1.6137e+05	1.9181	0.97026	0.029736	0.059471	0.99987	True
ABCA1_CRISPRa_sgRNA_3	ABCA1	433.56/483.78	1086.7/1013.4	458.67	1050	1.1931	1261	1.0293e+05	1.8432	0.96465	0.035354	0.070708	0.99987	True
IRF8_CRISPRa_sgRNA_3	IRF8	712.06/690.97	1725.6/1387.8	701.52	1556.7	1.1488	222.41	2.2875e+05	1.788	0.96028	0.039718	0.079436	0.99987	True
