sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
IL6R_CRISPRi_sgRNA_2	IL6R	11417/11091	1297.8/1139.5	11254	1218.6	-3.2061	53295	1.1881e+09	2.0254	0.021413	0.97859	0.042826	0.77798	False
CD80_CRISPRi_sgRNA_3	CD80	3007.1/2267.8	562.13/605.15	2637.5	583.64	-2.1741	2.7329e+05	4.6069e+07	1.6486	0.049611	0.95039	0.099223	0.77798	False
MS4A6A_CRISPRi_sgRNA_4	MS4A6A	3041.4/2394.9	724.26/793.68	2718.1	758.97	-1.8391	2.0898e+05	4.9284e+07	1.5327	0.062679	0.93732	0.12536	0.77798	False
CR2_CRISPRi_sgRNA_4	CR2	2148.4/1802	673.75/669.73	1975.2	671.74	-1.5546	59980	2.4106e+07	1.4145	0.078606	0.92139	0.15721	0.77798	False
LRP6_CRISPRi_sgRNA_2	LRP6	1600.7/1184.5	475.78/561.41	1392.6	518.59	-1.4234	86621	1.1019e+07	1.3491	0.088658	0.91134	0.17732	0.77798	False
Non_Targeting_83	Non	1284.6/1199.8	472.52/499.95	1242.2	486.24	-1.3514	3596.8	8.5305e+06	1.3157	0.094145	0.90586	0.18829	0.77798	False
GPR65_CRISPRi_sgRNA_2	GPR65	1279.6/1115.1	492.07/468.71	1197.3	480.39	-1.3158	13526	7.8559e+06	1.2998	0.096838	0.90316	0.19368	0.77798	False
IL23A_CRISPRi_sgRNA_2	IL23A	1641/1417.4	540.14/733.27	1529.2	636.7	-1.2628	24997	1.3588e+07	1.2891	0.098681	0.90132	0.19736	0.77798	False
CLEC2B_CRISPRi_sgRNA_5	CLEC2B	2001.4/1589.1	757.66/773.89	1795.3	765.77	-1.2281	84984	1.9463e+07	1.2823	0.099874	0.90013	0.19975	0.77798	False
ITGAM_CRISPRi_sgRNA_4	ITGAM	1648/1335.1	679.45/624.94	1491.5	652.2	-1.1922	48978	1.2851e+07	1.2592	0.10397	0.89603	0.20795	0.77798	False
CD19_CRISPRi_sgRNA_3	CD19	1594.7/1453.9	675.37/661.4	1524.3	668.39	-1.1882	9915	1.3491e+07	1.2586	0.1041	0.8959	0.20819	0.77798	False
ACTB_CRISPRi_sgRNA_3	ACTB	1782.9/1432.7	697.37/740.56	1607.8	718.96	-1.16	61338	1.5203e+07	1.2494	0.10576	0.89424	0.21152	0.77798	False
SCIMP_CRISPRi_sgRNA_1	SCIMP	1621.9/1516.2	709.59/699.93	1569	704.76	-1.1535	5581.9	1.4394e+07	1.2456	0.10645	0.89355	0.21291	0.77798	False
CTLA4_CRISPRi_sgRNA_5	CTLA4	1670.2/1498.6	716.11/753.06	1584.4	734.58	-1.1079	14728	1.4711e+07	1.2271	0.10989	0.89011	0.21979	0.77798	False
Non_Targeting_17	Non	1468.8/1476.2	712.04/662.44	1472.5	687.24	-1.0983	27.181	1.2486e+07	1.2197	0.11129	0.88871	0.22258	0.77798	False
TNFRSF13C_CRISPRi_sgRNA_1	TNFRSF13C	1366.2/1326.8	608.57/641.61	1346.5	625.09	-1.1058	773.21	1.0219e+07	1.2187	0.11147	0.88853	0.22295	0.77798	False
CD1D_CRISPRi_sgRNA_3	CD1D	1934/1745.6	908.38/844.71	1839.8	876.54	-1.0688	17743	2.056e+07	1.2177	0.11166	0.88834	0.22332	0.77798	False
SELPLG_CRISPRi_sgRNA_3	SELPLG	2181.6/1764.4	973.55/946.79	1973	960.17	-1.0383	87035	2.4046e+07	1.2083	0.11347	0.88653	0.22694	0.77798	False
GPR87_CRISPRi_sgRNA_1	GPR87	1350/1304.5	640.34/659.31	1327.3	649.83	-1.0292	1038.1	9.8947e+06	1.1856	0.11788	0.88212	0.23576	0.77798	False
TGFBR2_CRISPRi_sgRNA_5	TGFBR2	1402.4/1335.1	650.93/739.51	1368.7	695.22	-0.97626	2266.9	1.0601e+07	1.1644	0.12213	0.87787	0.24426	0.77798	False
LRP1_CRISPRi_sgRNA_1	LRP1	1539.3/1400.9	784.54/733.27	1470.1	758.9	-0.95303	9574.5	1.2441e+07	1.1578	0.12347	0.87653	0.24694	0.77798	False
P2RY12_CRISPRi_sgRNA_2	P2RY12	1448.7/1623.2	809.8/816.59	1536	813.19	-0.91665	15232	1.3724e+07	1.1442	0.12628	0.87372	0.25256	0.77798	False
SIRPA_CRISPRi_sgRNA_1	SIRPA	1347/1645.6	848.09/736.39	1496.3	792.24	-0.91654	44572	1.2943e+07	1.1428	0.12655	0.87345	0.25311	0.77798	False
P2RY6_CRISPRi_sgRNA_2	P2RY6	1568.5/1558.5	757.66/929.08	1563.5	843.37	-0.88978	49.561	1.4281e+07	1.1333	0.12854	0.87146	0.25709	0.77798	False
AIF1_CRISPRi_sgRNA_1	AIF1	931.24/1017.5	503.48/542.66	974.35	523.07	-0.89617	3717.9	4.9515e+06	1.1131	0.13284	0.86716	0.26568	0.77798	False
IL2RG_CRISPRi_sgRNA_5	IL2RG	789.29/881.02	443.19/445.79	835.15	444.49	-0.90837	4207.7	3.5058e+06	1.1111	0.13326	0.86674	0.26652	0.77798	False
ABCA1_CRISPRi_sgRNA_4	ABCA1	823.52/862.2	448.89/455.17	842.86	452.03	-0.8974	748.29	3.5787e+06	1.1067	0.13422	0.86578	0.26844	0.77798	False
P2RY13_CRISPRi_sgRNA_5	P2RY13	920.16/898.67	464.37/530.16	909.41	497.27	-0.86961	231.07	4.2427e+06	1.0979	0.13612	0.86388	0.27225	0.77798	False
IL15_CRISPRi_sgRNA_5	IL15	736.94/689.29	2178.5/2684.1	713.11	2431.3	1.7681	1135	2.4611e+06	1.0952	0.79756	0.20244	0.40489	0.77798	True
Non_Targeting_99	Non	1342/1201	708.78/740.56	1271.5	724.67	-0.81026	9943.7	8.9874e+06	1.0878	0.13834	0.86166	0.27669	0.77798	False
VLDLR_CRISPRi_sgRNA_3	VLDLR	935.26/1021	570.28/549.95	978.13	560.11	-0.80321	3675.1	4.9946e+06	1.0715	0.14196	0.85804	0.28393	0.77798	False
TYRO3_CRISPRi_sgRNA_2	TYRO3	992.65/923.37	524.66/575.99	958.01	550.32	-0.79864	2400	4.7674e+06	1.0684	0.14266	0.85734	0.28532	0.77798	False
Non_Targeting_43	Non	1971.2/1579.7	1042.8/1152	1775.5	1097.4	-0.69362	76628	1.8985e+07	1.0521	0.14637	0.85363	0.29274	0.77798	False
IFNGR2_CRISPRi_sgRNA_5	IFNGR2	2041.7/1460.9	1068.9/1105.1	1751.3	1087	-0.68759	1.6864e+05	1.8411e+07	1.0487	0.14717	0.85283	0.29434	0.77798	False
SCIMP_CRISPRi_sgRNA_3	SCIMP	774.19/779.86	448.08/461.42	777.02	454.75	-0.77158	16.117	2.9827e+06	1.0457	0.14786	0.85214	0.29571	0.77798	False
CR1_CRISPRi_sgRNA_4	CR1	1295.7/1018.6	675.37/734.31	1157.2	704.84	-0.71442	38374	7.2777e+06	1.0394	0.1493	0.8507	0.29861	0.77798	False
SQSTM1_CRISPRi_sgRNA_3	SQSTM1	1353.1/1647.9	970.29/913.46	1500.5	941.87	-0.67127	43478	1.3024e+07	1.033	0.15079	0.84921	0.30159	0.77798	False
LDLR_CRISPRi_sgRNA_5	LDLR	1909.8/1947.9	1284.8/1192.6	1928.8	1238.7	-0.63852	725.86	2.2857e+07	1.0313	0.15121	0.84879	0.30242	0.77798	False
IL1R2_CRISPRi_sgRNA_5	IL1R2	1368.2/1185.7	814.69/803.05	1276.9	808.87	-0.65804	16651	9.0738e+06	1.0184	0.15424	0.84576	0.30848	0.77798	False
CLEC2D_CRISPRi_sgRNA_2	CLEC2D	628.21/762.22	413.05/435.38	695.21	424.21	-0.71135	8979.5	2.3249e+06	1.0121	0.15575	0.84425	0.3115	0.77798	False
ITGAL_CRISPRi_sgRNA_4	ITGAL	659.42/856.32	488/443.71	757.87	465.85	-0.70088	19385	2.8206e+06	1.0115	0.15588	0.84412	0.31177	0.77798	False
VLDLR_CRISPRi_sgRNA_5	VLDLR	893.99/949.24	566.21/585.36	921.62	575.78	-0.6777	1526.7	4.3713e+06	1.0106	0.15609	0.84391	0.31219	0.77798	False
SIGLEC7_CRISPRi_sgRNA_4	SIGLEC7	1073.2/1084.5	714.48/652.02	1078.9	683.25	-0.65824	64.153	6.2206e+06	1.0097	0.15632	0.84368	0.31264	0.77798	False
SIRPB1_CRISPRi_sgRNA_2	SIRPB1	1265.5/1250.4	824.46/794.72	1257.9	809.59	-0.63514	114.12	8.7743e+06	1.0069	0.15698	0.84302	0.31396	0.77798	False
SORL1_CRISPRi_sgRNA_2	SORL1	1184.9/1166.9	758.47/755.14	1175.9	756.81	-0.63509	163.49	7.5443e+06	1.0033	0.15785	0.84215	0.31569	0.77798	False
CD68_CRISPRi_sgRNA_2	CD68	839.62/773.98	503.48/506.2	806.8	504.84	-0.67532	2154.4	3.2449e+06	1.0027	0.15801	0.84199	0.31601	0.77798	False
FCER1G_CRISPRi_sgRNA_1	FCER1G	1489/1353.9	897.78/961.37	1421.4	929.58	-0.61216	9125.1	1.1537e+07	1.0027	0.15801	0.84199	0.31602	0.77798	False
ITGB2_CRISPRi_sgRNA_4	ITGB2	2036.6/1903.2	1363.8/1306.1	1969.9	1335	-0.56099	8903.9	2.3962e+07	0.99633	0.15954	0.84046	0.31909	0.77798	False
Non_Targeting_54	Non	1351/1316.2	857.86/898.87	1333.6	878.37	-0.60191	605.86	1.0002e+07	0.99443	0.16001	0.83999	0.32001	0.77798	False
TGFB1_CRISPRi_sgRNA_4	TGFB1	682.57/803.39	455.41/481.21	742.98	468.31	-0.66473	7298.3	2.698e+06	0.99345	0.16024	0.83976	0.32049	0.77798	False
