id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
IL1R2	5	0.00021886	0.00094128	0.194845	1	4	-0.51077	0.98118	0.98046	0.996648	201	0	-0.51077
IL6R	5	0.0022104	0.0093879	0.472423	2	2	0.10677	0.63344	0.63262	0.960164	126	0	0.10677
CD52	5	0.0030387	0.012635	0.472423	3	5	-0.31143	0.99696	0.99665	0.996648	207	0	-0.31143
ACTB	5	0.0033576	0.01387	0.472423	4	4	-0.5466	0.50814	0.50775	0.960164	96	0	-0.5466
CD1D	5	0.003424	0.014099	0.472423	5	5	-0.38167	0.99488	0.99442	0.996648	205	0	-0.38167
CD68	5	0.0034922	0.014239	0.472423	6	5	-0.33508	0.99651	0.99608	0.996648	206	0	-0.33508
LDLR	5	0.005297	0.020853	0.472423	7	4	-0.43441	0.83872	0.83791	0.96474	178	0	-0.43441
ABCA1	5	0.00625	0.024598	0.472423	8	5	-0.1792	0.99375	0.99311	0.996648	204	0	-0.1792
VLDLR	5	0.0063319	0.024907	0.472423	9	4	-0.29126	0.72714	0.7256	0.960164	152	0	-0.29126
CD80	5	0.0066196	0.025972	0.472423	10	2	-0.020742	0.33487	0.33592	0.960164	66	0	-0.020742
CTLA4	5	0.006667	0.026092	0.472423	11	3	-0.45812	0.69091	0.68929	0.960164	142	0	-0.45812
IL2RG	5	0.007041	0.027387	0.472423	12	4	-0.47623	0.39633	0.39675	0.960164	79	0	-0.47623
SCIMP	5	0.0082792	0.03175	0.498159	13	4	-0.32447	0.84579	0.84493	0.96474	180	0	-0.32447
SIRPB1	5	0.0087842	0.033692	0.498159	14	4	-0.38252	0.85261	0.85193	0.96474	182	0	-0.38252
MS4A6A	5	0.011013	0.042218	0.562371	15	3	-0.14625	0.86991	0.86924	0.967382	186	0	-0.14625
ITGB2	5	0.011854	0.045555	0.562371	16	4	-0.24015	0.95166	0.95118	0.996648	197	0	-0.24015
IL23A	5	0.012648	0.048155	0.562371	17	5	-0.23012	0.98735	0.98654	0.996648	203	0	-0.23012
