id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FPR2	5	0.0022104	0.0086508	0.694559	1	1	0.019949	0.69947	0.69758	0.991229	139	0	0.019949
FCGR2A	5	0.0048664	0.0164	0.694559	2	3	-0.096027	0.25462	0.25547	0.991229	45	0	-0.096027
PLAUR	5	0.0066196	0.022068	0.694559	3	2	-0.031132	0.86729	0.86652	0.991229	180	0	-0.031132
SELPLG	5	0.0067768	0.022446	0.694559	4	4	-0.14633	0.98788	0.98717	0.994417	203	0	-0.14633
TREM1	5	0.0096367	0.031092	0.694559	5	4	-0.10981	0.99328	0.99261	0.994417	205	0	-0.10981
ITGAX	5	0.01003	0.032268	0.694559	6	3	-0.16463	0.62342	0.62272	0.991229	123	0	-0.16463
CD19	5	0.011013	0.035465	0.694559	7	2	-0.020474	0.85165	0.851	0.991229	174	0	-0.020474
NLRP3	5	0.011949	0.038383	0.694559	8	3	-0.1053	0.99488	0.99442	0.994417	207	0	-0.1053
HLA-DRB5	5	0.012373	0.039439	0.694559	9	4	-0.084101	0.51561	0.51495	0.991229	98	0	-0.084101
TLR4	5	0.013711	0.043204	0.694559	10	2	-0.052772	0.716	0.71417	0.991229	144	0	-0.052772
CSF2RB	5	0.015391	0.048304	0.694559	11	2	-0.075258	0.52544	0.52472	0.991229	100	0	-0.075258
MRC2	5	0.016132	0.050376	0.694559	12	4	-0.13427	0.71275	0.71048	0.991229	143	0	-0.13427
C1QA	5	0.016231	0.050605	0.694559	13	3	-0.064171	0.9091	0.90791	0.994376	189	0	-0.064171
CTSB	5	0.017773	0.055058	0.694559	14	3	-0.15788	0.78556	0.78481	0.991229	161	0	-0.15788
CD80	5	0.018258	0.056502	0.694559	15	4	-0.090642	0.84279	0.84184	0.991229	171	0	-0.090642
NLRC4	5	0.018457	0.05691	0.694559	16	3	-0.11827	0.93917	0.9386	0.994417	193	0	-0.11827
ACTB	5	0.019157	0.058793	0.694559	17	3	-0.14192	0.57223	0.57152	0.991229	111	0	-0.14192
TNFRSF13C	5	0.019754	0.060396	0.694559	18	3	-0.095498	0.75418	0.75328	0.991229	153	0	-0.095498
P2RY12	5	0.024101	0.06957	0.69714	19	1	0.029196	0.47465	0.47383	0.991229	89	0	0.029196
LPL	5	0.028432	0.078236	0.69714	20	2	0.10152	0.12786	0.12783	0.991229	20	0	0.10152
GPNMB	5	0.029871	0.081075	0.69714	21	2	0.014998	0.472	0.47136	0.991229	88	0	0.014998
PILRA	5	0.031607	0.084481	0.69714	22	2	-0.0068372	0.15913	0.15998	0.991229	26	0	-0.0068372
FERMT3	5	0.032748	0.086593	0.69714	23	3	-0.1002	0.95127	0.9508	0.994417	196	0	-0.1002
SCIMP	5	0.033563	0.088286	0.69714	24	3	-0.1134	0.83562	0.83481	0.991229	169	0	-0.1134
CD48	5	0.034562	0.090129	0.69714	25	3	-0.10675	0.55166	0.55082	0.991229	105	0	-0.10675
TP53	5	0.036094	0.093217	0.69714	26	3	-0.082686	0.68918	0.6877	0.991229	135	0	-0.082686
C1QC	5	0.037049	0.0949	0.69714	27	2	-0.060775	0.41385	0.41406	0.991229	78	0	-0.060775
CD300LF	5	0.038014	0.096793	0.69714	28	2	0.043012	0.54226	0.5416	0.991229	103	0	0.043012
GPR183	5	0.03897	0.098735	0.69714	29	2	-0.067549	0.27538	0.27587	0.991229	48	0	-0.067549
TLR5	5	0.041335	0.10311	0.69714	30	1	0.061307	0.14752	0.14801	0.991229	24	0	0.061307
SPP1	5	0.042049	0.1044	0.69714	31	3	-0.14309	0.9913	0.99053	0.994417	204	0	-0.14309
CD300A	5	0.045938	0.11158	0.721811	32	3	-0.11445	0.90379	0.90295	0.994376	187	0	-0.11445
CD81	5	0.049068	0.11755	0.723742	33	3	-0.092442	0.45588	0.45519	0.991229	85	0	-0.092442
CD58	5	0.049776	0.11888	0.723742	34	3	-0.1154	0.88863	0.88811	0.99239	184	0	-0.1154
IL1RN	5	0.052306	0.12366	0.728379	35	3	-0.096663	0.74094	0.74028	0.991229	151	0	-0.096663
ABCA7	5	0.0541	0.12667	0.728379	36	1	-0.015446	0.86641	0.86573	0.991229	179	0	-0.015446
SIGLEC5	5	0.061024	0.13968	0.777021	37	3	-0.11477	0.79319	0.79223	0.991229	163	0	-0.11477
FPR1	5	0.062534	0.14264	0.777021	38	1	-0.0041985	0.35693	0.3574	0.991229	64	0	-0.0041985
SQSTM1	5	0.066728	0.15038	0.782603	39	2	-0.051227	0.4613	0.46039	0.991229	86	0	-0.051227
TMEM106B	5	0.067141	0.15123	0.782603	40	2	0.088988	0.18575	0.18637	0.991229	30	0	0.088988
PTPRE	5	0.075072	0.16593	0.837742	41	2	-0.01985	0.20803	0.20938	0.991229	35	0	-0.01985
IL2RG	5	0.079533	0.17362	0.854447	42	2	-0.0094628	0.091581	0.091394	0.991229	14	0	-0.0094628
CLEC2D	5	0.08157	0.17749	0.854447	43	3	-0.11151	0.61731	0.61612	0.991229	121	0	-0.11151
SLC24A4	5	0.090883	0.19369	0.896838	44	3	-0.061413	0.87077	0.87012	0.991229	181	0	-0.061413
CLU	5	0.091581	0.19496	0.896838	45	2	-0.048146	0.69607	0.69432	0.991229	137	0	-0.048146
CD40	5	0.095671	0.20276	0.905692	46	1	-0.068416	0.45316	0.4525	0.991229	84	0	-0.068416
GRN	5	0.097995	0.20717	0.905692	47	3	-0.083268	0.99383	0.99322	0.994417	206	0	-0.083268
EPHA1	5	0.099746	0.21002	0.905692	48	2	-0.019054	0.24407	0.24499	0.991229	43	0	-0.019054
HAVCR1	5	0.10381	0.21753	0.918935	49	2	0.046984	0.71112	0.709	0.991229	142	0	0.046984
FCGR2B	5	0.10728	0.2238	0.926536	50	3	-0.071213	0.9231	0.92203	0.994417	190	0	-0.071213
LRP8	5	0.11602	0.23872	0.948405	51	3	-0.12572	0.2117	0.21289	0.991229	36	0	-0.12572
IL15	5	0.12102	0.24801	0.948405	52	3	-0.072926	0.66037	0.65949	0.991229	129	0	-0.072926
ITGAL	5	0.12258	0.2506	0.948405	53	2	-0.054444	0.75561	0.75461	0.991229	154	0	-0.054444
CXCR3	5	0.12389	0.25189	0.948405	54	1	0.031814	0.35381	0.35453	0.991229	63	0	0.031814
UNC13D	5	0.12786	0.25579	0.948405	55	1	-0.025879	0.30232	0.30286	0.991229	54	0	-0.025879
VCP	5	0.13011	0.25795	0.948405	56	2	-0.043735	0.95359	0.95301	0.994417	197	0	-0.043735
TGFB1	5	0.13622	0.26473	0.948405	57	2	-0.019489	0.97402	0.97357	0.994417	198	0	-0.019489
TLR7	5	0.14714	0.27628	0.948405	58	2	-0.00095379	0.85451	0.85384	0.991229	175	0	-0.00095379
MS4A6A	5	0.14752	0.27665	0.948405	59	1	0.047413	0.40222	0.40225	0.991229	75	0	0.047413
ILDR1	5	0.15031	0.27967	0.948405	60	2	-0.025137	0.94418	0.94355	0.994417	195	0	-0.025137
CSF1R	5	0.1514	0.28081	0.948405	61	1	0.10381	0.024101	0.023681	0.980412	5	1	0.10381
TMEM106A	5	0.15528	0.28486	0.948405	62	1	0.046085	0.80183	0.80075	0.991229	165	0	0.046085
MERTK	5	0.16298	0.29311	0.948405	63	1	0.087663	0.062534	0.061472	0.991229	8	0	0.087663
LRP1	5	0.16316	0.29323	0.948405	64	2	0.095633	0.58333	0.58269	0.991229	114	0	0.095633
ITM2C	5	0.17443	0.30445	0.950209	65	1	0.0047551	0.8438	0.8429	0.991229	172	0	0.0047551
CD200R1	5	0.18575	0.31583	0.950209	66	1	0.029653	0.19323	0.19414	0.991229	32	0	0.029653
CLEC2B	5	0.19142	0.32192	0.950209	67	2	-0.079308	0.38741	0.38761	0.991229	71	0	-0.079308
ICAM3	5	0.19695	0.32814	0.950209	68	1	0.043137	0.49547	0.49464	0.991229	93	0	0.043137
CD14	5	0.20435	0.33632	0.950209	69	1	-0.0099822	0.85918	0.85889	0.991229	176	0	-0.0099822
TGFBR2	5	0.20803	0.34021	0.950209	70	2	0.17975	0.066728	0.065566	0.991229	9	0	0.17975
SERPINA1	5	0.20857	0.34076	0.950209	71	2	-0.028864	0.48254	0.48172	0.991229	90	0	-0.028864
SLC52A1	5	0.21378	0.3464	0.950209	72	2	0.046657	0.22261	0.22441	0.991229	38	0	0.046657
CD86	5	0.21535	0.34788	0.950209	73	2	-0.020811	0.8924	0.89171	0.99239	186	0	-0.020811
CD52	5	0.21898	0.35164	0.950209	74	1	-0.025068	0.070908	0.06972	0.991229	10	0	-0.025068
CD33	5	0.22077	0.35351	0.950209	75	2	-0.069855	0.70617	0.70401	0.991229	141	0	-0.069855
IL2RA	5	0.22605	0.35911	0.950209	76	2	0.037512	0.6413	0.6403	0.991229	124	0	0.037512
PILRB	5	0.22622	0.35927	0.950209	77	1	-0.010059	0.85069	0.85002	0.991229	173	0	-0.010059
VDR	5	0.2334	0.36656	0.950209	78	1	-0.0065592	0.5586	0.55809	0.991229	107	0	-0.0065592
CTLA4	5	0.23667	0.37	0.950209	79	2	-0.020209	0.42814	0.42787	0.991229	80	0	-0.020209
SNCA	5	0.23845	0.37159	0.950209	80	2	-0.045543	0.6585	0.65795	0.991229	128	0	-0.045543
SIGLEC9	5	0.24053	0.37375	0.950209	81	1	0.0066255	0.51809	0.51752	0.991229	99	0	0.0066255
BIN1	5	0.24919	0.38229	0.950209	82	2	-0.088911	0.86552	0.8649	0.991229	178	0	-0.088911
ITGB2	5	0.26544	0.39922	0.950209	83	2	-0.075668	0.50562	0.50513	0.991229	95	0	-0.075668
CD180	5	0.26851	0.40246	0.950209	84	1	-0.059241	0.3662	0.36621	0.991229	66	0	-0.059241
TREML2	5	0.27195	0.40599	0.950209	85	2	0.01513	0.79569	0.79476	0.991229	164	0	0.01513
MMP9	5	0.27637	0.41049	0.950209	86	2	-0.0076731	0.7287	0.72712	0.991229	148	0	-0.0076731
HEXA	5	0.28219	0.41661	0.950209	87	1	0.089765	0.36926	0.3693	0.991229	67	0	0.089765
CSF3R	5	0.28735	0.42233	0.950209	88	2	-0.072541	0.31875	0.31931	0.991229	56	0	-0.072541
P2RY6	5	0.29566	0.4305	0.950209	89	1	0.0014514	0.87669	0.8763	0.991229	183	0	0.0014514
SIRPA	5	0.299	0.4339	0.950209	90	1	0.049532	0.23697	0.23821	0.991229	41	0	0.049532
CD226	5	0.30209	0.43714	0.950209	91	2	-0.024667	0.75704	0.75596	0.991229	155	0	-0.024667
GPR141	5	0.30232	0.43737	0.950209	92	1	0.0087583	0.75988	0.7589	0.991229	156	0	0.0087583
CLIC1	5	0.30563	0.4407	0.950209	93	1	0.0851	0.28558	0.28654	0.991229	51	0	0.0851
TREM2	5	0.31318	0.44872	0.950209	94	2	-0.0071902	0.54932	0.54845	0.991229	104	0	-0.0071902
NPC2	5	0.322	0.45796	0.950209	95	1	0.010513	0.5942	0.59329	0.991229	118	0	0.010513
LILRA5	5	0.32804	0.46441	0.950209	96	2	-0.021611	0.56318	0.56261	0.991229	108	0	-0.021611
CR1	5	0.33487	0.47164	0.950209	97	1	0.033387	0.60694	0.60575	0.991229	120	0	0.033387
TARDBP	5	0.3392	0.47615	0.950209	98	2	-0.077795	0.97825	0.97787	0.994417	200	0	-0.077795
ITM2B	5	0.34293	0.47997	0.950209	99	2	0.0032397	0.39337	0.39398	0.991229	73	0	0.0032397
ICAM1	5	0.3448	0.48214	0.950209	100	2	-0.068346	0.93481	0.93405	0.994417	192	0	-0.068346
SELL	5	0.34755	0.48519	0.950209	101	1	-0.02041	0.25112	0.25194	0.991229	44	0	-0.02041
MS4A4A	5	0.34853	0.48625	0.950209	102	2	-0.071197	0.79194	0.79102	0.991229	162	0	-0.071197
IL10	5	0.35039	0.48818	0.950209	103	2	0.072158	0.22982	0.23143	0.991229	39	0	0.072158
IL1R1	5	0.35069	0.48841	0.950209	104	1	-0.05055	0.92366	0.92262	0.994417	191	0	-0.05055
ITGAM	5	0.35412	0.49212	0.950209	105	2	-0.022518	0.299	0.29949	0.991229	53	0	-0.022518
CD68	5	0.35972	0.49792	0.950209	106	2	-0.023541	0.29231	0.29324	0.991229	52	0	-0.023541
SIGLEC7	5	0.36159	0.49994	0.950209	107	2	-0.020405	0.72082	0.71899	0.991229	145	0	-0.020405
FCGR3B	5	0.36719	0.50551	0.950209	108	2	-0.026798	0.89166	0.89104	0.99239	185	0	-0.026798
FCGR2C	5	0.36926	0.5077	0.950209	109	1	-0.015148	0.55398	0.55308	0.991229	106	0	-0.015148
CSF2RA	5	0.37092	0.50937	0.950209	110	2	-0.0035964	0.66223	0.66123	0.991229	130	0	-0.0035964
CD300C	5	0.37279	0.51141	0.950209	111	2	0.052138	0.58113	0.58066	0.991229	113	0	0.052138
ITGB3	5	0.37652	0.51546	0.950209	112	2	-0.011232	0.34124	0.3422	0.991229	61	0	-0.011232
OLR1	5	0.38741	0.52709	0.950209	113	1	-0.049352	0.90845	0.90732	0.994376	188	0	-0.049352
ITGA5	5	0.38771	0.5275	0.950209	114	2	-0.044423	0.87248	0.87198	0.991229	182	0	-0.044423
CXCR4	5	0.39331	0.53358	0.950209	115	2	-0.089549	0.9745	0.97406	0.994417	199	0	-0.089549
FOLR2	5	0.39517	0.53577	0.950209	116	2	-0.01941	0.9433	0.94269	0.994417	194	0	-0.01941
LDLRAD3	5	0.40806	0.54698	0.950209	117	1	0.027302	0.67683	0.67554	0.991229	133	0	0.027302
FCGR3A	5	0.41096	0.54819	0.950209	118	1	0.082439	0.64325	0.6422	0.991229	125	0	0.082439
CD69	5	0.43378	0.55837	0.950209	119	1	0.080554	0.4929	0.4923	0.991229	92	0	0.080554
VLDLR	5	0.44492	0.56309	0.950209	120	1	-0.083537	0.69264	0.69106	0.991229	136	0	-0.083537
CTSH	5	0.44768	0.56445	0.950209	121	1	0.0092947	0.66408	0.66312	0.991229	131	0	0.0092947
IL1R2	5	0.4586	0.56931	0.950209	122	1	0.011083	0.49802	0.4973	0.991229	94	0	0.011083
CLN3	5	0.4613	0.57071	0.950209	123	1	0.032531	0.58988	0.58908	0.991229	116	0	0.032531
IL23A	5	0.47465	0.57723	0.950209	124	1	-0.033051	0.98639	0.98546	0.994417	202	0	-0.033051
SIRPB1	5	0.4929	0.58609	0.950209	125	1	0.24714	0.10381	0.10348	0.991229	16	0	0.24714
SORL1	5	0.49547	0.5874	0.950209	126	1	-0.032728	0.0541	0.053016	0.991229	7	0	-0.032728
LPAR2	5	0.50814	0.5938	0.950209	127	1	0.074109	0.015391	0.015564	0.980412	3	1	0.074109
TNFRSF1A	5	0.52788	0.60413	0.950209	128	1	0.045982	0.17822	0.17935	0.991229	29	0	0.045982
TGFBR3	5	0.53271	0.60692	0.950209	129	1	0.01878	0.00084748	0.0014194	0.146907	2	2	0.01878
CCR2	5	0.54698	0.61431	0.950209	130	1	0.023336	0.64903	0.64821	0.991229	126	0	0.023336
IL6R	5	0.5609	0.62203	0.950209	131	1	0.099376	0.49033	0.48942	0.991229	91	0	0.099376
VENTX	5	0.56546	0.62455	0.950209	132	1	0.052143	0.82381	0.82251	0.991229	167	0	0.052143
Non	100	0.56697	0.93209	0.994594	133	22	0.017411	0.57013	0.5746	0.991229	110	1	0.017411
CEMIP2	5	0.56998	0.62693	0.950209	134	1	0.025532	0.35069	0.35143	0.991229	62	0	0.025532
NFATC1	5	0.57223	0.6282	0.950209	135	1	0.19148	0.1397	0.13994	0.991229	22	0	0.19148
DPYD	5	0.57447	0.62952	0.950209	136	1	0.085597	0.56546	0.56486	0.991229	109	0	0.085597
PLEK	5	0.5767	0.63077	0.950209	137	1	0.034921	0.72714	0.7256	0.991229	147	0	0.034921
AIF1	5	0.57892	0.63207	0.950209	138	1	0.062043	0.037049	0.036242	0.991229	6	1	0.062043
ABCA1	5	0.58113	0.63347	0.950209	139	1	-0.0096419	0.20435	0.20531	0.991229	34	0	-0.0096419
LDLR	5	0.61731	0.6545	0.964955	140	1	0.10736	0.44492	0.44424	0.991229	82	0	0.10736
CLDN7	5	0.63542	0.66613	0.964955	141	1	0.010346	0.62139	0.62051	0.991229	122	0	0.010346
RYR1	5	0.65094	0.67627	0.964955	142	1	0.07432	0.17443	0.17554	0.991229	28	0	0.07432
P2RY13	5	0.66037	0.68261	0.964955	143	1	-0.034395	0.59204	0.59106	0.991229	117	0	-0.034395
LILRB4	5	0.66593	0.68632	0.964955	144	1	-0.054484	0.76409	0.76289	0.991229	157	0	-0.054484
SLC16A5	5	0.66776	0.68747	0.964955	145	1	0.10294	0.33487	0.33592	0.991229	59	0	0.10294
IFNGR2	5	0.66959	0.68844	0.964955	146	1	-0.02571	0.72557	0.72395	0.991229	146	0	-0.02571
TGFBI	5	0.68393	0.69863	0.964955	147	1	0.025251	0.26851	0.26949	0.991229	47	0	0.025251
AXL	5	0.68744	0.70127	0.964955	148	1	0.019316	0.66959	0.66829	0.991229	132	0	0.019316
LRRK2	5	0.68918	0.70241	0.964955	149	1	-0.029669	0.83975	0.83901	0.991229	170	0	-0.029669
IRF5	5	0.69777	0.70862	0.964955	150	1	0.21041	0.083356	0.082808	0.991229	12	0	0.21041
LYVE1	5	0.70115	0.71094	0.964955	151	1	0.03754	0.13182	0.13177	0.991229	21	0	0.03754
TLR2	5	0.70283	0.71218	0.964955	152	1	0.072342	0.30893	0.30938	0.991229	55	0	0.072342
APOE	5	0.7045	0.71341	0.964955	153	1	0.034737	0.8125	0.81091	0.991229	166	0	0.034737
C1QB	5	0.70617	0.71465	0.964955	154	1	0.094363	0.17063	0.17155	0.991229	27	0	0.094363
SYK	5	0.71438	0.7212	0.964955	155	1	-0.064143	0.74541	0.7448	0.991229	152	0	-0.064143
LYZ	5	0.716	0.72255	0.964955	156	1	-0.040786	0.98261	0.98197	0.994417	201	0	-0.040786
FCGR1A	5	0.72241	0.72773	0.965642	157	1	-0.059515	0.39928	0.39963	0.991229	74	0	-0.059515
LRP6	5	0.73488	0.73861	0.969548	158	1	-0.034771	0.67861	0.67732	0.991229	134	0	-0.034771
CD37	5	0.7364	0.74004	0.969548	159	1	0.12531	0.2334	0.23475	0.991229	40	0	0.12531
NRP1	5	0.75561	0.75662	0.983274	160	1	-0.038229	0.24053	0.24175	0.991229	42	0	-0.038229
SCARB1	5	0.77098	0.77021	0.983274	161	1	-0.005769	0.65662	0.6562	0.991229	127	0	-0.005769
CD300LB	5	0.77503	0.77442	0.983274	162	1	0.19608	0.1514	0.15211	0.991229	25	0	0.19608
IRF8	5	0.78427	0.78337	0.983274	163	1	-0.014201	0.45042	0.44993	0.991229	83	0	-0.014201
TYRO3	5	0.81133	0.80971	0.983274	164	0	0.080568	0.3904	0.39087	0.991229	72	0	0.080568
FLT1	5	0.8227	0.82135	0.983274	165	0	0.037712	0.78035	0.77949	0.991229	160	0	0.037712
TGFBR1	5	0.82381	0.82251	0.983274	166	0	0.0087683	0.1895	0.1902	0.991229	31	0	0.0087683
LAPTM5	5	0.82818	0.82721	0.983274	167	0	0.077133	0.37536	0.37537	0.991229	68	0	0.077133
APP	5	0.82926	0.82813	0.983274	168	0	0.088939	0.59634	0.59564	0.991229	119	0	0.088939
GPR65	5	0.83457	0.83373	0.983274	169	0	0.042903	0.7045	0.70246	0.991229	140	0	0.042903
TLR10	5	0.83562	0.83481	0.983274	170	0	0.11735	0.10785	0.10776	0.991229	17	0	0.11735
SUCNR1	5	0.83872	0.83791	0.983274	171	0	0.09232	0.42246	0.42217	0.991229	79	0	0.09232
CR2	5	0.8438	0.8429	0.983274	172	0	-0.056863	0.37839	0.37859	0.991229	69	0	-0.056863
LTBR	5	0.8448	0.84405	0.983274	173	0	0.098031	0.32846	0.32923	0.991229	58	0	0.098031
ADAM10	5	0.84972	0.84905	0.983274	174	0	0.0013167	0.5303	0.52982	0.991229	101	0	0.0013167
MRC1	5	0.85165	0.851	0.983274	175	0	0.015334	0.38442	0.38456	0.991229	70	0	0.015334
NFATC2	5	0.85451	0.85384	0.983274	176	0	0.12338	0.14361	0.14406	0.991229	23	0	0.12338
FPR3	5	0.85546	0.85487	0.983274	177	0	0.035903	0.46934	0.46846	0.991229	87	0	0.035903
CD44	5	0.85918	0.85889	0.983274	178	0	0.01938	0.28219	0.28301	0.991229	50	0	0.01938
APOC1	5	0.8601	0.8598	0.983274	179	0	0.00039172	0.322	0.3227	0.991229	57	0	0.00039172
CLECL1	5	0.86373	0.86316	0.983274	180	0	-0.0064956	0.50814	0.50775	0.991229	96	0	-0.0064956
CDKN2A	5	0.86463	0.86404	0.983274	181	0	0.11523	0.41096	0.41134	0.991229	77	0	0.11523
FCER1G	5	0.87418	0.87376	0.983274	182	0	0.18431	0.099746	0.099313	0.991229	15	0	0.18431
PLCB3	5	0.87997	0.87948	0.983274	183	0	0.10256	0.079222	0.078425	0.991229	11	0	0.10256
ADGRG1	5	0.8871	0.88679	0.983274	184	0	0.019389	0.43937	0.43909	0.991229	81	0	0.019389
CD1D	5	0.88787	0.88742	0.983274	185	0	-0.0070738	0.82818	0.82721	0.991229	168	0	-0.0070738
TNFRSF10B	5	0.89091	0.89019	0.983274	186	0	0.017511	0.1199	0.12003	0.991229	19	0	0.017511
C3AR1	5	0.89534	0.89486	0.983274	187	0	-0.00036939	0.5767	0.57604	0.991229	112	0	-0.00036939
GPR87	5	0.90034	0.90001	0.983274	188	0	0.12167	0.27879	0.27933	0.991229	49	0	0.12167
ADA2	5	0.9031	0.9024	0.983274	189	0	-0.025946	0.5877	0.58677	0.991229	115	0	-0.025946
IL15RA	5	0.90446	0.90344	0.983274	190	0	0.026679	0.019754	0.019657	0.980412	4	1	0.026679
PLCG2	5	0.90845	0.90732	0.983274	191	0	0.0016385	0.087476	0.086872	0.991229	13	0	0.0016385
CLEC7A	5	0.91104	0.90996	0.983274	192	0	-0.016872	0.76548	0.76426	0.991229	158	0	-0.016872
LRP1B	5	0.91294	0.91202	0.983274	193	0	0.04683	0.51064	0.50998	0.991229	97	0	0.04683
PTPRC	5	0.9358	0.93509	0.994594	194	0	0.06129	0.36312	0.36311	0.991229	65	0	0.06129
LSR	5	0.93823	0.93771	0.994594	195	0	0.12311	0.40514	0.40544	0.991229	76	0	0.12311
ABI3	5	0.94462	0.94414	0.994594	196	0	0.032874	0.86102	0.86069	0.991229	177	0	0.032874
TREML4	5	0.95969	0.95886	0.994594	197	0	0.11163	0.20066	0.20181	0.991229	33	0	0.11163
HEXB	5	0.96037	0.95965	0.994594	198	0	0.14061	0.26506	0.26604	0.991229	46	0	0.14061
NRP2	5	0.9672	0.96683	0.994594	199	0	0.07454	0.69777	0.69596	0.991229	138	0	0.07454
IFNGR1	5	0.96833	0.96807	0.994594	200	0	0.016504	0.73488	0.73384	0.991229	149	0	0.016504
GBA	5	0.96861	0.96838	0.994594	201	0	0.034822	0.53271	0.5322	0.991229	102	0	0.034822
S100A4	5	0.97155	0.97122	0.994594	202	0	0.031056	0.76687	0.76558	0.991229	159	0	0.031056
C9orf72	5	0.97906	0.97855	0.994594	203	0	0.060145	0.33806	0.33897	0.991229	60	0	0.060145
IL21R	5	0.98244	0.98177	0.994594	204	0	0.065174	0.21535	0.2163	0.991229	37	0	0.065174
CHRNE	5	0.98595	0.98498	0.994594	205	0	0.042738	0.73792	0.73722	0.991229	150	0	0.042738
TYROBP	5	0.99799	0.99775	0.999995	206	0	0.18324	0.11188	0.11168	0.991229	18	0	0.18324
SPI1	5	1.0	1.0	0.999995	207	0	0.5096	9.6514e-09	4.9803e-06	0.001031	1	4	0.5096
