sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
FPR2_CRISPRa_sgRNA_1	FPR2	856.04/1336.9	841.09/855.72	1096.5	848.41	-0.36964	1.156e+05	6.1206e+06	0.8576	0.19556	0.80444	0.39111	0.66084	False
PLAUR_CRISPRa_sgRNA_5	PLAUR	564.74/697.97	512.78/435.32	631.35	474.05	-0.41266	8875.8	1.7853e+06	0.84941	0.19783	0.80217	0.39565	0.66084	False
CD19_CRISPRa_sgRNA_3	CD19	781.37/853.54	660.86/604.83	817.46	632.85	-0.36877	2603.7	3.1778e+06	0.84088	0.20021	0.79979	0.40042	0.66084	False
CSF2RB_CRISPRa_sgRNA_4	CSF2RB	1065.3/801.96	626.17/844.87	933.64	735.52	-0.34369	34679	4.2752e+06	0.83532	0.20177	0.79823	0.40354	0.66084	False
TNFRSF13C_CRISPRa_sgRNA_1	TNFRSF13C	781.37/678	527.16/615.68	729.69	571.42	-0.35218	5342.7	2.4662e+06	0.82599	0.2044	0.7956	0.40881	0.66084	False
P2RY12_CRISPRa_sgRNA_5	P2RY12	741.41/578.18	472.16/556.01	659.79	514.09	-0.35938	13323	1.9698e+06	0.82419	0.20492	0.79508	0.40983	0.66084	False
LPL_CRISPRa_sgRNA_5	LPL	938.07/1132.2	919.79/754.01	1035.1	836.9	-0.30638	18848	5.3829e+06	0.8218	0.20559	0.79441	0.41119	0.66084	False
FERMT3_CRISPRa_sgRNA_2	FERMT3	746.67/625.59	549.16/541.1	686.13	545.13	-0.33134	7329.7	2.1496e+06	0.81168	0.20849	0.79151	0.41698	0.66084	False
C1QC_CRISPRa_sgRNA_2	C1QC	801.36/734.57	589.78/667.22	767.97	628.5	-0.28872	2229.9	2.7643e+06	0.79555	0.21315	0.78685	0.4263	0.66084	False
TLR5_CRISPRa_sgRNA_5	TLR5	752.98/825.25	652.4/646.87	789.12	649.64	-0.28022	2611.6	2.9371e+06	0.79259	0.21401	0.78599	0.42802	0.66084	False
TLR4_CRISPRa_sgRNA_4	TLR4	800.3/760.36	639.7/645.52	780.33	642.61	-0.27975	797.63	2.8647e+06	0.79171	0.21427	0.78573	0.42853	0.66084	False
ITGAX_CRISPRa_sgRNA_5	ITGAX	523.72/623.1	477.24/450.23	573.41	463.74	-0.30566	4938	1.4401e+06	0.78805	0.21533	0.78467	0.43067	0.66084	False
ABCA7_CRISPRa_sgRNA_2	ABCA7	650.97/702.13	585.55/528.89	676.55	557.22	-0.27949	1308.7	2.0832e+06	0.78343	0.21669	0.78331	0.43337	0.66084	False
Non_Targeting_75	Non	730.9/752.88	616.86/618.39	741.89	617.63	-0.26407	241.58	2.5591e+06	0.78047	0.21756	0.78244	0.43512	0.66084	False
FPR1_CRISPRa_sgRNA_1	FPR1	793.99/853.54	664.24/720.1	823.77	692.17	-0.25077	1772.7	3.2328e+06	0.7794	0.21787	0.78213	0.43575	0.66084	False
SQSTM1_CRISPRa_sgRNA_3	SQSTM1	592.08/529.93	416.32/500.41	561	458.36	-0.29094	1931.5	1.3715e+06	0.77895	0.21801	0.78199	0.43601	0.66084	False
NLRC4_CRISPRa_sgRNA_5	NLRC4	873.92/913.43	751.4/760.79	893.68	756.09	-0.2409	780.71	3.8775e+06	0.77886	0.21803	0.78197	0.43606	0.66084	False
PTPRE_CRISPRa_sgRNA_4	PTPRE	687.78/788.65	611.78/619.75	738.21	615.77	-0.26127	5087.4	2.5309e+06	0.77868	0.21808	0.78192	0.43617	0.66084	False
NLRP3_CRISPRa_sgRNA_5	NLRP3	782.43/750.38	632.09/650.94	766.4	641.52	-0.25625	513.46	2.7518e+06	0.77816	0.21824	0.78176	0.43647	0.66084	False
FCGR2A_CRISPRa_sgRNA_2	FCGR2A	939.12/892.64	810.63/747.23	915.88	778.93	-0.23339	1080.4	4.0958e+06	0.77628	0.21879	0.78121	0.43758	0.66084	False
CD58_CRISPRa_sgRNA_1	CD58	758.24/707.12	607.55/619.75	732.68	613.65	-0.25538	1306.5	2.4888e+06	0.7751	0.21914	0.78086	0.43828	0.66084	False
CLU_CRISPRa_sgRNA_4	CLU	981.19/984.98	806.4/877.41	983.08	841.91	-0.22341	7.1848	4.7972e+06	0.7751	0.21914	0.78086	0.43828	0.66084	False
CD40_CRISPRa_sgRNA_5	CD40	1214.7/794.47	852.94/871.99	1004.6	862.47	-0.21979	88276	5.0343e+06	0.77444	0.21934	0.78066	0.43867	0.66084	False
EPHA1_CRISPRa_sgRNA_4	EPHA1	858.14/1111.4	752.25/937.08	984.79	844.67	-0.22119	32076	4.8157e+06	0.77401	0.21946	0.78054	0.43892	0.66084	False
HAVCR1_CRISPRa_sgRNA_4	HAVCR1	678.31/595.65	523.78/538.38	636.98	531.08	-0.26186	3416.9	1.821e+06	0.77054	0.22049	0.77951	0.44098	0.66084	False
FCGR2A_CRISPRa_sgRNA_3	FCGR2A	781.37/841.06	719.25/659.08	811.22	689.16	-0.23493	1781.1	3.1239e+06	0.77003	0.22064	0.77936	0.44128	0.66084	False
PILRA_CRISPRa_sgRNA_2	PILRA	563.68/661.37	524.63/499.06	612.52	511.84	-0.25861	4771	1.6686e+06	0.76655	0.22167	0.77833	0.44335	0.66084	False
CD300A_CRISPRa_sgRNA_4	CD300A	514.26/544.9	421.39/457.02	529.58	439.2	-0.26939	469.51	1.2059e+06	0.76408	0.22241	0.77759	0.44482	0.66084	False
SELPLG_CRISPRa_sgRNA_3	SELPLG	749.83/707.12	638.01/600.76	728.47	619.39	-0.23368	911.81	2.457e+06	0.76311	0.2227	0.7773	0.4454	0.66084	False
CXCR3_CRISPRa_sgRNA_3	CXCR3	807.67/785.32	710.78/653.65	796.49	682.22	-0.22313	249.65	2.9988e+06	0.76262	0.22285	0.77715	0.44569	0.66084	False
UNC13D_CRISPRa_sgRNA_3	UNC13D	1032.7/766.19	689.63/866.57	899.45	778.1	-0.20885	35520	3.9336e+06	0.76206	0.22301	0.77699	0.44602	0.66084	False
GPNMB_CRISPRa_sgRNA_1	GPNMB	765.6/663.86	639.7/576.35	714.73	608.03	-0.2329	5175.3	2.3548e+06	0.76158	0.22316	0.77684	0.44631	0.66084	False
C1QA_CRISPRa_sgRNA_4	C1QA	962.26/859.36	742.94/836.73	910.81	789.83	-0.20536	5294	4.0454e+06	0.76092	0.22335	0.77665	0.4467	0.66084	False
GPR183_CRISPRa_sgRNA_5	GPR183	704.6/729.58	567.78/655.01	717.09	611.4	-0.22971	311.97	2.3722e+06	0.76004	0.22361	0.77639	0.44723	0.66084	False
FCGR2B_CRISPRa_sgRNA_5	FCGR2B	763.5/697.14	571.17/676.71	730.32	623.94	-0.22679	2201.7	2.4709e+06	0.75953	0.22377	0.77623	0.44754	0.66084	False
MS4A6A_CRISPRa_sgRNA_3	MS4A6A	547.91/549.89	517.86/401.41	548.9	459.64	-0.25554	1.9645	1.3063e+06	0.75862	0.22404	0.77596	0.44808	0.66084	False
CSF1R_CRISPRa_sgRNA_4	CSF1R	922.3/757.04	689.63/762.14	839.67	725.89	-0.2098	13655	3.3738e+06	0.75853	0.22407	0.77593	0.44814	0.66084	False
