id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
P2RY6	5	0.00040504	0.0014592	0.302062	1	3	-0.199	0.89534	0.89486	0.977451	187	0	-0.199
CSF2RB	5	0.0013935	0.0040888	0.423196	2	2	-0.05485	0.2117	0.25108	0.977451	52	1	-0.05485
CD300LB	5	0.0054574	0.014119	0.560677	3	3	-0.14434	0.52544	0.52472	0.977451	105	0	-0.14434
MS4A6A	5	0.0063057	0.0164	0.560677	4	3	-0.14514	0.75988	0.7589	0.977451	154	0	-0.14514
TMEM106A	5	0.0066196	0.017287	0.560677	5	2	0.013977	0.74689	0.74631	0.977451	150	0	0.013977
CLEC2B	5	0.0068999	0.017964	0.560677	6	2	-0.0091059	0.31875	0.33322	0.977451	68	1	-0.0091059
FPR2	5	0.0073465	0.01896	0.560677	7	2	-0.1224	0.44492	0.44449	0.977451	90	1	-0.1224
PTPRE	5	0.011013	0.027138	0.699771	8	1	-0.050506	0.74836	0.74784	0.977451	151	0	-0.050506
IL6R	5	0.013111	0.030425	0.699771	9	2	-0.072369	0.30893	0.3249	0.977451	66	1	-0.072369
EPHA1	5	0.026526	0.051143	0.933121	10	2	0.089157	0.17822	0.22663	0.977451	44	1	0.089157
Non	100	0.029372	0.15403	0.933121	11	11	0.010367	0.72514	0.94608	0.981673	144	7	0.010367
ITGA5	5	0.037049	0.067827	0.933121	12	1	-0.087802	0.99448	0.99396	0.993959	207	0	-0.087802
LTBR	5	0.03897	0.071024	0.933121	13	2	-0.065066	0.039936	0.07464	0.751951	18	2	-0.065066
CSF2RA	5	0.039936	0.072529	0.933121	14	2	-0.055946	0.4196	0.4211	0.977451	87	1	-0.055946
TREM1	5	0.045605	0.080886	0.933121	15	1	0.020997	0.25812	0.2853	0.977451	60	1	0.020997
CD37	5	0.046972	0.082878	0.933121	16	2	-0.057668	0.87163	0.87111	0.977451	182	0	-0.057668
CTLA4	5	0.048015	0.0848	0.933121	17	2	-0.11201	0.41096	0.41367	0.977451	85	1	-0.11201
CTSH	5	0.04986	0.087499	0.933121	18	1	-0.0098201	0.81365	0.81214	0.977451	167	0	-0.0098201
CTSB	5	0.0541	0.094063	0.933121	19	1	-0.021226	0.82159	0.82017	0.977451	169	0	-0.021226
ABI3	5	0.054472	0.094522	0.933121	20	2	-0.026524	0.54932	0.54845	0.977451	113	0	-0.026524
NRP2	5	0.062534	0.10685	0.933121	21	1	0.060296	0.67323	0.67203	0.977451	135	0	0.060296
VDR	5	0.063582	0.10839	0.933121	22	2	0.088866	0.35693	0.36544	0.977451	73	1	0.088866
TREML2	5	0.065946	0.11191	0.933121	23	2	-0.018809	0.92253	0.92152	0.977451	195	0	-0.018809
CR1	5	0.066728	0.11296	0.933121	24	1	-0.053962	0.85356	0.85289	0.977451	177	0	-0.053962
TLR2	5	0.068343	0.11544	0.933121	25	2	-0.064431	0.19695	0.24023	0.977451	48	1	-0.064431
SIRPB1	5	0.070908	0.11927	0.933121	26	1	0.00094554	0.0073465	0.01908	0.522294	7	2	0.00094554
ITGAX	5	0.075072	0.12564	0.933121	27	1	-0.0057152	0.92645	0.92551	0.977451	197	0	-0.0057152
PTPRC	5	0.076991	0.12842	0.933121	28	2	-0.10181	0.39337	0.39772	0.977451	81	1	-0.10181
GPR183	5	0.083356	0.13825	0.933121	29	1	-0.0019923	0.58333	0.58269	0.977451	119	0	-0.0019923
IL23A	5	0.087342	0.14426	0.933121	30	2	-0.13734	0.716	0.71417	0.977451	142	0	-0.13734
CD300A	5	0.087476	0.14436	0.933121	31	1	0.072663	0.37536	0.38112	0.977451	78	1	0.072663
CD180	5	0.095671	0.15105	0.933121	32	1	-0.054397	0.57223	0.57152	0.977451	117	0	-0.054397
DPYD	5	0.10785	0.15987	0.933121	33	1	-0.048595	0.97866	0.97815	0.984241	205	0	-0.048595
FPR3	5	0.1159	0.16567	0.933121	34	1	-0.049398	0.57447	0.57379	0.977451	118	0	-0.049398
CHRNE	5	0.1199	0.16888	0.933121	35	1	-0.092463	0.24407	0.27469	0.977451	58	1	-0.092463
CD80	5	0.12389	0.17164	0.933121	36	1	0.080005	0.027346	0.055067	0.744652	14	2	0.080005
ITGAM	5	0.13577	0.18026	0.933121	37	1	-0.050887	0.82818	0.82721	0.977451	170	0	-0.050887
ADA2	5	0.1397	0.18331	0.933121	38	1	0.013862	0.84579	0.84493	0.977451	175	0	0.013862
FLT1	5	0.14361	0.18641	0.933121	39	1	-0.056519	0.95867	0.95796	0.981673	202	0	-0.056519
HEXB	5	0.14752	0.18935	0.933121	40	1	0.00043674	0.9148	0.91398	0.977451	191	0	0.00043674
LRP6	5	0.15913	0.19833	0.933121	41	1	-0.037649	0.78297	0.78211	0.977451	159	0	-0.037649
TLR7	5	0.16681	0.20386	0.933121	42	1	-0.10982	0.54226	0.5416	0.977451	110	0	-0.10982
LPAR2	5	0.17063	0.20678	0.933121	43	1	-0.058345	0.18199	0.22909	0.977451	45	1	-0.058345
PLEK	5	0.17822	0.21265	0.933121	44	1	-0.038977	0.88238	0.88189	0.977451	184	0	-0.038977
CD81	5	0.18199	0.21527	0.933121	45	1	0.028232	0.60483	0.60396	0.977451	124	0	0.028232
CD1D	5	0.18575	0.2179	0.933121	46	1	-0.02584	0.95397	0.95339	0.981673	201	0	-0.02584
P2RY13	5	0.1895	0.22079	0.933121	47	1	-0.033252	0.27879	0.30108	0.977451	61	1	-0.033252
CEMIP2	5	0.19323	0.22381	0.933121	48	1	0.052865	0.1895	0.23427	0.977451	47	1	0.052865
ICAM3	5	0.19695	0.22704	0.933121	49	1	-0.0074665	0.78813	0.78744	0.977451	161	0	-0.0074665
LAPTM5	5	0.20435	0.23262	0.933121	50	1	-0.0061722	0.59848	0.59773	0.977451	122	0	-0.0061722
SORL1	5	0.20803	0.23578	0.933121	51	1	0.005067	0.91542	0.91453	0.977451	192	0	0.005067
SIGLEC9	5	0.2117	0.2385	0.933121	52	1	0.040061	0.21535	0.25348	0.977451	53	1	0.040061
CD14	5	0.22622	0.25038	0.933121	53	1	-0.012086	0.22261	0.25931	0.977451	54	1	-0.012086
NRP1	5	0.22982	0.253	0.933121	54	1	0.045875	0.044913	0.081623	0.751951	21	2	0.045875
ADGRG1	5	0.2334	0.25571	0.933121	55	1	0.00013411	0.85165	0.851	0.977451	176	0	0.00013411
AIF1	5	0.24053	0.26128	0.933121	56	1	-0.056812	0.89462	0.89409	0.977451	186	0	-0.056812
CLN3	5	0.2476	0.26661	0.933121	57	1	-0.073294	0.31549	0.33055	0.977451	67	1	-0.073294
CLIC1	5	0.25112	0.2695	0.933121	58	1	0.11208	0.25112	0.27994	0.977451	59	1	0.11208
C1QA	5	0.25462	0.27229	0.933121	59	1	-0.034475	0.83246	0.83152	0.977451	171	0	-0.034475
IL1RN	5	0.25812	0.27517	0.933121	60	1	-0.039229	0.7045	0.70246	0.977451	140	0	-0.039229
FCGR2C	5	0.26159	0.27797	0.933121	61	1	-0.11573	0.93331	0.93259	0.979931	198	0	-0.11573
CD40	5	0.26506	0.28104	0.933121	62	1	-0.036	0.96861	0.96838	0.984241	203	0	-0.036
CLECL1	5	0.26851	0.28399	0.933121	63	1	0.089717	0.079222	0.13239	0.897648	30	1	0.089717
FCGR3A	5	0.27879	0.29204	0.943855	64	1	-0.0066335	0.50814	0.50775	0.977451	102	0	-0.0066335
ITM2B	5	0.28558	0.29806	0.943855	65	1	0.083806	0.13577	0.19616	0.977451	37	1	0.083806
