sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
LILRA5_CRISPRi_sgRNA_2	LILRA5	964.16/1014.5	1366.8/1606.5	989.33	1486.6	0.58702	1267.7	15986	3.9331	0.99996	4.1932e-05	8.3864e-05	0.094767	True
ITGAL_CRISPRi_sgRNA_2	ITGAL	747.74/783.78	1065.2/977.37	765.76	1021.3	0.41495	649.45	11259	2.4082	0.99198	0.0080161	0.016032	0.99982	True
IFNGR2_CRISPRi_sgRNA_2	IFNGR2	590.9/747.67	953.69/827.01	669.28	890.35	0.41122	12289	9366.1	2.2842	0.98882	0.011179	0.022358	0.99982	True
GBA_CRISPRi_sgRNA_3	GBA	556.85/560.09	697.74/769.51	558.47	733.63	0.39294	5.2528	7315.7	2.0478	0.97971	0.020289	0.040577	0.99982	True
PILRA_CRISPRi_sgRNA_2	PILRA	909.45/967.84	1110.8/1247.1	938.64	1179	0.32858	1704.7	14875	1.9706	0.97561	0.024386	0.048773	0.99982	True
NLRP3_CRISPRi_sgRNA_1	NLRP3	772.06/823.41	1078.7/943.1	797.73	1010.9	0.34129	1318.6	11906	1.9536	0.97463	0.025373	0.050746	0.99982	True
C1QC_CRISPRi_sgRNA_4	C1QC	674.79/734.46	881.89/909.93	704.63	895.91	0.34606	1780.5	10048	1.9082	0.97182	0.028181	0.056361	0.99982	True
FCGR1A_CRISPRi_sgRNA_3	FCGR1A	345.3/368.11	513.59/436.72	356.7	475.16	0.41267	260.26	3973.6	1.8791	0.96988	0.030115	0.060231	0.99982	True
SIRPB1_CRISPRi_sgRNA_2	SIRPB1	834.06/742.39	964.67/1009.4	788.23	987.05	0.32415	4202.1	11713	1.8372	0.96691	0.033093	0.066186	0.99982	True
C1QB_CRISPRi_sgRNA_4	C1QB	847.44/1011	1126/1175.3	929.21	1150.6	0.30807	13374	14671	1.8282	0.96624	0.033761	0.067523	0.99982	True
IRF8_CRISPRi_sgRNA_3	IRF8	1084.5/1355.3	1341.4/1598.7	1219.9	1470.1	0.2689	36665	21304	1.7139	0.95672	0.043278	0.086555	0.99982	True
TGFBR1_CRISPRi_sgRNA_5	TGFBR1	668.71/622.62	831.21/771.73	645.67	801.47	0.31142	1062.1	8917.6	1.6499	0.95051	0.049486	0.098972	0.99982	True
TARDBP_CRISPRi_sgRNA_2	TARDBP	533.75/542.48	718.86/624.68	538.12	671.77	0.31951	38.098	6954.4	1.6027	0.9455	0.054504	0.10901	0.99982	True
NPC2_CRISPRi_sgRNA_4	NPC2	520.38/514.3	676.62/614.73	517.34	645.67	0.31914	18.468	6590.9	1.5808	0.94304	0.056963	0.11393	0.99982	True
Non_Targeting_86	Non	515.51/512.54	682.54/599.25	514.03	640.89	0.31768	4.4268	6533.5	1.5695	0.94174	0.058261	0.11652	0.99982	True
P2RY6_CRISPRi_sgRNA_1	P2RY6	1269.3/1430.2	1007.8/1208.4	1349.8	1108.1	-0.28438	12935	24475	1.5447	0.061214	0.93879	0.12243	0.99982	False
BIN1_CRISPRi_sgRNA_3	BIN1	764.76/925.56	1077/958.58	845.16	1017.8	0.26786	12929	12885	1.5208	0.93585	0.06415	0.1283	0.99982	True
NRP1_CRISPRi_sgRNA_2	NRP1	646.82/740.63	797.42/890.03	693.73	843.72	0.28203	4399.5	9836.5	1.5124	0.93478	0.065219	0.13044	0.99982	True
VENTX_CRISPRi_sgRNA_1	VENTX	645.61/595.32	768.7/749.61	620.46	759.16	0.29062	1264.5	8445.8	1.5091	0.93437	0.065632	0.13126	0.99982	True
CLECL1_CRISPRi_sgRNA_3	CLECL1	533.75/538.96	658.04/653.42	536.36	655.73	0.28943	13.554	6923.4	1.4347	0.92431	0.075688	0.15138	0.99982	True
GRN_CRISPRi_sgRNA_3	GRN	631.02/700.12	837.12/762.88	665.57	800	0.26505	2387.3	9295.2	1.3944	0.9184	0.081605	0.16321	0.99982	True
TMEM106A_CRISPRi_sgRNA_4	TMEM106A	663.85/579.47	467.13/519.64	621.66	493.39	-0.3328	3559.8	8468	1.3939	0.081672	0.91833	0.16334	0.99982	False
APP_CRISPRi_sgRNA_4	APP	635.88/577.71	820.23/643.47	606.79	731.85	0.26993	1692.2	8192.8	1.3816	0.91645	0.083546	0.16709	0.99982	True
TARDBP_CRISPRi_sgRNA_1	TARDBP	706.4/746.79	816/917.67	726.6	866.84	0.25428	815.73	10479	1.37	0.91465	0.085349	0.1707	0.99982	True
VCP_CRISPRi_sgRNA_3	VCP	804.88/783.78	947.78/938.68	794.33	943.23	0.24758	222.69	11837	1.3685	0.91443	0.08557	0.17114	0.99982	True
PTPRE_CRISPRi_sgRNA_2	PTPRE	718.56/901.79	652.97/668.9	810.17	660.94	-0.29332	16786	12161	1.3533	0.087983	0.91202	0.17597	0.99982	False
RPL11_CRISPRi_sgRNA_1	RPL11	429.19/473.79	557.52/543.97	451.49	550.74	0.28611	994.59	5475.1	1.3414	0.9101	0.089902	0.1798	0.99982	True
CD300LB_CRISPRi_sgRNA_1	CD300LB	860.81/916.76	698.59/763.99	888.78	731.29	-0.28105	1565	13804	1.3405	0.090038	0.90996	0.18008	0.99982	False
RPL7_CRISPRi_sgRNA_1	RPL7	508.22/483.48	640.3/562.76	495.85	601.53	0.27823	306.08	6220.6	1.34	0.90987	0.090131	0.18026	0.99982	True
RPL11_CRISPRi_sgRNA_5	RPL11	455.94/589.16	583.7/677.75	522.55	630.73	0.27098	8873.4	6681.5	1.3234	0.90715	0.092845	0.18569	0.99982	True
TREML4_CRISPRi_sgRNA_3	TREML4	787.86/730.06	968.05/825.9	758.96	896.98	0.24075	1670.5	11122	1.3087	0.90468	0.095321	0.19064	0.99982	True
LDLR_CRISPRi_sgRNA_4	LDLR	1049.3/1050.6	1289.9/1154.3	1049.9	1222.1	0.21884	0.91168	17343	1.3071	0.90442	0.095582	0.19116	0.99982	True
HLA-DRB5_CRISPRi_sgRNA_1	HLA-DRB5	757.47/738.87	901.32/867.92	748.17	884.62	0.2414	172.97	10906	1.3066	0.90432	0.095678	0.19136	0.99982	True
IRF5_CRISPRi_sgRNA_2	IRF5	751.39/796.11	995.93/823.69	773.75	909.81	0.23342	1000	11420	1.2732	0.89853	0.10147	0.20293	0.99982	True
Non_Targeting_81	Non	900.93/1005.7	835.43/757.35	953.32	796.39	-0.25918	5488.3	15194	1.2731	0.10149	0.89851	0.20299	0.99982	False
Non_Targeting_72	Non	702.75/657.85	799.95/802.68	680.3	801.32	0.23588	1008.3	9577.3	1.2366	0.89188	0.10812	0.21624	0.99982	True
SIRPB1_CRISPRi_sgRNA_4	SIRPB1	768.41/720.37	897.94/845.8	744.39	871.87	0.22777	1153.7	10831	1.2249	0.8897	0.1103	0.22061	0.99982	True
FPR2_CRISPRi_sgRNA_4	FPR2	982.4/973.12	774.61/874.55	977.76	824.58	-0.24554	43.022	15730	1.2213	0.11098	0.88902	0.22197	0.99982	False
Non_Targeting_11	Non	865.68/768.81	723.93/645.68	817.24	684.81	-0.25473	4691.6	12306	1.1938	0.11627	0.88373	0.23255	0.99982	False
ITM2B_CRISPRi_sgRNA_2	ITM2B	584.82/605.89	741.67/658.95	595.35	700.31	0.23389	221.99	7982.7	1.1747	0.87995	0.12005	0.24011	0.99982	True
IL2RA_CRISPRi_sgRNA_1	IL2RA	643.18/598.84	720.55/737.45	621.01	729	0.23096	982.77	8455.9	1.1744	0.87988	0.12012	0.24025	0.99982	True
Non_Targeting_91	Non	654.12/625.26	524.57/535.12	639.69	529.85	-0.27133	416.38	8805.1	1.1706	0.12088	0.87912	0.24176	0.99982	False
