id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
S100A4	5	0.0022104	0.0050152	0.908842	1	1	-0.044523	0.94149	0.94082	0.98072	195	0	-0.044523
LAPTM5	5	0.010837	0.020335	0.908842	2	2	0.032346	0.41673	0.41666	0.98072	82	0	0.032346
ADAM10	5	0.011013	0.020554	0.908842	3	1	-0.10728	0.41096	0.41134	0.98072	81	0	-0.10728
LPAR2	5	0.011387	0.021291	0.908842	4	2	-0.10457	0.93229	0.93143	0.98072	191	0	-0.10457
CR1	5	0.015391	0.028054	0.908842	5	1	-0.2325	0.79194	0.79102	0.98072	154	0	-0.2325
MERTK	5	0.019649	0.035166	0.908842	6	2	-0.22646	0.97542	0.97507	0.981408	205	0	-0.22646
NFATC1	5	0.019754	0.035365	0.908842	7	1	-0.17569	0.94845	0.94795	0.98072	199	0	-0.17569
ABCA1	5	0.022593	0.040166	0.908842	8	2	-0.15126	0.97051	0.97016	0.981408	203	0	-0.15126
TLR4	5	0.024101	0.041501	0.908842	9	1	0.20864	0.14361	0.14406	0.937432	30	0	0.20864
HEXB	5	0.028432	0.045196	0.908842	10	1	-0.22716	0.68918	0.6877	0.98072	132	0	-0.22716
LRP1	5	0.041335	0.055605	0.908842	11	1	0.062024	0.73488	0.73384	0.98072	140	0	0.062024
ACTB	5	0.04986	0.063026	0.908842	12	1	-0.097649	0.91603	0.9151	0.98072	187	0	-0.097649
IL10	5	0.0541	0.066253	0.908842	13	1	0.089196	0.78166	0.78061	0.98072	152	0	0.089196
FERMT3	5	0.058324	0.069759	0.908842	14	1	-0.015354	0.88787	0.88742	0.98072	180	0	-0.015354
SCIMP	5	0.062534	0.073564	0.908842	15	1	0.021786	0.43378	0.43349	0.98072	85	0	0.021786
AIF1	5	0.066728	0.077021	0.908842	16	1	-0.14808	0.5767	0.57604	0.98072	112	0	-0.14808
CLDN7	5	0.070908	0.080656	0.908842	17	1	-0.29058	0.81017	0.80846	0.98072	161	0	-0.29058
VENTX	5	0.075072	0.084541	0.908842	18	1	0.10921	0.18199	0.18293	0.937432	40	0	0.10921
TNFRSF1A	5	0.079222	0.088107	0.908842	19	1	-0.17639	0.63344	0.63262	0.98072	122	0	-0.17639
TLR5	5	0.083356	0.091992	0.908842	20	1	-0.03463	0.299	0.29949	0.98072	58	0	-0.03463
IL21R	5	0.087476	0.095538	0.908842	21	1	-0.084413	0.9424	0.94173	0.98072	196	0	-0.084413
SNCA	5	0.091581	0.099512	0.908842	22	1	-0.0098694	0.82491	0.82367	0.98072	164	0	-0.0098694
CD44	5	0.095671	0.10312	0.908842	23	1	-0.038194	0.95283	0.95229	0.98072	201	0	-0.038194
