sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
S100A4_CRISPRa_sgRNA_5	S100A4	7927.3/862.87	921/875.69	4395.1	898.34	-2.2893	2.4953e+07	1.5078e+07	1.5283	0.063224	0.93678	0.12645	0.99964	False
Non_Targeting_53	Non	2016.8/871.87	862.14/657.3	1444.3	759.72	-0.92595	6.5539e+05	1.6838e+06	0.87242	0.19149	0.80851	0.38298	0.99964	False
Non_Targeting_61	Non	358.15/389.6	728.08/594.75	373.88	661.41	0.82132	494.37	1.177e+05	0.83813	0.76687	0.23313	0.46626	0.99964	True
ADAM10_CRISPRa_sgRNA_4	ADAM10	2256.2/529.06	683.39/850.24	1392.6	766.82	-0.86	1.4915e+06	1.5671e+06	0.83261	0.20253	0.79747	0.40506	0.99964	False
CR1_CRISPRa_sgRNA_3	CR1	622.46/625.34	440.34/296.84	623.9	368.59	-0.75769	4.1374	3.2243e+05	0.7704	0.22053	0.77947	0.44106	0.99964	False
NFATC1_CRISPRa_sgRNA_3	NFATC1	905.92/1050.9	622.36/572.48	978.42	597.42	-0.71077	10513	7.8195e+05	0.73922	0.22989	0.77011	0.45977	0.99964	False
TLR4_CRISPRa_sgRNA_2	TLR4	490.31/511.97	274.67/338.19	501.14	306.43	-0.70783	234.56	2.0947e+05	0.73904	0.22994	0.77006	0.45989	0.99964	False
HEXB_CRISPRa_sgRNA_5	HEXB	1010.3/1030.2	674.67/578.84	1020.3	626.76	-0.70207	198.61	8.4917e+05	0.73347	0.23164	0.76836	0.46327	0.99964	False
Non_Targeting_45	Non	682.79/751.3	367.31/539.62	717.05	453.46	-0.65991	2347	4.2404e+05	0.70666	0.23989	0.76011	0.47978	0.99964	False
CLEC2D_CRISPRa_sgRNA_2	CLEC2D	203.98/188.05	303/341.37	196.01	322.19	0.71408	126.79	33066	0.69387	0.71624	0.28376	0.56752	0.99964	True
MERTK_CRISPRa_sgRNA_2	MERTK	610.01/797.19	535.16/373.17	703.6	454.17	-0.63041	17518	4.0853e+05	0.68706	0.24602	0.75398	0.49204	0.99964	False
LRP1_CRISPRa_sgRNA_1	LRP1	584.15/678.42	418.54/400.74	631.29	409.64	-0.62271	4443.2	3.2999e+05	0.68222	0.24755	0.75245	0.4951	0.99964	False
LPAR2_CRISPRa_sgRNA_4	LPAR2	1515/748.6	783.67/690.16	1131.8	736.91	-0.61835	2.9366e+05	1.0416e+06	0.6777	0.24898	0.75102	0.49796	0.99964	False
C3AR1_CRISPRa_sgRNA_1	C3AR1	798.66/470.58	869.77/1170.4	634.62	1020.1	0.68388	53820	3.3343e+05	0.66757	0.70814	0.29186	0.58372	0.99964	True
LPL_CRISPRa_sgRNA_3	LPL	452/647.83	857.78/905.37	549.92	881.58	0.67989	19174	2.5149e+05	0.66135	0.70565	0.29435	0.58869	0.99964	True
ACTB_CRISPRa_sgRNA_2	ACTB	750.78/1273.2	657.23/685.92	1012	671.58	-0.59082	1.3644e+05	8.3564e+05	0.65929	0.25485	0.74515	0.50971	0.99964	False
C1QC_CRISPRa_sgRNA_4	C1QC	378.26/505.67	769.5/640.33	441.97	704.92	0.6723	8115.8	1.6358e+05	0.65014	0.70118	0.29882	0.59763	0.99964	True
IL10_CRISPRa_sgRNA_2	IL10	460.62/908.76	439.25/491.91	684.69	465.58	-0.55544	1.0042e+05	3.8719e+05	0.63611	0.26235	0.73765	0.52471	0.99964	False
FERMT3_CRISPRa_sgRNA_3	FERMT3	875.27/1055.4	790.21/522.66	965.35	656.43	-0.5557	16227	7.6151e+05	0.63525	0.26263	0.73737	0.52526	0.99964	False
SCIMP_CRISPRa_sgRNA_4	SCIMP	732.59/799.89	497.01/554.46	766.24	525.74	-0.54259	2264.9	4.8322e+05	0.62684	0.26538	0.73462	0.53077	0.99964	False
AIF1_CRISPRa_sgRNA_2	AIF1	965.29/889.87	586.39/686.98	927.58	636.68	-0.54218	2844.4	7.0395e+05	0.62597	0.26567	0.73433	0.53133	0.99964	False
GRN_CRISPRa_sgRNA_5	GRN	295.91/308.62	466.49/484.49	302.26	475.49	0.65188	80.79	77470	0.62238	0.69016	0.30984	0.61967	0.99964	True
CLDN7_CRISPRa_sgRNA_1	CLDN7	987.32/823.28	744.43/504.63	905.3	624.53	-0.53491	13453	6.7105e+05	0.62096	0.26731	0.73269	0.53462	0.99964	False
MS4A4A_CRISPRa_sgRNA_1	MS4A4A	693.32/637.03	826.18/1254.2	665.18	1040.2	0.64422	1584.3	3.6577e+05	0.62004	0.69037	0.30963	0.61927	0.99964	True
VENTX_CRISPRa_sgRNA_2	VENTX	1065.8/807.09	755.33/541.74	936.47	648.53	-0.52936	33477	7.173e+05	0.61698	0.26862	0.73138	0.53725	0.99964	False
TNFRSF1A_CRISPRa_sgRNA_3	TNFRSF1A	871.44/1245.3	759.69/708.18	1058.4	733.94	-0.5275	69875	9.1274e+05	0.61531	0.26918	0.73082	0.53835	0.99964	False
TLR5_CRISPRa_sgRNA_5	TLR5	825.48/805.29	619.09/514.18	815.38	566.63	-0.52429	203.78	5.4613e+05	0.61385	0.26966	0.73034	0.53931	0.99964	False
IL21R_CRISPRa_sgRNA_2	IL21R	1680.6/1168.8	897.02/1097.3	1424.7	997.14	-0.51437	1.3099e+05	1.6391e+06	0.60519	0.27253	0.72747	0.54505	0.99964	False
CD52_CRISPRa_sgRNA_5	CD52	430.93/400.39	618/673.2	415.66	645.6	0.63398	466.3	1.4498e+05	0.60388	0.68352	0.31648	0.63295	0.99964	True
SNCA_CRISPRa_sgRNA_5	SNCA	976.78/933.95	675.76/673.2	955.37	674.48	-0.50165	917.09	7.4609e+05	0.59737	0.27513	0.72487	0.55026	0.99964	False
CD44_CRISPRa_sgRNA_5	CD44	695.24/926.76	507.91/643.51	811	575.71	-0.49362	26800	5.4036e+05	0.59219	0.27686	0.72314	0.55373	0.99964	False
CD37_CRISPRa_sgRNA_2	CD37	1148.2/1724.8	1164.1/877.81	1436.5	1020.9	-0.49228	1.6626e+05	1.6659e+06	0.58946	0.27778	0.72222	0.55555	0.99964	False
LRP1B_CRISPRa_sgRNA_1	LRP1B	666.51/534.46	1056.2/788.76	600.49	922.45	0.61851	8718.7	2.9904e+05	0.58877	0.6782	0.3218	0.6436	0.99964	True
