sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
CD69_CRISPRi_sgRNA_5	CD69	2667.5/876.77	758.28/1268.9	1772.1	1013.6	-0.8054	1.6033e+06	5.539e+07	1.3403	0.090072	0.90993	0.18014	0.48027	False
SPI1_CRISPRi_sgRNA_3	SPI1	600.83/573.04	285.28/359.16	586.93	322.22	-0.86316	386.05	3.9768e+06	1.269	0.10222	0.89778	0.20444	0.48027	False
VLDLR_CRISPRi_sgRNA_4	VLDLR	867.14/824.13	623.92/426.25	845.63	525.09	-0.68643	925.13	9.4962e+06	1.2283	0.10967	0.89033	0.21935	0.48027	False
IL1R2_CRISPRi_sgRNA_2	IL1R2	1560/1600.7	1308.6/971.89	1580.3	1140.2	-0.47054	827.45	4.2155e+07	1.1954	0.11596	0.88404	0.23193	0.48027	False
CD52_CRISPRi_sgRNA_3	CD52	1078.2/923.35	689.26/707.46	1000.8	698.36	-0.51848	11997	1.4189e+07	1.1734	0.12032	0.87968	0.24064	0.48027	False
APP_CRISPRi_sgRNA_4	APP	1051.2/795.78	693.86/580.17	923.48	637.02	-0.53504	32615	1.1714e+07	1.173	0.12039	0.87961	0.24078	0.48027	False
FLT1_CRISPRi_sgRNA_2	FLT1	1046.8/713.77	667.18/540.71	880.31	603.94	-0.54285	55470	1.0451e+07	1.172	0.1206	0.8794	0.24121	0.48027	False
CXCR4_CRISPRi_sgRNA_1	CXCR4	2210.6/810.96	803.37/1479.1	1510.8	1141.2	-0.40443	9.7951e+05	3.7868e+07	1.1634	0.12232	0.87768	0.24465	0.48027	False
VENTX_CRISPRi_sgRNA_3	VENTX	1084.7/874.75	807.97/595.96	979.74	701.97	-0.48042	22048	1.3487e+07	1.1553	0.12399	0.87601	0.24797	0.48027	False
FCGR1A_CRISPRi_sgRNA_5	FCGR1A	422.2/290.57	212.58/228.91	356.39	220.74	-0.68859	8663.6	1.211e+06	1.1538	0.12429	0.87571	0.24858	0.48027	False
IRF5_CRISPRi_sgRNA_2	IRF5	1103.1/934.48	854.91/629.51	1018.8	742.21	-0.45647	14223	1.4805e+07	1.1487	0.12534	0.87466	0.25068	0.48027	False
TLR2_CRISPRi_sgRNA_2	TLR2	1826.3/1446.8	1203.7/1379.4	1636.5	1291.5	-0.34132	72019	4.5818e+07	1.1442	0.12627	0.87373	0.25254	0.48027	False
CD300A_CRISPRi_sgRNA_3	CD300A	1030.6/798.82	776.68/551.56	914.71	664.12	-0.46127	26864	1.1451e+07	1.1407	0.12699	0.87301	0.25398	0.48027	False
CD1D_CRISPRi_sgRNA_4	CD1D	2677.2/1267.6	1049.1/2205.3	1972.4	1627.2	-0.27743	9.9353e+05	7.1494e+07	1.1348	0.12823	0.87177	0.25646	0.48027	False
FCGR3A_CRISPRi_sgRNA_4	FCGR3A	969.99/909.17	787.73/595.96	939.58	691.84	-0.44102	1849.2	1.2207e+07	1.1345	0.12829	0.87171	0.25657	0.48027	False
PLEK_CRISPRi_sgRNA_3	PLEK	1798.2/934.48	815.33/1333	1366.3	1074.2	-0.34677	3.7296e+05	2.98e+07	1.1293	0.12939	0.87061	0.25877	0.48027	False
CD300A_CRISPRi_sgRNA_4	CD300A	1633.6/1436.7	1256.1/1203.8	1535.1	1229.9	-0.31953	19395	3.9338e+07	1.1287	0.12951	0.87049	0.25902	0.48027	False
CLEC2D_CRISPRi_sgRNA_3	CLEC2D	863.89/959.79	658.89/690.68	911.84	674.79	-0.43379	4598.4	1.1365e+07	1.1286	0.12953	0.87047	0.25906	0.48027	False
TGFBR1_CRISPRi_sgRNA_3	TGFBR1	1229.8/1101.5	942.33/856.45	1165.7	899.39	-0.37378	8226.3	2.0408e+07	1.1258	0.13012	0.86988	0.26024	0.48027	False
LRP8_CRISPRi_sgRNA_1	LRP8	1193/911.2	714.11/890	1052.1	802.05	-0.39107	39705	1.5984e+07	1.1236	0.13059	0.86941	0.26119	0.48027	False
