id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ICAM3	5	3.5162e-08	4.9803e-06	0.001031	1	5	-0.85666	1.0	1.0	0.999995	207	0	-0.85666
CD44	5	0.00088311	0.0022362	0.231443	2	3	-0.5973	0.86283	0.86238	0.995187	172	0	-0.5973
LILRA5	5	0.0022104	0.0051447	0.354983	3	1	-0.034617	0.69607	0.69432	0.995187	136	0	-0.034617
ITGAX	5	0.0066196	0.012874	0.651289	4	2	-0.18039	0.50056	0.50005	0.995187	97	0	-0.18039
IL15RA	5	0.011013	0.020653	0.651289	5	1	0.2279	0.014323	0.035415	0.814548	9	2	0.2279
IFNGR1	5	0.012524	0.023273	0.651289	6	2	-0.25916	0.58113	0.58066	0.995187	114	0	-0.25916
CD200R1	5	0.014323	0.026381	0.651289	7	2	-0.4633	0.71275	0.71048	0.995187	141	0	-0.4633
TGFBI	5	0.015391	0.028104	0.651289	8	1	-0.11606	0.86552	0.8649	0.995187	173	0	-0.11606
LSR	5	0.015582	0.028433	0.651289	9	2	-0.19804	0.84579	0.84493	0.995187	168	0	-0.19804
TGFB1	5	0.018246	0.033074	0.651289	10	2	-0.31414	0.90647	0.90541	0.995187	178	0	-0.31414
IL21R	5	0.019754	0.035385	0.651289	11	1	-0.22959	0.4929	0.4923	0.995187	95	0	-0.22959
PTPRC	5	0.021098	0.037756	0.651289	12	2	-0.36488	0.70283	0.70092	0.995187	139	0	-0.36488
ITGAL	5	0.024133	0.043065	0.685726	13	2	-0.18807	0.23697	0.26976	0.995187	48	1	-0.18807
SPI1	5	0.028432	0.04695	0.694183	14	1	-0.4604	0.98295	0.98228	0.995187	201	0	-0.4604
ITGB2	5	0.032748	0.050436	0.696014	15	1	-0.23749	0.83246	0.83152	0.995187	163	0	-0.23749
PTPRE	5	0.037049	0.053862	0.696843	16	1	-0.051715	0.57223	0.57152	0.995187	111	0	-0.051715
CR1	5	0.045605	0.060885	0.737887	17	1	-0.089207	0.42531	0.4261	0.995187	82	1	-0.089207
GBA	5	0.04986	0.06462	0.737887	18	1	0.13821	0.61935	0.61831	0.995187	122	0	0.13821
LRP6	5	0.0541	0.067807	0.737887	19	1	-0.096397	0.58988	0.58908	0.995187	117	0	-0.096397
CD40	5	0.058324	0.071293	0.737887	20	1	-0.053476	0.61318	0.61226	0.995187	120	0	-0.053476
CTLA4	5	0.062534	0.075019	0.738004	21	1	-0.11066	0.90103	0.90058	0.995187	177	0	-0.11066
CDKN2A	5	0.066728	0.078435	0.738004	22	1	-0.12958	0.15528	0.21042	0.995187	39	1	-0.12958
TNFRSF13C	5	0.079222	0.089402	0.804617	23	1	-0.098978	0.49033	0.48942	0.995187	94	0	-0.098978
EPHA1	5	0.087476	0.096773	0.834665	24	1	0.37001	0.25112	0.27994	0.995187	51	1	0.37001
CLU	5	0.099746	0.10769	0.883582	25	1	0.088233	0.72241	0.72069	0.995187	143	0	0.088233
