sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SCARB1_CRISPRa_sgRNA_4	SCARB1	867.1/744.01	3534.2/3262.5	805.55	3398.4	2.0754	7575.4	2.2175e+05	5.5061	1	1.918e-08	3.8361e-08	4.3348e-05	True
SQSTM1_CRISPRa_sgRNA_2	SQSTM1	1873.2/1638.3	7025.8/5745	1755.7	6385.4	1.8621	27586	9.2757e+05	4.807	1	7.9302e-07	1.586e-06	0.00089611	True
FCGR1A_CRISPRa_sgRNA_1	FCGR1A	1241.3/945.4	4286.9/3372.5	1093.3	3829.7	1.8076	43765	3.8856e+05	4.3898	0.99999	5.9063e-06	1.1813e-05	0.0044494	True
FCGR2C_CRISPRa_sgRNA_3	FCGR2C	574.9/545.75	1852.9/1993.3	560.32	1923.1	1.7773	424.92	1.1389e+05	4.038	0.99997	2.8322e-05	5.6643e-05	0.016002	True
CCR2_CRISPRa_sgRNA_4	CCR2	1152.2/1026.8	3038.2/3001.5	1089.5	3019.9	1.47	7859.6	3.8605e+05	3.1068	0.99902	0.00098462	0.0019692	0.44505	True
FCGR3A_CRISPRa_sgRNA_5	FCGR3A	1589.3/1753.1	4727.2/4024.7	1671.2	4376	1.3882	13412	8.4715e+05	2.9387	0.99829	0.0017074	0.0034148	0.64311	True
NPC2_CRISPRa_sgRNA_3	NPC2	58.203/53.218	198.83/138.37	55.71	168.6	1.5805	12.422	1680.4	2.754	0.99678	0.0032245	0.006449	0.99975	True
IFNGR2_CRISPRa_sgRNA_5	IFNGR2	988.26/1197.9	2841.6/2594.6	1093.1	2718.1	1.3134	21982	3.884e+05	2.6074	0.99525	0.0047498	0.0094996	0.99975	True
FCGR2C_CRISPRa_sgRNA_1	FCGR2C	592.72/470.62	1266.2/1395.7	531.67	1330.9	1.3222	7454.3	1.0343e+05	2.4852	0.99319	0.0068084	0.013617	0.99975	True
ITM2B_CRISPRa_sgRNA_1	ITM2B	697.24/660.53	1590.7/1692.6	678.89	1641.6	1.2726	673.88	1.6198e+05	2.3921	0.99122	0.0087786	0.017557	0.99975	True
TNFRSF10B_CRISPRa_sgRNA_1	TNFRSF10B	2192.7/1884.5	4881.3/4473.5	2038.6	4677.4	1.1977	47476	1.2206e+06	2.3885	0.99126	0.008744	0.017488	0.99975	True
UNC13D_CRISPRa_sgRNA_3	UNC13D	547.58/583.31	1612.5/1120.4	565.45	1366.5	1.2715	638.44	1.1581e+05	2.3538	0.99024	0.0097622	0.019524	0.99975	True
TREM2_CRISPRa_sgRNA_5	TREM2	549.95/523.83	1030.2/1555.7	536.89	1293	1.2664	341.16	1.0531e+05	2.3299	0.98958	0.010416	0.020832	0.99975	True
MERTK_CRISPRa_sgRNA_5	MERTK	1765.1/1711.3	3668.6/3992.5	1738.2	3830.6	1.1395	1444.7	9.1063e+05	2.1926	0.98533	0.01467	0.029339	0.99975	True
TREM2_CRISPRa_sgRNA_2	TREM2	1573.8/1528.7	3167.1/3517.6	1551.3	3342.4	1.1069	1018.2	7.3885e+05	2.0837	0.98072	0.019279	0.038558	0.99975	True
TGFBR2_CRISPRa_sgRNA_2	TGFBR2	770.89/752.36	1973/1367.2	761.62	1670.1	1.1318	171.65	2.0005e+05	2.0312	0.97791	0.022094	0.044188	0.99975	True
FPR1_CRISPRa_sgRNA_1	FPR1	1724.7/1624.7	4190.8/2825	1674.7	3507.9	1.0662	4997.8	8.5044e+05	1.9879	0.97574	0.024255	0.048511	0.99975	True
AXL_CRISPRa_sgRNA_5	AXL	635.48/771.14	1477/1565.4	703.31	1521.2	1.1119	9202.4	1.7284e+05	1.9674	0.97427	0.025734	0.051467	0.99975	True
