sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SLC24A4_CRISPRi_sgRNA_4	SLC24A4	8295.5/11846	2773.4/2082.7	10071	2428	-2.0519	6.3044e+06	2.3595e+11	2.6586	0.0039227	0.99608	0.0078455	0.16307	False
IFNGR2_CRISPRi_sgRNA_5	IFNGR2	9364.4/11328	3079.2/2261.6	10346	2670.4	-1.9536	1.9287e+06	2.5474e+11	2.6394	0.0041529	0.99585	0.0083058	0.16307	False
SCARB1_CRISPRi_sgRNA_2	SCARB1	7084.2/11386	2644.7/2300.4	9234.9	2472.5	-1.9007	9.2508e+06	1.8445e+11	2.6109	0.0045152	0.99548	0.0090304	0.16307	False
FCER1G_CRISPRi_sgRNA_4	FCER1G	2787.5/3693.7	595.85/634.35	3240.6	615.1	-2.3955	4.1055e+05	9.4139e+09	2.5811	0.0049247	0.99508	0.0098494	0.16307	False
FCER1G_CRISPRi_sgRNA_2	FCER1G	3774/4943.2	900.7/1026.4	4358.6	963.57	-2.1762	6.835e+05	2.1851e+10	2.5704	0.0050798	0.99492	0.01016	0.16307	False
NRP2_CRISPRi_sgRNA_4	NRP2	4409.7/8709.2	2168.6/1281.4	6559.4	1725	-1.9264	9.243e+06	6.9792e+10	2.5685	0.0051074	0.99489	0.010215	0.16307	False
CSF1R_CRISPRi_sgRNA_1	CSF1R	6251.9/9308.9	2717.9/2095.4	7780.4	2406.7	-1.6924	4.6724e+06	1.1335e+11	2.5364	0.0055992	0.9944	0.011198	0.16307	False
AIF1_CRISPRi_sgRNA_2	AIF1	6804/12704	4612.4/2298.9	9753.9	3455.6	-1.4968	1.7404e+07	2.1545e+11	2.5216	0.0058412	0.99416	0.011682	0.16307	False
S100A4_CRISPRi_sgRNA_3	S100A4	4747.5/8964.7	2530.9/1674.9	6856.1	2102.9	-1.7045	8.8923e+06	7.9138e+10	2.5211	0.0058494	0.99415	0.011699	0.16307	False
CTSH_CRISPRi_sgRNA_2	CTSH	3297.2/6202	1565.8/1068.2	4749.6	1317	-1.8498	4.2189e+06	2.7892e+10	2.5034	0.0061506	0.99385	0.012301	0.16307	False
