id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NFATC1	5	2.3015e-05	7.4705e-05	0.015464	1	5	-0.35004	0.99998	0.99997	0.999965	207	0	-0.35004
SLC24A4	5	0.00015733	0.00066238	0.046392	2	4	-0.18863	0.66959	0.68948	0.999965	124	1	-0.18863
FLT1	5	0.00015901	0.00067234	0.046392	3	5	-0.24281	0.99984	0.99979	0.999965	206	0	-0.24281
NLRP3	5	0.00028939	0.0012899	0.066753	4	5	-0.34242	0.99971	0.99966	0.999965	205	0	-0.34242
PILRA	5	0.00069498	0.003043	0.109794	5	3	-0.20589	0.94149	0.94082	0.999965	179	0	-0.20589
VLDLR	5	0.00074063	0.0031824	0.109794	6	3	-0.38889	0.96391	0.96336	0.999965	190	0	-0.38889
CLDN7	5	0.0018304	0.0073858	0.218409	7	3	-0.26842	0.96422	0.96363	0.999965	191	0	-0.26842
CD300A	5	0.0022104	0.0086708	0.224356	8	4	-0.31472	0.99434	0.99383	0.999965	204	0	-0.31472
Non	100	0.0035202	0.038194	0.527079	9	37	-0.07107	0.1309	0.51594	0.999965	50	30	-0.07107
TYRO3	5	0.0037844	0.013492	0.284021	10	4	-0.21866	0.9909	0.99014	0.999965	201	0	-0.21866
CTSB	5	0.003855	0.013721	0.284021	11	3	-0.32515	0.96944	0.96904	0.999965	195	0	-0.32515
C9orf72	5	0.0048498	0.01639	0.308435	12	4	-0.22303	0.89388	0.89326	0.999965	169	0	-0.22303
CXCR4	5	0.0059085	0.019747	0.340636	13	4	-0.24935	0.94195	0.94131	0.999965	180	0	-0.24935
CD300C	5	0.011013	0.035485	0.527079	14	2	-0.10829	0.39703	0.53789	0.999965	98	2	-0.10829
TMEM106B	5	0.011779	0.037965	0.527079	15	3	-0.24598	0.96916	0.96885	0.999965	194	0	-0.24598
LTBR	5	0.016231	0.050605	0.654704	16	2	-0.066288	0.94886	0.94841	0.999965	182	0	-0.066288
SNCA	5	0.019201	0.058922	0.717465	17	4	-0.19285	0.87418	0.87376	0.999965	164	0	-0.19285
TMEM106A	5	0.021098	0.064042	0.736483	18	3	-0.25151	0.62139	0.65854	0.999965	117	1	-0.25151
TYROBP	5	0.024919	0.071961	0.783993	19	2	-0.055861	0.67503	0.69349	0.999965	125	1	-0.055861
CD80	5	0.031607	0.085089	0.785189	20	2	-0.040489	0.50562	0.59458	0.999965	107	1	-0.040489
CSF3R	5	0.032095	0.086015	0.785189	21	3	-0.2356	0.98876	0.988	0.999965	199	0	-0.2356
TLR2	5	0.034291	0.090288	0.785189	22	3	-0.13731	0.74982	0.75211	0.999965	138	1	-0.13731
FCER1G	5	0.035206	0.092022	0.785189	23	2	0.088577	0.3989	0.5398	0.999965	99	2	0.088577
AIF1	5	0.037049	0.095448	0.785189	24	2	-0.022801	0.38958	0.52963	0.999965	95	2	-0.022801
TLR10	5	0.040372	0.10189	0.785189	25	3	-0.2102	0.71275	0.72045	0.999965	133	1	-0.2102
LRP6	5	0.040911	0.10292	0.785189	26	2	-0.10616	0.81133	0.80971	0.999965	150	0	-0.10616
PLCB3	5	0.042893	0.10665	0.785189	27	2	-0.087126	0.70948	0.71808	0.999965	132	1	-0.087126
EPHA1	5	0.045605	0.11153	0.785189	28	2	-0.1048	0.075072	0.16608	0.973568	35	1	-0.1048
TGFB1	5	0.045938	0.11208	0.785189	29	3	-0.17462	0.90034	0.90001	0.999965	170	0	-0.17462
CSF2RA	5	0.046972	0.1138	0.785189	30	2	-0.090758	0.63146	0.66482	0.999965	119	1	-0.090758
CEMIP2	5	0.049776	0.11933	0.796841	31	3	-0.2113	0.55398	0.61976	0.999965	111	1	-0.2113
SIGLEC5	5	0.065305	0.14809	0.957957	32	3	-0.17897	0.87834	0.87802	0.999965	165	0	-0.17897
MRC1	5	0.071266	0.15902	0.99747	33	3	-0.18453	0.99225	0.99163	0.999965	202	0	-0.18453
LPL	5	0.075072	0.16618	0.999965	34	1	0.27125	0.014946	0.046979	0.445163	21	3	0.27125
APOE	5	0.08157	0.1777	0.999965	35	3	-0.15646	0.96544	0.96481	0.999965	192	0	-0.15646
LYVE1	5	0.082394	0.17918	0.999965	36	3	-0.16334	0.98993	0.98912	0.999965	200	0	-0.16334
SCIMP	5	0.087476	0.18776	0.999965	37	2	-0.1254	0.35693	0.49531	0.999965	92	1	-0.1254
ITGB2	5	0.08867	0.19006	0.999965	38	2	-0.024233	0.90446	0.90344	0.999965	171	0	-0.024233
HEXB	5	0.090014	0.19251	0.999965	39	3	-0.16706	0.95969	0.95886	0.999965	186	0	-0.16706
TARDBP	5	0.091581	0.19511	0.999965	40	2	-0.13458	0.34124	0.47854	0.999965	89	1	-0.13458
LRP8	5	0.098904	0.20863	0.999965	41	3	-0.20984	0.96201	0.9615	0.999965	187	0	-0.20984
LRRK2	5	0.099746	0.21013	0.999965	42	2	-0.070803	0.74836	0.75095	0.999965	137	1	-0.070803
CDKN2A	5	0.10445	0.21869	0.999965	43	3	-0.20027	0.95867	0.95796	0.999965	185	0	-0.20027
GPR87	5	0.11112	0.23031	0.999965	44	3	-0.14344	0.9231	0.92203	0.999965	174	0	-0.14344
ITGAX	5	0.11188	0.23162	0.999965	45	2	-0.12497	0.36312	0.5015	0.999965	93	1	-0.12497
MRC2	5	0.11602	0.23877	0.999965	46	3	-0.14456	0.49033	0.58671	0.999965	106	1	-0.14456
ICAM3	5	0.12001	0.24615	0.999965	47	3	-0.13816	0.45042	0.56792	0.999965	104	1	-0.13816
LSR	5	0.12511	0.25482	0.999965	48	3	-0.13697	0.96265	0.9621	0.999965	188	0	-0.13697
CR2	5	0.12614	0.25681	0.999965	49	3	-0.15806	0.97103	0.97068	0.999965	196	0	-0.15806
IFNGR1	5	0.12786	0.25887	0.999965	50	1	-0.10204	0.2103	0.34367	0.999965	64	2	-0.10204
ABCA7	5	0.13315	0.26453	0.999965	51	2	-0.049537	0.18199	0.31343	0.999965	61	1	-0.049537
IL23A	5	0.13577	0.26718	0.999965	52	1	0.038519	0.68217	0.69833	0.999965	127	1	0.038519
TNFRSF10B	5	0.14361	0.27539	0.999965	53	2	-0.031766	0.41096	0.55059	0.999965	102	1	-0.031766
LRP1	5	0.144	0.27584	0.999965	54	2	0.038143	0.015391	0.048304	0.445163	22	2	0.038143
CD58	5	0.14752	0.27941	0.999965	55	2	-0.041648	0.79319	0.79223	0.999965	145	0	-0.041648
GPR183	5	0.14872	0.28085	0.999965	56	2	-0.057104	0.26506	0.39947	0.999965	75	2	-0.057104
LDLR	5	0.15528	0.28757	0.999965	57	1	0.07381	0.64518	0.67342	0.999965	121	1	0.07381
ACTB	5	0.16298	0.29573	0.999965	58	1	-0.019646	0.50814	0.59577	0.999965	108	1	-0.019646
SELL	5	0.16681	0.29931	0.999965	59	1	0.13002	0.13469	0.26448	0.999965	51	2	0.13002
DPYD	5	0.17443	0.30693	0.999965	60	2	-0.03328	0.55166	0.61854	0.999965	110	1	-0.03328
CD19	5	0.20511	0.33926	0.999965	61	2	-0.06344	0.81822	0.81681	0.999965	151	0	-0.06344
LAPTM5	5	0.21552	0.35001	0.999965	62	2	-0.11155	0.99427	0.99377	0.999965	203	0	-0.11155
APP	5	0.21902	0.35359	0.999965	63	2	-0.003866	0.77098	0.77039	0.999965	142	1	-0.003866
SQSTM1	5	0.22261	0.35744	0.999965	64	2	0.018785	0.15913	0.29012	0.999965	56	2	0.018785
PILRB	5	0.23135	0.36624	0.999965	65	2	-0.13588	0.23697	0.3711	0.999965	70	1	-0.13588
CLU	5	0.2334	0.36833	0.999965	66	2	0.0075112	0.58552	0.6374	0.999965	114	1	0.0075112
S100A4	5	0.24407	0.37873	0.999965	67	1	0.052341	0.41673	0.55302	0.999965	103	1	0.052341
CD33	5	0.25278	0.38762	0.999965	68	2	-0.10164	0.93823	0.93771	0.999965	178	0	-0.10164
TLR5	5	0.26	0.39475	0.999965	69	2	1.293e-05	0.13577	0.26564	0.999965	52	1	1.293e-05
CD44	5	0.26181	0.39661	0.999965	70	2	0.043838	0.095416	0.20234	0.999965	40	2	0.043838
FCGR2B	5	0.27195	0.40729	0.999965	71	2	-0.102	0.75128	0.75332	0.999965	139	1	-0.102
ILDR1	5	0.27454	0.40972	0.999965	72	2	-0.082816	0.16642	0.29773	0.999965	57	2	-0.082816
SIGLEC9	5	0.27819	0.41368	0.999965	73	2	-0.11272	0.93775	0.93721	0.999965	177	0	-0.11272
CD37	5	0.28552	0.42144	0.999965	74	2	-0.13164	0.80544	0.80417	0.999965	148	0	-0.13164
GPNMB	5	0.29231	0.42835	0.999965	75	1	-0.098834	0.12786	0.25727	0.999965	49	1	-0.098834
IL21R	5	0.29839	0.43439	0.999965	76	2	-0.067756	0.97654	0.97608	0.999965	197	0	-0.067756
PLAUR	5	0.30024	0.43623	0.999965	77	2	-0.04558	0.25462	0.38882	0.999965	73	1	-0.04558
CD81	5	0.30209	0.43816	0.999965	78	2	-0.10849	0.90581	0.90476	0.999965	172	0	-0.10849
PTPRC	5	0.30578	0.44185	0.999965	79	2	0.32527	0.0049852	0.016679	0.351546	8	3	0.32527
PLCG2	5	0.30763	0.44397	0.999965	80	2	0.12274	0.22261	0.35647	0.999965	68	1	0.12274
IL1R2	5	0.31504	0.45157	0.999965	81	2	-0.14112	0.84678	0.84606	0.999965	156	0	-0.14112
C3AR1	5	0.31875	0.45538	0.999965	82	2	0.23261	0.030734	0.083127	0.573574	30	3	0.23261
IL6R	5	0.33167	0.46905	0.999965	83	1	0.041638	0.76687	0.76671	0.999965	141	1	0.041638
NRP1	5	0.33487	0.47239	0.999965	84	2	-0.10416	0.95397	0.95339	0.999965	183	0	-0.10416
CD300LB	5	0.33806	0.47548	0.999965	85	1	0.11312	0.35599	0.49435	0.999965	91	2	0.11312
SYK	5	0.34107	0.4787	0.999965	86	2	-0.10463	0.9636	0.96306	0.999965	189	0	-0.10463
CD226	5	0.3444	0.48231	0.999965	87	1	0.050978	0.62342	0.65987	0.999965	118	1	0.050978
SLC52A1	5	0.35069	0.48901	0.999965	88	1	0.079508	0.31318	0.44919	0.999965	84	2	0.079508
CTLA4	5	0.35412	0.49268	0.999965	89	2	-0.082188	0.78297	0.78223	0.999965	143	1	-0.082188
ITGAM	5	0.35599	0.49463	0.999965	90	2	0.10545	0.21898	0.35257	0.999965	67	1	0.10545
LPAR2	5	0.35972	0.49843	0.999965	91	2	0.066794	0.85356	0.85289	0.999965	158	0	0.066794
APOC1	5	0.37232	0.51135	0.999965	92	1	0.14185	0.30393	0.4393	0.999965	81	2	0.14185
IL1R1	5	0.37839	0.51767	0.999965	93	2	-0.13221	0.29655	0.43198	0.999965	79	2	-0.13221
FCGR3A	5	0.38141	0.52097	0.999965	94	1	-0.091269	0.57892	0.63368	0.999965	113	1	-0.091269
FCGR1A	5	0.38442	0.52424	0.999965	95	1	0.029143	0.59204	0.64085	0.999965	115	1	0.029143
CD52	5	0.39517	0.53595	0.999965	96	2	0.029456	0.72557	0.73108	0.999965	134	1	0.029456
ABCA1	5	0.40076	0.54185	0.999965	97	2	-0.07703	0.19482	0.32676	0.999965	62	2	-0.07703
TGFBR3	5	0.43937	0.56532	0.999965	98	1	-0.0011166	4.873e-05	0.00018427	0.019072	2	2	-0.0011166
TNFRSF13C	5	0.44492	0.56765	0.999965	99	1	0.0080191	0.74541	0.74843	0.999965	136	1	0.0080191
ADGRG1	5	0.45588	0.57243	0.999965	100	1	0.079308	0.40448	0.54584	0.999965	100	2	0.079308
NRP2	5	0.46399	0.57645	0.999965	101	1	-0.087876	0.66037	0.68369	0.999965	122	1	-0.087876
CD69	5	0.472	0.58014	0.999965	102	1	-0.015895	0.28552	0.42086	0.999965	77	2	-0.015895
NPC2	5	0.47465	0.58144	0.999965	103	1	0.13602	0.11112	0.23028	0.999965	47	3	0.13602
MS4A4A	5	0.48254	0.58511	0.999965	104	1	0.056976	0.026526	0.07479	0.552909	28	2	0.056976
IRF8	5	0.49802	0.59253	0.999965	105	1	-0.030898	0.0066196	0.022078	0.351546	13	2	-0.030898
LILRB4	5	0.50056	0.594	0.999965	106	1	0.16509	0.10074	0.21191	0.999965	43	3	0.16509
CCR2	5	0.5031	0.59521	0.999965	107	1	-0.035277	0.8564	0.85584	0.999965	159	0	-0.035277
TGFBR2	5	0.50562	0.59647	0.999965	108	1	0.018149	0.14361	0.27394	0.999965	54	2	0.018149
P2RY6	5	0.51064	0.59893	0.999965	109	1	0.05664	0.85261	0.85193	0.999965	157	0	0.05664
IL2RA	5	0.51313	0.60014	0.999965	110	1	0.05697	0.29103	0.42659	0.999965	78	2	0.05697
CD40	5	0.53989	0.61415	0.999965	111	1	0.026007	0.31222	0.44826	0.999965	83	2	0.026007
IL1RN	5	0.54226	0.61547	0.999965	112	1	0.065116	0.69264	0.70577	0.999965	130	1	0.065116
ADA2	5	0.54698	0.61778	0.999965	113	1	0.020846	0.60061	0.64614	0.999965	116	1	0.020846
TGFBR1	5	0.54932	0.61893	0.999965	114	1	-0.045582	0.88238	0.88189	0.999965	166	0	-0.045582
SORL1	5	0.55166	0.62022	0.999965	115	1	-0.078496	0.79816	0.79734	0.999965	147	0	-0.078496
GPR65	5	0.55629	0.62264	0.999965	116	1	0.11061	0.66408	0.68612	0.999965	123	1	0.11061
MERTK	5	0.56546	0.62785	0.999965	117	1	0.18466	0.16806	0.29922	0.999965	58	2	0.18466
C1QB	5	0.56772	0.62917	0.999965	118	1	-0.066837	0.81017	0.80846	0.999965	149	0	-0.066837
HEXA	5	0.57223	0.63143	0.999965	119	1	-0.1029	0.8924	0.89171	0.999965	168	0	-0.1029
IL2RG	5	0.5767	0.63398	0.999965	120	1	0.053868	0.36532	0.50378	0.999965	94	2	0.053868
IRF5	5	0.59634	0.64515	0.999965	121	1	0.052383	0.1567	0.28769	0.999965	55	2	0.052383
TREML2	5	0.61318	0.65475	0.999965	122	1	0.044219	0.70783	0.71693	0.999965	131	1	0.044219
TREML4	5	0.62746	0.6635	0.999965	123	1	0.14605	0.10166	0.2136	0.999965	44	3	0.14605
ITM2B	5	0.63344	0.66741	0.999965	124	1	-0.035875	0.91104	0.90996	0.999965	173	0	-0.035875
CLIC1	5	0.6413	0.67221	0.999965	125	1	0.01343	0.92534	0.9243	0.999965	175	0	0.01343
HAVCR1	5	0.65094	0.67854	0.999965	126	1	-0.079009	0.17964	0.3111	0.999965	60	2	-0.079009
CR1	5	0.65284	0.67977	0.999965	127	1	-0.047229	0.96889	0.96861	0.999965	193	0	-0.047229
ADAM10	5	0.67323	0.69312	0.999965	128	1	0.16859	0.09709	0.20546	0.999965	41	3	0.16859
SERPINA1	5	0.67503	0.69447	0.999965	129	1	0.11648	0.39144	0.53162	0.999965	96	2	0.11648
CTSH	5	0.67683	0.69556	0.999965	130	1	-0.074002	0.95546	0.9549	0.999965	184	0	-0.074002
SIGLEC7	5	0.69607	0.70894	0.999965	131	1	-0.071119	0.94635	0.94583	0.999965	181	0	-0.071119
HLA-DRB5	5	0.69777	0.71031	0.999965	132	1	-0.0080683	0.32846	0.46511	0.999965	87	1	-0.0080683
TNFRSF1A	5	0.71761	0.72517	0.999965	133	1	-0.077761	0.34755	0.48551	0.999965	90	1	-0.077761
TP53	5	0.71922	0.7264	0.999965	134	1	-0.0042379	0.30563	0.44121	0.999965	82	1	-0.0042379
CD68	5	0.72241	0.72898	0.999965	135	1	0.035966	0.68393	0.69958	0.999965	128	1	0.035966
C1QA	5	0.73025	0.7355	0.999965	136	1	0.11702	0.39331	0.53368	0.999965	97	2	0.11702
SIRPB1	5	0.73792	0.74233	0.999965	137	1	0.07135	0.26726	0.40177	0.999965	76	2	0.07135
VENTX	5	0.74393	0.74757	0.999965	138	1	-0.094704	0.8894	0.88881	0.999965	167	0	-0.094704
CXCR3	5	0.74541	0.74886	0.999965	139	1	0.02573	0.73943	0.74313	0.999965	135	1	0.02573
SLC16A5	5	0.74689	0.7501	0.999965	140	1	-0.0090331	0.82159	0.82017	0.999965	152	0	-0.0090331
