sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TGFBR3_CRISPRa_sgRNA_5	TGFBR3	251.82/592.98	854.27/767.93	422.4	811.1	0.93965	58195	6812.2	4.7095	1	1.2415e-06	2.4829e-06	0.0028057	True
IRF8_CRISPRa_sgRNA_5	IRF8	707.75/1021.3	1417.1/1362.4	864.52	1389.7	0.68422	49153	14639	4.341	0.99999	7.0915e-06	1.4183e-05	0.0080134	True
TGFBR3_CRISPRa_sgRNA_2	TGFBR3	401.57/602.78	870.17/879.21	502.17	874.69	0.79937	20242	8194.6	4.1151	0.99998	1.9349e-05	3.8698e-05	0.014576	True
LRP1_CRISPRa_sgRNA_4	LRP1	372/778.22	882.88/996.51	575.11	939.7	0.70739	82507	9471.8	3.7462	0.99991	8.9782e-05	0.00017956	0.044128	True
RYR1_CRISPRa_sgRNA_1	RYR1	694.4/1048.7	1148.9/1490.8	871.57	1319.8	0.59811	62777	14766	3.6889	0.99989	0.0001126	0.00022521	0.044128	True
Non_Targeting_94	Non	280.43/809.58	780.08/997.51	545.01	888.79	0.70455	1.4e+05	8943.2	3.6353	0.99986	0.00013882	0.00027764	0.044128	True
CD1D_CRISPRa_sgRNA_5	CD1D	397.75/776.26	923.16/960.42	587.01	941.79	0.6811	71633	9681.2	3.6058	0.99984	0.00015561	0.00031122	0.044128	True
P2RY13_CRISPRa_sgRNA_2	P2RY13	529.38/847.81	1023.8/1125.8	688.6	1074.8	0.64164	50697	11481	3.6048	0.99984	0.00015621	0.00031241	0.044128	True
CD300A_CRISPRa_sgRNA_2	CD300A	1421.2/646.88	565.98/584.47	1034.1	575.23	-0.845	2.9981e+05	17725	3.4464	0.00028409	0.99972	0.00056818	0.071339	False
CD86_CRISPRa_sgRNA_5	CD86	342.43/716.47	824.59/822.07	529.45	823.33	0.636	69954	8670.9	3.156	0.9992	0.00079973	0.0015995	0.17204	True
P2RY13_CRISPRa_sgRNA_1	P2RY13	477.88/771.36	903.02/985.48	624.62	944.25	0.59542	43066	10345	3.1426	0.99916	0.00083734	0.0016747	0.17204	True
SLC24A4_CRISPRa_sgRNA_5	SLC24A4	1724.6/968.36	928.46/813.05	1346.5	870.75	-0.62825	2.8591e+05	23499	3.1032	0.00095722	0.99904	0.0019144	0.18028	False
GBA_CRISPRa_sgRNA_2	GBA	429.23/815.46	1018.5/839.11	622.35	928.83	0.57693	74589	10305	3.0191	0.99873	0.0012674	0.0025349	0.20504	True
CD180_CRISPRa_sgRNA_5	CD180	571.35/933.08	1093.8/1088.7	752.22	1091.3	0.5362	65423	12617	3.0185	0.99873	0.0012702	0.0025404	0.20504	True
CD300C_CRISPRa_sgRNA_3	CD300C	1953.5/1159.5	1112.9/1031.6	1556.5	1072.2	-0.53724	3.1521e+05	27435	2.9235	0.0017304	0.99827	0.0034607	0.26071	False
FOLR2_CRISPRa_sgRNA_4	FOLR2	390.12/708.63	785.37/860.17	549.38	822.77	0.58182	50724	9019.8	2.8787	0.998	0.0019969	0.0039938	0.27295	True
PTPRC_CRISPRa_sgRNA_3	PTPRC	421.6/830.17	993.11/841.12	625.88	917.12	0.55048	83464	10368	2.8602	0.99788	0.0021166	0.0042332	0.27295	True
PILRA_CRISPRa_sgRNA_1	PILRA	1907.7/1206.5	1015.4/1154.9	1557.1	1085.1	-0.52059	2.4581e+05	27447	2.8488	0.0021939	0.99781	0.0043878	0.27295	False
CLEC2D_CRISPRa_sgRNA_2	CLEC2D	335.75/545.93	647.59/712.8	440.84	680.19	0.62453	22087	7130.4	2.8345	0.99771	0.0022947	0.0045895	0.27295	True
SLC24A4_CRISPRa_sgRNA_4	SLC24A4	1713.1/856.63	853.21/874.2	1284.9	863.7	-0.57246	3.6678e+05	22353	2.817	0.0024239	0.99758	0.0048478	0.2739	False
IL10_CRISPRa_sgRNA_3	IL10	477.88/1010.5	1052.5/1047.6	744.19	1050.1	0.49615	1.4185e+05	12473	2.7386	0.99691	0.0030851	0.0061702	0.32337	True
CXCR4_CRISPRa_sgRNA_3	CXCR4	1661.6/811.54	825.65/847.13	1236.6	836.39	-0.56354	3.613e+05	21456	2.732	0.0031479	0.99685	0.0062958	0.32337	False
Non_Targeting_96	Non	321.45/555.73	666.67/665.68	438.59	666.17	0.60191	27445	7091.4	2.7025	0.99656	0.0034405	0.006881	0.33484	True
EPHA1_CRISPRa_sgRNA_1	EPHA1	363.42/824.29	913.62/807.03	593.85	860.33	0.53403	1.062e+05	9801.8	2.6916	0.99644	0.0035558	0.0071116	0.33484	True
C1QC_CRISPRa_sgRNA_5	C1QC	495.05/947.78	1125.6/903.28	721.41	1014.4	0.4912	1.0248e+05	12066	2.6676	0.99618	0.0038199	0.0076398	0.34532	True
MS4A6A_CRISPRa_sgRNA_2	MS4A6A	339.57/685.11	726.02/782.97	512.34	754.5	0.55752	59699	8371.9	2.6466	0.99593	0.0040653	0.0081306	0.35337	True
CLN3_CRISPRa_sgRNA_3	CLN3	404.43/770.38	979.33/708.79	587.4	844.06	0.52224	66959	9688.2	2.6075	0.99544	0.00456	0.00912	0.36076	True
NLRP3_CRISPRa_sgRNA_2	NLRP3	1084.5/1191.8	689.99/858.16	1138.2	774.07	-0.55559	5757.8	19638	2.5982	0.0046851	0.99531	0.0093702	0.36076	False
LTBR_CRISPRa_sgRNA_1	LTBR	1583.4/1053.6	877.58/974.45	1318.5	926.02	-0.50933	1.4032e+05	22979	2.5892	0.0048099	0.99519	0.0096199	0.36076	False
LPL_CRISPRa_sgRNA_1	LPL	326.22/748.82	793.85/761.92	537.52	777.89	0.53242	89296	8812	2.5606	0.99478	0.0052243	0.010449	0.36076	True
C3AR1_CRISPRa_sgRNA_2	C3AR1	543.69/719.41	927.4/857.16	631.55	892.28	0.49793	15439	10468	2.5483	0.99459	0.0054118	0.010824	0.36076	True
AIF1_CRISPRa_sgRNA_5	AIF1	1535.7/838.01	870.17/774.95	1186.8	822.56	-0.52841	2.4338e+05	20536	2.5421	0.0055098	0.99449	0.01102	0.36076	False
PILRA_CRISPRa_sgRNA_4	PILRA	1330.6/887.01	777.96/741.87	1108.8	759.91	-0.54452	98391	19097	2.5248	0.0057888	0.99421	0.011578	0.36076	False
CLEC2B_CRISPRa_sgRNA_2	CLEC2B	310/822.33	837.31/781.97	566.16	809.64	0.5153	1.3124e+05	9314.5	2.5228	0.99418	0.0058217	0.011643	0.36076	True
IL10_CRISPRa_sgRNA_5	IL10	454.03/750.78	818.23/887.23	602.4	852.73	0.50066	44029	9952.6	2.5092	0.99395	0.0060495	0.012099	0.36076	True
VCP_CRISPRa_sgRNA_3	VCP	656.25/938.96	1244.3/931.35	797.6	1087.8	0.44722	39964	13432	2.5042	0.99386	0.0061372	0.012274	0.36076	True
