id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
TYROBP	5	1.7826e-07	4.9803e-06	0.001031	1	5	-0.31515	1.0	1.0	0.999995	207	0	-0.31515
FERMT3	5	0.00020766	0.00055282	0.057216	2	3	-0.26274	0.91542	0.91453	0.991143	191	0	-0.26274
IFNGR1	5	0.0022104	0.0050152	0.346048	3	1	-0.01965	0.43378	0.43349	0.948265	92	0	-0.01965
VCP	5	0.0045003	0.0090592	0.468814	4	2	-0.1533	0.86283	0.86238	0.980629	181	0	-0.1533
TGFBR1	5	0.013711	0.025116	0.967869	5	2	-0.16391	0.17443	0.17554	0.926788	38	0	-0.16391
LTBR	5	0.015391	0.028054	0.967869	6	1	-0.074026	0.472	0.47136	0.948265	102	0	-0.074026
ACTB	5	0.019754	0.035365	0.995572	7	1	-0.060982	0.78297	0.78211	0.980486	164	0	-0.060982
IL6R	5	0.028432	0.045196	0.995572	8	1	-0.039188	0.75988	0.7589	0.980486	160	0	-0.039188
SLC52A1	5	0.037049	0.052169	0.995572	9	1	0.023208	0.4196	0.41943	0.948265	89	0	0.023208
FPR3	5	0.041335	0.055605	0.995572	10	1	0.0093363	0.94845	0.94795	0.991716	197	0	0.0093363
SPI1	5	0.045605	0.059251	0.995572	11	1	-0.079229	0.019754	0.019657	0.813814	5	1	-0.079229
VENTX	5	0.04986	0.063026	0.995572	12	1	-0.013605	0.55166	0.55082	0.964078	117	0	-0.013605
ITGB2	5	0.0541	0.066253	0.995572	13	1	-0.036597	0.85546	0.85487	0.980629	180	0	-0.036597
ILDR1	5	0.058324	0.069759	0.995572	14	1	-0.065535	0.98295	0.98228	0.99672	204	0	-0.065535
S100A4	5	0.075072	0.084541	0.995572	15	1	0.022472	0.85356	0.85289	0.980629	178	0	0.022472
IL1R1	5	0.091581	0.099512	0.995572	16	1	-0.14277	0.84678	0.84606	0.980629	174	0	-0.14277
DPYD	5	0.095671	0.10312	0.995572	17	1	-0.032188	0.93727	0.93661	0.991716	195	0	-0.032188
TREM2	5	0.099746	0.10655	0.995572	18	1	-0.090101	0.93629	0.93569	0.991716	194	0	-0.090101
C1QB	5	0.10785	0.11415	0.995572	19	1	0.0041079	0.037049	0.036242	0.904811	8	1	0.0041079
TNFRSF10B	5	0.11188	0.11771	0.995572	20	1	-0.071742	0.61935	0.61831	0.964078	129	0	-0.071742
SQSTM1	5	0.1159	0.12132	0.995572	21	1	-0.10025	0.4586	0.45772	0.948265	100	0	-0.10025
LILRA5	5	0.12389	0.12874	0.995572	22	1	-0.11301	0.61111	0.60998	0.964078	127	0	-0.11301
CD226	5	0.12786	0.1323	0.995572	23	1	-0.16994	0.045605	0.044559	0.904811	10	1	-0.16994
IL10	5	0.13577	0.13948	0.995572	24	1	-0.034757	0.66959	0.66829	0.964078	142	0	-0.034757
LSR	5	0.1397	0.14341	0.995572	25	1	-0.0054501	0.30893	0.30938	0.948265	67	0	-0.0054501
CD40	5	0.14361	0.14722	0.995572	26	1	0.03944	0.66776	0.66677	0.964078	141	0	0.03944
TREML2	5	0.14752	0.15098	0.995572	27	1	-0.03522	0.98788	0.98717	0.996797	205	0	-0.03522
TLR2	5	0.1514	0.15479	0.995572	28	1	-0.080251	0.75273	0.75176	0.980486	158	0	-0.080251
FOLR2	5	0.15528	0.15856	0.995572	29	1	-0.059327	0.81133	0.80971	0.980629	169	0	-0.059327
TGFBI	5	0.15913	0.16221	0.995572	30	1	-0.10453	0.94011	0.93951	0.991716	196	0	-0.10453
CLIC1	5	0.16298	0.16596	0.995572	31	1	0.069619	0.0022104	0.0029235	0.605155	1	1	0.069619
ITGAX	5	0.16681	0.16937	0.995572	32	1	-0.064779	0.74541	0.7448	0.980486	157	0	-0.064779
MRC1	5	0.17063	0.1732	0.995572	33	1	-0.022428	0.89893	0.89876	0.984362	189	0	-0.022428
SIGLEC9	5	0.17443	0.17701	0.995572	34	1	-0.093223	0.75847	0.75755	0.980486	159	0	-0.093223
Non	100	0.18023	0.44242	0.995572	35	4	0.011464	0.43835	0.47621	0.948265	93	1	0.011464
CHRNE	5	0.18199	0.18391	0.995572	36	1	0.076367	0.1397	0.13994	0.926788	30	0	0.076367
RYR1	5	0.1895	0.19089	0.995572	37	1	0.083051	0.3444	0.34534	0.948265	73	0	0.083051
LRP6	5	0.19323	0.19467	0.995572	38	1	0.014099	0.45042	0.44993	0.948265	97	0	0.014099
C1QC	5	0.19695	0.19858	0.995572	39	1	-0.077951	0.84972	0.84905	0.980629	175	0	-0.077951
BIN1	5	0.20066	0.20212	0.995572	40	1	-0.028296	0.74393	0.74332	0.980486	156	0	-0.028296
SNCA	5	0.20803	0.20955	0.995572	41	1	-0.05617	0.82491	0.82367	0.980629	172	0	-0.05617
CD86	5	0.2117	0.21303	0.995572	42	1	0.0094841	0.37232	0.37224	0.948265	79	0	0.0094841
P2RY6	5	0.21535	0.21637	0.995572	43	1	-0.01171	0.79194	0.79102	0.980486	167	0	-0.01171
