sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
IFNGR1_CRISPRi_sgRNA_4	IFNGR1	1159/1001.3	645.16/761.01	1080.1	703.09	-0.61869	12435	5.5081e+05	0.67064	0.25122	0.74878	0.50245	0.99995	False
CLIC1_CRISPRi_sgRNA_3	CLIC1	189.81/208.39	243.29/321.34	199.1	282.31	0.50166	172.71	22611	0.55338	0.68035	0.31965	0.63929	0.99995	True
TYROBP_CRISPRi_sgRNA_4	TYROBP	842.19/678.49	602.81/492.47	760.34	547.64	-0.47268	13399	2.8367e+05	0.55227	0.29038	0.70962	0.58077	0.99995	False
TYROBP_CRISPRi_sgRNA_1	TYROBP	1229.4/846.17	840.69/694.56	1037.8	767.62	-0.43452	73413	5.107e+05	0.5199	0.30157	0.69843	0.60313	0.99995	False
LTBR_CRISPRi_sgRNA_1	LTBR	766.77/827.76	594.7/588.97	797.27	591.83	-0.42925	1859.6	3.1027e+05	0.51566	0.30305	0.69695	0.60609	0.99995	False
ACTB_CRISPRi_sgRNA_5	ACTB	949.04/829.7	665.88/658.15	889.37	662.02	-0.42536	7121.3	3.8149e+05	0.51219	0.30426	0.69574	0.60852	0.99995	False
VCP_CRISPRi_sgRNA_1	VCP	416.07/453.62	362.23/287.66	434.84	324.94	-0.4192	705.01	98711	0.50871	0.30548	0.69452	0.61095	0.99995	False
IL6R_CRISPRi_sgRNA_2	IL6R	720.26/997.38	682.1/630.84	858.82	656.47	-0.38711	38397	3.571e+05	0.47916	0.31591	0.68409	0.63182	0.99995	False
Non_Targeting_13	Non	605.88/639.72	473.96/490.65	622.8	482.31	-0.36815	572.66	1.9456e+05	0.46364	0.32145	0.67855	0.64291	0.99995	False
SLC52A1_CRISPRi_sgRNA_2	SLC52A1	647.36/922.75	581.18/654.51	785.05	617.85	-0.34505	37920	3.0135e+05	0.44235	0.32912	0.67088	0.65824	0.99995	False
FPR3_CRISPRi_sgRNA_4	FPR3	756.72/778.33	652.37/564.39	767.52	608.38	-0.33475	233.45	2.8876e+05	0.43325	0.33242	0.66758	0.66483	0.99995	False
NPC2_CRISPRi_sgRNA_4	NPC2	536.74/599.98	674.89/808.35	568.36	741.62	0.38328	1999.5	1.6369e+05	0.42825	0.63669	0.36331	0.72663	0.99995	True
SPI1_CRISPRi_sgRNA_1	SPI1	290.37/256.86	179.31/258.53	273.61	218.92	-0.32043	561.5	41174	0.42697	0.3347	0.6653	0.6694	0.99995	False
VENTX_CRISPRi_sgRNA_1	VENTX	795.69/861.68	624.43/700.93	828.68	662.68	-0.32207	2177.9	3.3378e+05	0.4215	0.33669	0.66331	0.67339	0.99995	False
ITGB2_CRISPRi_sgRNA_5	ITGB2	1223.1/1200	962.33/974.03	1211.5	968.18	-0.32317	266.99	6.8433e+05	0.42096	0.33689	0.66311	0.67378	0.99995	False
ILDR1_CRISPRi_sgRNA_3	ILDR1	757.97/826.79	606.41/663.61	792.38	635.01	-0.31896	2367.7	3.0669e+05	0.41891	0.33764	0.66236	0.67529	0.99995	False
TYROBP_CRISPRi_sgRNA_5	TYROBP	1316.1/957.64	958.72/868.43	1136.9	913.58	-0.31515	64241	6.068e+05	0.41386	0.33949	0.66051	0.67898	0.99995	False
Non_Targeting_22	Non	893.73/693.03	623.53/659.06	793.38	641.3	-0.30659	20141	3.0742e+05	0.40768	0.34175	0.65825	0.68351	0.99995	False
Non_Targeting_73	Non	889.96/946.01	684.8/801.98	917.99	743.39	-0.30398	1570.8	4.0502e+05	0.40457	0.3429	0.6571	0.6858	0.99995	False
S100A4_CRISPRi_sgRNA_4	S100A4	1135.1/1175.7	838.88/1035.9	1155.4	937.41	-0.30136	826.23	6.2565e+05	0.40109	0.34418	0.65582	0.68835	0.99995	False
TGFBR1_CRISPRi_sgRNA_3	TGFBR1	788.14/937.29	651.46/750.09	862.71	700.78	-0.29954	11122	3.6017e+05	0.40081	0.34428	0.65572	0.68856	0.99995	False
FERMT3_CRISPRi_sgRNA_3	FERMT3	969.15/915.96	746.98/790.14	942.56	768.56	-0.29408	1414.6	4.2576e+05	0.39533	0.3463	0.6537	0.6926	0.99995	False
FERMT3_CRISPRi_sgRNA_1	FERMT3	795.69/674.61	612.72/593.52	735.15	603.12	-0.28517	7329.2	2.6617e+05	0.38854	0.34881	0.65119	0.69762	0.99995	False
CLN3_CRISPRi_sgRNA_4	CLN3	715.24/736.65	874.93/972.21	725.94	923.57	0.34694	229.2	2.5991e+05	0.38764	0.62164	0.37836	0.75673	0.99995	True
IL1R1_CRISPRi_sgRNA_2	IL1R1	593.31/713.38	526.22/548.91	653.35	537.57	-0.28093	7209.3	2.1299e+05	0.3854	0.34997	0.65003	0.69994	0.99995	False
DPYD_CRISPRi_sgRNA_4	DPYD	1200.4/859.74	869.52/829.29	1030.1	849.4	-0.27795	58037	5.0358e+05	0.37992	0.352	0.648	0.70401	0.99995	False
TREM2_CRISPRi_sgRNA_2	TREM2	638.56/648.44	579.38/484.28	643.5	531.83	-0.27451	48.846	2.0696e+05	0.3796	0.35212	0.64788	0.70424	0.99995	False
GPR65_CRISPRi_sgRNA_1	GPR65	804.48/817.1	967.74/1080.5	810.79	1024.1	0.33663	79.537	3.2029e+05	0.37697	0.61787	0.38213	0.76427	0.99995	True
VCP_CRISPRi_sgRNA_2	VCP	408.53/504.02	347.81/410.55	456.27	379.18	-0.26639	4559.6	1.081e+05	0.37472	0.35393	0.64607	0.70787	0.99995	False
C1QB_CRISPRi_sgRNA_2	C1QB	1014.4/806.43	773.11/737.35	910.42	755.23	-0.2693	21626	3.9873e+05	0.37255	0.35474	0.64526	0.70948	0.99995	False
TNFRSF10B_CRISPRi_sgRNA_2	TNFRSF10B	837.17/757	639.75/683.64	797.08	661.69	-0.2682	3213.2	3.1014e+05	0.37236	0.35481	0.64519	0.70963	0.99995	False
SQSTM1_CRISPRi_sgRNA_4	SQSTM1	946.53/845.21	763.2/724.6	895.87	743.9	-0.26785	5132.9	3.8677e+05	0.3713	0.35521	0.64479	0.71041	0.99995	False
Non_Targeting_54	Non	988.01/953.76	830.77/782.86	970.89	806.82	-0.26676	586.29	4.5027e+05	0.36979	0.35577	0.64423	0.71154	0.99995	False
SPI1_CRISPRi_sgRNA_5	SPI1	211.18/225.84	231.57/326.8	218.51	279.19	0.3521	107.51	26943	0.36966	0.60832	0.39168	0.78336	0.99995	True
LILRA5_CRISPRi_sgRNA_2	LILRA5	1096.1/1152.5	846.99/1025	1124.3	936	-0.26418	1588	5.9417e+05	0.36651	0.35699	0.64301	0.71399	0.99995	False
CD226_CRISPRi_sgRNA_2	CD226	304.2/250.07	190.12/274.91	277.13	232.52	-0.25225	1464.7	42179	0.36638	0.35704	0.64296	0.71408	0.99995	False
FERMT3_CRISPRi_sgRNA_2	FERMT3	970.41/947.95	874.03/724.6	959.18	799.31	-0.26274	252.24	4.4006e+05	0.3661	0.35715	0.64285	0.71429	0.99995	False
IL10_CRISPRi_sgRNA_2	IL10	1063.4/872.35	802.84/811.08	967.89	806.96	-0.26204	18256	4.4764e+05	0.36539	0.35741	0.64259	0.71482	0.99995	False
LSR_CRISPRi_sgRNA_3	LSR	794.43/597.07	582.08/581.68	695.75	581.88	-0.25743	19475	2.3986e+05	0.36328	0.3582	0.6418	0.7164	0.99995	False
CD40_CRISPRi_sgRNA_2	CD40	874.88/966.36	776.71/764.66	920.62	770.68	-0.25616	4185	4.0722e+05	0.36018	0.35936	0.64064	0.71871	0.99995	False
GPR87_CRISPRi_sgRNA_2	GPR87	631.02/700.78	811.85/855.69	665.9	833.77	0.32391	2433.7	2.2079e+05	0.35726	0.60897	0.39103	0.78207	0.99995	True
TREML2_CRISPRi_sgRNA_5	TREML2	945.27/1078.8	804.64/893.01	1012	848.83	-0.25344	8915.3	4.8703e+05	0.35701	0.36054	0.63946	0.72108	0.99995	False
TLR2_CRISPRi_sgRNA_5	TLR2	903.79/815.16	744.27/700.93	859.47	722.6	-0.24993	3927.6	3.5761e+05	0.35478	0.36138	0.63862	0.72276	0.99995	False
Non_Targeting_99	Non	690.1/664.92	861.41/832.02	677.51	846.71	0.32121	316.91	2.2811e+05	0.35427	0.60784	0.39216	0.78433	0.99995	True
FOLR2_CRISPRi_sgRNA_5	FOLR2	786.89/760.88	644.26/659.06	773.88	651.66	-0.24765	338.19	2.933e+05	0.35337	0.3619	0.6381	0.72381	0.99995	False
TGFBI_CRISPRi_sgRNA_3	TGFBI	854.76/860.71	718.14/726.42	857.74	722.28	-0.24766	17.698	3.5625e+05	0.35266	0.36217	0.63783	0.72435	0.99995	False
LPL_CRISPRi_sgRNA_3	LPL	702.67/664.92	834.38/872.07	683.79	853.23	0.31895	712.37	2.3213e+05	0.35166	0.60682	0.39318	0.78636	0.99995	True
CLIC1_CRISPRi_sgRNA_5	CLIC1	751.69/664.92	528.02/667.25	708.31	597.64	-0.24473	3764.4	2.481e+05	0.35129	0.36269	0.63731	0.72537	0.99995	False
ITGAX_CRISPRi_sgRNA_3	ITGAX	833.4/848.11	638.85/781.04	840.75	709.95	-0.24366	108.31	3.4303e+05	0.34903	0.36354	0.63646	0.72707	0.99995	False
MRC1_CRISPRi_sgRNA_4	MRC1	1001.8/829.7	750.58/798.34	915.77	774.46	-0.2415	14816	4.0317e+05	0.34638	0.36453	0.63547	0.72906	0.99995	False
