id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD81	5	7.2565e-06	4.9803e-06	0.001031	1	4	-0.43254	0.92968	0.92888	0.999995	190	0	-0.43254
SPI1	5	1.3313e-05	1.4941e-05	0.001546	2	3	-0.56404	0.99939	0.99931	0.999995	206	0	-0.56404
LILRB4	5	0.00012448	0.00031376	0.021649	3	3	-0.46984	0.99999	1.0	0.999995	207	0	-0.46984
IL15RA	5	0.0022104	0.0050152	0.259536	4	1	0.046158	0.070908	0.077081	0.999995	12	1	0.046158
CTSB	5	0.0066196	0.012765	0.528454	5	1	-0.083866	0.97129	0.97093	0.999995	196	0	-0.083866
CD58	5	0.0097756	0.018253	0.629725	6	2	-0.26857	0.84874	0.84795	0.999995	171	0	-0.26857
FCGR2C	5	0.011949	0.022167	0.655523	7	2	-0.32632	0.99915	0.99899	0.999995	205	0	-0.32632
GPR87	5	0.024101	0.041501	0.999666	8	1	-0.14496	0.92479	0.9238	0.999995	188	0	-0.14496
CD48	5	0.032748	0.048693	0.999666	9	1	0.10427	0.52788	0.52738	0.999995	103	0	0.10427
LILRA5	5	0.041335	0.055605	0.999666	10	1	0.14653	0.24407	0.24499	0.999995	41	0	0.14653
IL1R2	5	0.045605	0.059251	0.999666	11	1	-0.056841	0.27538	0.27587	0.999995	47	0	-0.056841
LRP1	5	0.04986	0.063026	0.999666	12	1	-0.11961	0.12786	0.13014	0.999995	21	1	-0.11961
SLC24A4	5	0.062534	0.073564	0.999666	13	1	0.044111	0.75418	0.75328	0.999995	151	0	0.044111
FCGR2B	5	0.066728	0.077021	0.999666	14	1	-0.050011	0.87834	0.87802	0.999995	180	0	-0.050011
ICAM1	5	0.075072	0.084541	0.999666	15	1	-0.16035	0.41096	0.41134	0.999995	75	0	-0.16035
CD33	5	0.079222	0.088107	0.999666	16	1	-0.0145	0.81595	0.81449	0.999995	165	0	-0.0145
TMEM106B	5	0.083356	0.091992	0.999666	17	1	-0.26227	0.85546	0.85487	0.999995	175	0	-0.26227
SELL	5	0.087476	0.095538	0.999666	18	1	0.10683	0.77233	0.77108	0.999995	155	0	0.10683
HLA-DRB5	5	0.091581	0.099512	0.999666	19	1	0.023984	0.26851	0.26949	0.999995	46	0	0.023984
ITGAM	5	0.095671	0.10312	0.999666	20	1	-0.1134	0.3904	0.39087	0.999995	70	0	-0.1134
TLR2	5	0.099746	0.10655	0.999666	21	1	-0.067882	0.68393	0.68265	0.999995	133	0	-0.067882
CSF1R	5	0.10381	0.11031	0.999666	22	1	0.30096	0.014323	0.026211	0.602864	9	2	0.30096
HEXB	5	0.10785	0.11415	0.999666	23	1	-0.1924	0.73488	0.73384	0.999995	144	0	-0.1924
TARDBP	5	0.1199	0.12533	0.999666	24	1	-0.07621	0.48254	0.48172	0.999995	91	0	-0.07621
CD226	5	0.12389	0.12874	0.999666	25	1	0.017492	0.40806	0.4084	0.999995	74	0	0.017492
ITGAX	5	0.12786	0.1323	0.999666	26	1	-0.17448	0.39633	0.39675	0.999995	72	0	-0.17448
PLCG2	5	0.13577	0.13948	0.999666	27	1	0.084727	0.0097756	0.018094	0.46817	8	2	0.084727
IL6R	5	0.1397	0.14341	0.999666	28	1	-0.16038	0.61318	0.61226	0.999995	119	0	-0.16038
CSF3R	5	0.14752	0.15098	0.999666	29	1	-0.131	0.5586	0.55809	0.999995	108	0	-0.131
TLR10	5	0.15528	0.15856	0.999666	30	1	-0.070715	0.92754	0.92661	0.999995	189	0	-0.070715
LDLRAD3	5	0.15913	0.16221	0.999666	31	1	-0.029998	0.43378	0.43349	0.999995	81	0	-0.029998
PILRA	5	0.17063	0.1732	0.999666	32	1	-0.24455	0.65284	0.65225	0.999995	126	0	-0.24455
LSR	5	0.17443	0.17701	0.999666	33	1	-0.25611	0.19695	0.19817	0.999995	32	1	-0.25611
SNCA	5	0.17822	0.18061	0.999666	34	1	-0.26346	0.68217	0.68091	0.999995	132	0	-0.26346
APOC1	5	0.18199	0.18391	0.999666	35	1	-0.044135	0.73943	0.73877	0.999995	146	0	-0.044135
EPHA1	5	0.18575	0.18723	0.999666	36	1	0.020471	0.51313	0.51258	0.999995	98	0	0.020471
CD14	5	0.1895	0.19089	0.999666	37	1	-0.11099	0.98427	0.98354	0.999995	200	0	-0.11099
SCARB1	5	0.19323	0.19467	0.999666	38	1	-0.0016384	0.14361	0.14544	0.999995	24	1	-0.0016384
FLT1	5	0.19695	0.19858	0.999666	39	1	-0.14727	0.4196	0.41943	0.999995	76	0	-0.14727
IL21R	5	0.20066	0.20212	0.999666	40	1	-0.13029	0.78556	0.78481	0.999995	158	0	-0.13029
SCIMP	5	0.20435	0.20555	0.999666	41	1	-0.2157	0.59848	0.59773	0.999995	117	0	-0.2157
FPR2	5	0.2117	0.21303	0.999666	42	1	-0.059688	0.8227	0.82135	0.999995	166	0	-0.059688
SIGLEC5	5	0.21898	0.22015	0.999666	43	1	-0.25759	0.9939	0.99328	0.999995	203	0	-0.25759
FCGR2A	5	0.22261	0.22443	0.999666	44	1	-0.13649	0.84678	0.84606	0.999995	169	0	-0.13649
TMEM106A	5	0.22622	0.22802	0.999666	45	1	-0.091191	0.94374	0.94309	0.999995	192	0	-0.091191
C1QC	5	0.22982	0.23143	0.999666	46	0	0.11811	0.47992	0.47914	0.999995	90	0	0.11811
FOLR2	5	0.2334	0.23475	0.999666	47	0	-0.30683	0.79194	0.79102	0.999995	160	0	-0.30683
NFATC1	5	0.24053	0.24175	0.999666	48	0	-0.051931	0.1397	0.14153	0.999995	23	1	-0.051931
IL23A	5	0.25462	0.25547	0.999666	49	0	0.095859	0.42531	0.42491	0.999995	78	0	0.095859
CD44	5	0.25812	0.25895	0.999666	50	0	-0.1065	0.91724	0.91633	0.999995	186	0	-0.1065
ACTB	5	0.26159	0.26218	0.999666	51	0	-0.22358	0.75704	0.75596	0.999995	152	0	-0.22358
CTSH	5	0.26506	0.26604	0.999666	52	0	-0.14274	0.53989	0.53918	0.999995	105	0	-0.14274
IL2RA	5	0.26851	0.26949	0.999666	53	0	-0.097693	0.5877	0.58677	0.999995	114	0	-0.097693
CR2	5	0.27195	0.27273	0.999666	54	0	0.14848	0.062534	0.06969	0.999995	11	1	0.14848
C1QB	5	0.27538	0.27587	0.999666	55	0	-0.18118	0.58113	0.58066	0.999995	112	0	-0.18118
TNFRSF1A	5	0.28219	0.28301	0.999666	56	0	-0.032035	0.79816	0.79734	0.999995	162	0	-0.032035
FCGR3B	5	0.28558	0.28654	0.999666	57	0	-0.071659	0.76548	0.76426	0.999995	153	0	-0.071659
ITGB2	5	0.28895	0.29003	0.999666	58	0	-0.12797	0.8601	0.8598	0.999995	176	0	-0.12797
LYZ	5	0.29231	0.29324	0.999666	59	0	-0.19182	0.27879	0.27933	0.999995	48	0	-0.19182
TNFRSF13C	5	0.29566	0.29636	0.999666	60	0	0.11594	0.48514	0.48433	0.999995	92	0	0.11594
CD80	5	0.30232	0.30286	0.999666	61	0	-0.055592	0.322	0.3227	0.999995	55	0	-0.055592
LRRK2	5	0.30893	0.30938	0.999666	62	0	0.01035	0.68918	0.6877	0.999995	136	0	0.01035
IFNGR2	5	0.31875	0.31931	0.999666	63	0	0.0074213	0.79445	0.79348	0.999995	161	0	0.0074213
SUCNR1	5	0.322	0.3227	0.999666	64	0	-0.13065	0.97231	0.97199	0.999995	198	0	-0.13065
UNC13D	5	0.33487	0.33592	0.999666	65	0	0.11	0.5942	0.59329	0.999995	115	0	0.11
FCGR3A	5	0.3444	0.34534	0.999666	66	0	0.035218	0.53511	0.53438	0.999995	104	0	0.035218
ITGB3	5	0.34755	0.34848	0.999666	67	0	-0.10362	0.14752	0.14927	0.999995	25	1	-0.10362
CD40	5	0.35069	0.35143	0.999666	68	0	0.0014983	0.28895	0.29003	0.999995	49	0	0.0014983
C3AR1	5	0.35693	0.3574	0.999666	69	0	0.069995	0.56546	0.56486	0.999995	110	0	0.069995
CD300A	5	0.36003	0.36045	0.999666	70	0	-0.11726	0.63344	0.63262	0.999995	123	0	-0.11726
ICAM3	5	0.37536	0.37537	0.999666	71	0	-0.041796	0.51561	0.51495	0.999995	99	0	-0.041796
ITGAL	5	0.37839	0.37859	0.999666	72	0	-0.016827	0.91542	0.91453	0.999995	185	0	-0.016827
SORL1	5	0.38442	0.38456	0.999666	73	0	-0.046852	0.20435	0.20531	0.999995	34	0	-0.046852
FERMT3	5	0.3904	0.39087	0.999666	74	0	0.095465	0.62746	0.62663	0.999995	122	0	0.095465
PLEK	5	0.39928	0.39963	0.999666	75	0	0.06599	0.74244	0.74163	0.999995	147	0	0.06599
S100A4	5	0.40222	0.40225	0.999666	76	0	-0.1894	0.95321	0.95268	0.999995	194	0	-0.1894
BIN1	5	0.40514	0.40544	0.999666	77	0	0.032611	0.4586	0.45772	0.999995	87	0	0.032611
SIGLEC7	5	0.41096	0.41134	0.999666	78	0	-0.17924	0.97846	0.97798	0.999995	199	0	-0.17924
CD68	5	0.4196	0.41943	0.999666	79	0	-0.27154	0.98749	0.98678	0.999995	201	0	-0.27154
CTLA4	5	0.42531	0.42491	0.999666	80	0	-0.20169	0.61731	0.61612	0.999995	120	0	-0.20169
PILRB	5	0.42814	0.42787	0.999666	81	0	-0.14237	0.49547	0.49464	0.999995	95	0	-0.14237
ABI3	5	0.43378	0.43349	0.999666	82	0	-0.18442	0.80544	0.80417	0.999995	163	0	-0.18442
HAVCR1	5	0.43658	0.43609	0.999666	83	0	-0.13011	0.92195	0.921	0.999995	187	0	-0.13011
APOE	5	0.43937	0.43909	0.999666	84	0	-0.17015	0.86729	0.86652	0.999995	178	0	-0.17015
CXCR3	5	0.44215	0.44162	0.999666	85	0	0.030946	0.73025	0.72883	0.999995	142	0	0.030946
CCR2	5	0.45042	0.44993	0.999666	86	0	0.00389	0.43096	0.43056	0.999995	80	0	0.00389
CD200R1	5	0.45588	0.45519	0.999666	87	0	0.088134	0.84776	0.84691	0.999995	170	0	0.088134
SPP1	5	0.4586	0.45772	0.999666	88	0	-0.087269	0.42814	0.42787	0.999995	79	0	-0.087269
ITM2C	5	0.49033	0.48942	0.999666	89	0	-0.18643	0.90975	0.90853	0.999995	183	0	-0.18643
CD1D	5	0.4929	0.4923	0.999666	90	0	-0.010925	0.8871	0.88679	0.999995	181	0	-0.010925
CLEC2B	5	0.49547	0.49464	0.999666	91	0	-0.16677	0.99737	0.99705	0.999995	204	0	-0.16677
CLU	5	0.51064	0.50998	0.999666	92	0	0.013015	0.84279	0.84184	0.999995	168	0	0.013015
MMP9	5	0.51561	0.51495	0.999666	93	0	0.12549	0.54698	0.54608	0.999995	106	0	0.12549
GPNMB	5	0.523	0.52201	0.999666	94	0	0.095941	0.49802	0.4973	0.999995	96	0	0.095941
GPR183	5	0.52788	0.52738	0.999666	95	0	0.06796	0.67683	0.67554	0.999995	131	0	0.06796
GBA	5	0.53751	0.53671	0.999666	96	0	0.26826	0.0025936	0.0053837	0.222887	5	2	0.26826
IL10	5	0.53989	0.53918	0.999666	97	0	-0.21085	0.15528	0.15698	0.999995	26	1	-0.21085
MRC2	5	0.54226	0.5416	0.999666	98	0	-0.20694	0.98814	0.98741	0.999995	202	0	-0.20694
SELPLG	5	0.54463	0.54385	0.999666	99	0	-0.0082041	0.63739	0.63645	0.999995	124	0	-0.0082041
PLAUR	5	0.54698	0.54608	0.999666	100	0	-0.10774	0.85165	0.851	0.999995	172	0	-0.10774
NRP1	5	0.55166	0.55082	0.999666	101	0	-0.010291	0.38741	0.38761	0.999995	69	0	-0.010291
C1QA	5	0.55629	0.55548	0.999666	102	0	-0.047085	0.43937	0.43909	0.999995	83	0	-0.047085
TGFBR1	5	0.5586	0.55809	0.999666	103	0	-0.0694	0.45588	0.45519	0.999995	86	0	-0.0694
MS4A6A	5	0.56546	0.56486	0.999666	104	0	-0.025491	0.34755	0.34848	0.999995	62	0	-0.025491
IFNGR1	5	0.56772	0.56732	0.999666	105	0	0.085369	0.62342	0.62272	0.999995	121	0	0.085369
SLC16A5	5	0.56998	0.56937	0.999666	106	0	0.023726	0.66959	0.66829	0.999995	128	0	0.023726
CLIC1	5	0.57223	0.57152	0.999666	107	0	0.0073815	0.33167	0.3326	0.999995	58	0	0.0073815
TREM1	5	0.57447	0.57379	0.999666	108	0	-0.0046592	0.7364	0.73552	0.999995	145	0	-0.0046592
DPYD	5	0.5767	0.57604	0.999666	109	0	0.068786	0.57223	0.57152	0.999995	111	0	0.068786
ITGA5	5	0.58333	0.58269	0.999666	110	0	-0.077786	0.89166	0.89104	0.999995	182	0	-0.077786
CD86	5	0.5877	0.58677	0.999666	111	0	-0.040352	0.43658	0.43609	0.999995	82	0	-0.040352
IL1RN	5	0.5942	0.59329	0.999666	112	0	0.0098441	0.39337	0.39398	0.999995	71	0	0.0098441
CSF2RB	5	0.59848	0.59773	0.999666	113	0	-0.092425	0.95127	0.9508	0.999995	193	0	-0.092425
CR1	5	0.60483	0.60396	0.999666	114	0	0.082159	0.77637	0.77522	0.999995	156	0	0.082159
CXCR4	5	0.61318	0.61226	0.999666	115	0	0.22132	0.13182	0.13386	0.999995	22	1	0.22132
TGFBI	5	0.62139	0.62051	0.999666	116	0	0.033483	0.37536	0.37537	0.999995	67	0	0.033483
RYR1	5	0.62342	0.62272	0.999666	117	0	0.068524	0.83769	0.83681	0.999995	167	0	0.068524
VENTX	5	0.62746	0.62663	0.999666	118	0	0.042806	0.85356	0.85289	0.999995	174	0	0.042806
GPR141	5	0.62946	0.62859	0.999666	119	0	0.0096953	0.51809	0.51752	0.999995	100	0	0.0096953
MRC1	5	0.63935	0.63833	0.999666	120	0	0.25526	0.20066	0.20181	0.999995	33	0	0.25526
TREML4	5	0.65662	0.6562	0.999666	121	0	0.09463	0.58333	0.58269	0.999995	113	0	0.09463
P2RY6	5	0.6585	0.65795	0.999666	122	0	0.019688	0.083356	0.088744	0.999995	14	1	0.019688
NPC2	5	0.66408	0.66312	0.999666	123	0	0.040618	0.37232	0.37224	0.999995	66	0	0.040618
PTPRE	5	0.66776	0.66677	0.999666	124	0	0.18936	0.56318	0.56261	0.999995	109	0	0.18936
SIRPB1	5	0.66959	0.66829	0.999666	125	0	0.042655	0.20803	0.20938	0.999995	35	0	0.042655
MS4A4A	5	0.67141	0.67014	0.999666	126	0	0.47307	0.00065452	0.0017481	0.090464	4	3	0.47307
GPR65	5	0.67323	0.67203	0.999666	127	0	-0.044842	0.91294	0.91202	0.999995	184	0	-0.044842
FPR3	5	0.68039	0.679	0.999666	128	0	-0.054882	0.7045	0.70246	0.999995	139	0	-0.054882
IRF8	5	0.68217	0.68091	0.999666	129	0	0.22279	0.19323	0.19416	0.999995	31	1	0.22279
CLEC7A	5	0.68918	0.6877	0.999666	130	0	0.042439	0.85261	0.85193	0.999995	173	0	0.042439
ADA2	5	0.69091	0.68929	0.999666	131	0	0.081937	0.36926	0.3693	0.999995	65	0	0.081937
HEXA	5	0.69607	0.69432	0.999666	132	0	-0.04521	0.34124	0.3422	0.999995	61	0	-0.04521
CDKN2A	5	0.69777	0.69596	0.999666	133	0	-0.049644	0.299	0.29949	0.999995	51	0	-0.049644
TNFRSF10B	5	0.70617	0.70401	0.999666	134	0	0.23047	0.037049	0.047717	0.987732	10	1	0.23047
TLR5	5	0.71112	0.709	0.999666	135	0	0.022657	0.523	0.52201	0.999995	101	0	0.022657
CLDN7	5	0.71438	0.71244	0.999666	136	0	0.019686	0.72082	0.71899	0.999995	141	0	0.019686
LAPTM5	5	0.716	0.71417	0.999666	137	0	0.083433	0.32846	0.32923	0.999995	57	0	0.083433
TLR7	5	0.71922	0.71737	0.999666	138	0	0.13368	0.60903	0.60784	0.999995	118	0	0.13368
LRP1B	5	0.72082	0.71899	0.999666	139	0	-0.015164	0.93125	0.93035	0.999995	191	0	-0.015164
PTPRC	5	0.72241	0.72069	0.999666	140	0	-0.11823	0.69607	0.69432	0.999995	137	0	-0.11823
TREML2	5	0.7287	0.72712	0.999666	141	0	-0.034946	0.4929	0.4923	0.999995	94	0	-0.034946
NFATC2	5	0.73025	0.72883	0.999666	142	0	-0.039109	0.1159	0.1189	0.999995	19	1	-0.039109
LPL	5	0.7364	0.73552	0.999666	143	0	-0.06752	0.17443	0.17591	0.999995	28	1	-0.06752
