sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
Alector_lib_2_sgRNA_59	AXL	1459.2/1570.7	4189.3/3555.9	1515	3872.6	1.3534	6216.6	5.9983e+05	3.0441	0.9988	0.0011972	0.0023944	0.99974	True
Alector_lib_2_sgRNA_887	SYK	1391.1/1847.5	3514.6/3958.2	1619.3	3736.4	1.2058	1.0414e+05	6.7685e+05	2.5733	0.99484	0.0051627	0.010325	0.99974	True
Alector_lib_2_sgRNA_1	ABCA1	644.44/859.27	1912.3/1690.1	751.86	1801.2	1.2593	23076	1.6834e+05	2.5576	0.99455	0.0054516	0.010903	0.99974	True
Alector_lib_2_sgRNA_391	GBA	647.36/640.72	1484.5/1579.1	644.04	1531.8	1.2487	22.059	1.2716e+05	2.4895	0.99337	0.0066315	0.013263	0.99974	True
Alector_lib_2_sgRNA_589	LDLR	841.08/863.99	2157.4/1299.9	852.54	1728.7	1.019	262.32	2.1141e+05	1.9054	0.97071	0.029294	0.058589	0.99974	True
Alector_lib_2_sgRNA_57	AXL	1270.4/1007.9	2192.9/1981.3	1139.1	2087.1	0.87303	34461	3.5758e+05	1.5854	0.94191	0.05809	0.11618	0.99974	True
Alector_lib_2_sgRNA_56	AXL	1274.3/1497.6	2676.2/2305.6	1386	2490.9	0.84532	24943	5.1038e+05	1.5466	0.93739	0.062614	0.12523	0.99974	True
Alector_lib_2_sgRNA_590	LDLR	853.74/799.52	1733.9/1293.9	826.63	1513.9	0.87216	1469.6	1.9991e+05	1.5371	0.9358	0.064203	0.12841	0.99974	True
Alector_lib_2_sgRNA_963	TNFRSF10B	1271.4/943.39	2005.9/1849.3	1107.4	1927.6	0.79908	53782	3.3971e+05	1.4072	0.91796	0.08204	0.16408	0.99974	True
Alector_lib_2_sgRNA_502	IL15RA	1477.7/2061.3	686.81/604.91	1769.5	645.86	-1.4527	1.7028e+05	7.9508e+05	1.3908	0.082141	0.91786	0.16428	0.99974	False
Alector_lib_2_sgRNA_3	ABCA1	637.63/735.06	1190.9/1211.3	686.34	1201.1	0.80645	4746.5	1.427e+05	1.3627	0.91041	0.089594	0.17919	0.99974	True
Alector_lib_2_sgRNA_4	ABCA1	897.55/747.64	1179.6/1603.1	822.59	1391.4	0.75752	11236	1.9814e+05	1.2777	0.89597	0.10403	0.20807	0.99974	True
Alector_lib_2_sgRNA_586	LDLR	949.14/1008.6	1571.1/1579.1	978.89	1575.1	0.68565	1770.3	2.7163e+05	1.1439	0.86974	0.13026	0.26051	0.99974	True
Alector_lib_2_sgRNA_1037	Non_Targeting	920.91/900.94	1634.3/1287.9	910.92	1461.1	0.68105	199.41	2.384e+05	1.1268	0.86592	0.13408	0.26815	0.99974	True
Alector_lib_2_sgRNA_326	FCER1G	1162.3/1099.8	1742.6/1795.2	1131.1	1768.9	0.64468	1952.8	3.5302e+05	1.0735	0.85432	0.14568	0.29135	0.99974	True
Alector_lib_2_sgRNA_268	CR2	968.61/1029.1	1471.5/1663.1	998.85	1567.3	0.64943	1828.5	2.8175e+05	1.071	0.85352	0.14648	0.29296	0.99974	True
Alector_lib_2_sgRNA_761	PLCG2	772.94/749.21	1293.9/1107.8	761.07	1200.8	0.65725	281.57	1.721e+05	1.0601	0.85047	0.14953	0.29907	0.99974	True
Alector_lib_2_sgRNA_504	IL15RA	1107.8/999.21	1560.7/1715.7	1053.5	1638.2	0.6364	5897.8	3.1034e+05	1.0495	0.84859	0.15141	0.30281	0.99974	True
Alector_lib_2_sgRNA_917	TGFBR3	742.76/674.52	999.47/1206.8	708.64	1103.1	0.63776	2328.2	1.5121e+05	1.0145	0.83933	0.16067	0.32133	0.99974	True
Alector_lib_2_sgRNA_393	GBA	558.78/514.93	767.35/899.11	536.85	833.23	0.63323	961.03	91432	0.98016	0.83005	0.16995	0.33989	0.99974	True
Alector_lib_2_sgRNA_729	P2RY6	1029/1022.8	1863/1226.3	1025.9	1544.6	0.58994	19.044	2.9573e+05	0.95395	0.82475	0.17525	0.35049	0.99974	True
Alector_lib_2_sgRNA_826	SIGLEC9	1240.2/1033	1938.3/1465	1136.6	1701.7	0.58178	21465	3.5615e+05	0.94681	0.8231	0.1769	0.35379	0.99974	True
Alector_lib_2_sgRNA_725	OLR1	750.55/938.67	1190/1358.4	844.61	1274.2	0.59267	17695	2.0786e+05	0.94227	0.82126	0.17874	0.35748	0.99974	True
Alector_lib_2_sgRNA_60	AXL	984.18/995.28	1468/1489	989.73	1478.5	0.57856	61.525	2.771e+05	0.92853	0.81796	0.18204	0.36407	0.99974	True
Alector_lib_2_sgRNA_677	MS4A4A	921.88/830.97	1452.4/1158.8	876.43	1305.6	0.57448	4132.5	2.2228e+05	0.91032	0.81277	0.18723	0.37446	0.99974	True
Alector_lib_2_sgRNA_878	SQSTM1	741.79/768.86	1306.1/927.63	755.33	1116.8	0.56364	366.52	1.6975e+05	0.87746	0.80332	0.19668	0.39337	0.99974	True
Alector_lib_2_sgRNA_1013	VCP	1101/1182.4	1596.2/1723.2	1141.7	1659.7	0.53934	3311.5	3.5905e+05	0.86447	0.80068	0.19932	0.39864	0.99974	True
Alector_lib_2_sgRNA_327	FCER1G	1007.5/1063.7	1272.3/1747.2	1035.6	1509.7	0.54338	1575	3.0084e+05	0.86442	0.80043	0.19957	0.39913	0.99974	True
Alector_lib_2_sgRNA_694	NFATC2	1049.4/992.92	1766.8/1206.8	1021.2	1486.8	0.54158	1595.5	2.9327e+05	0.85987	0.79911	0.20089	0.40178	0.99974	True
Alector_lib_2_sgRNA_272	CSF1R	1295.7/1350.6	1884.6/1924.3	1323.2	1904.5	0.52506	1508.3	4.692e+05	0.84864	0.79653	0.20347	0.40695	0.99974	True
Alector_lib_2_sgRNA_569	ITM2B	1208.1/980.34	1615.3/1531	1094.2	1573.1	0.52336	25934	3.3242e+05	0.83068	0.79089	0.20911	0.41823	0.99974	True
Alector_lib_2_sgRNA_618	LRP1	737.89/670.59	1059.2/984.67	704.24	1021.9	0.53654	2264.7	1.4952e+05	0.82163	0.78706	0.21294	0.42588	0.99974	True
Alector_lib_2_sgRNA_312	CXCR4	796.3/701.25	1048/1121.3	748.78	1084.6	0.53398	4517.2	1.6709e+05	0.82158	0.78721	0.21279	0.42557	0.99974	True
Alector_lib_2_sgRNA_678	MS4A4A	1066/1010.2	1357.2/1615.1	1038.1	1486.1	0.51722	1553.6	3.0214e+05	0.81511	0.78619	0.21381	0.42762	0.99974	True
Alector_lib_2_sgRNA_296	CTSB	856.66/811.32	461.63/549.37	833.99	505.5	-0.72119	1028	2.0315e+05	0.81478	0.2076	0.7924	0.4152	0.99974	False
Alector_lib_2_sgRNA_686	NFATC1	1062.1/1305.8	1592.7/1781.7	1183.9	1687.2	0.5107	29706	3.835e+05	0.8127	0.78582	0.21418	0.42836	0.99974	True
Alector_lib_2_sgRNA_795	SCARB1	898.52/963.83	1040.2/1631.6	931.17	1335.9	0.52021	2132.8	2.4809e+05	0.81254	0.78515	0.21485	0.42971	0.99974	True
Alector_lib_2_sgRNA_564	ITGB3	812.85/803.45	1154.5/1160.3	808.15	1157.4	0.51764	44.163	1.9188e+05	0.79727	0.7802	0.2198	0.43959	0.99974	True
Alector_lib_2_sgRNA_599	LILRB4	1441.7/1084.1	731.84/843.57	1262.9	787.71	-0.68034	63941	4.3117e+05	0.79534	0.21321	0.78679	0.42642	0.99974	False
Alector_lib_2_sgRNA_866	SPI1	1046.5/1026.7	600.2/690.47	1036.6	645.33	-0.68291	195.3	3.0136e+05	0.78972	0.21485	0.78515	0.42969	0.99974	False
Alector_lib_2_sgRNA_765	PLCG2	1112.7/1008.6	1561.6/1429	1060.7	1495.3	0.49504	5412.3	3.1417e+05	0.77537	0.77435	0.22565	0.45131	0.99974	True
Alector_lib_2_sgRNA_497	IL10	1257.7/1143.1	1869/1496.5	1200.4	1682.8	0.48697	6573	3.9323e+05	0.76922	0.7728	0.2272	0.45439	0.99974	True
Alector_lib_2_sgRNA_143	CD58	1131.2/1388.4	827.11/777.53	1259.8	802.32	-0.65025	33070	4.2922e+05	0.76782	0.2213	0.7787	0.44259	0.99974	False
Alector_lib_2_sgRNA_1084	Non_Targeting	1004.6/1044	1537.3/1332.9	1024.3	1435.1	0.48608	775.85	2.9492e+05	0.75642	0.76844	0.23156	0.46312	0.99974	True
Alector_lib_2_sgRNA_1017	VDR	1121.4/869.49	1615.3/1175.3	995.47	1395.3	0.48669	31740	2.8002e+05	0.75553	0.76808	0.23192	0.46383	0.99974	True
Alector_lib_2_sgRNA_1112	Non_Targeting	790.46/1152.5	1332/1389.9	971.49	1361	0.48597	65539	2.6791e+05	0.75253	0.76708	0.23292	0.46583	0.99974	True
Alector_lib_2_sgRNA_5	ABCA1	1158.4/1068.4	1442.9/1655.6	1113.4	1549.3	0.47623	4054.2	3.4308e+05	0.74412	0.76486	0.23514	0.47028	0.99974	True
Alector_lib_2_sgRNA_606	LPL	844/730.34	1377.1/833.07	787.17	1105.1	0.48886	6459.6	1.8295e+05	0.74324	0.76356	0.23644	0.47287	0.99974	True
Alector_lib_2_sgRNA_645	LTBR	1160.4/1114.8	1419.5/1735.2	1137.6	1577.3	0.47118	1040.1	3.567e+05	0.73633	0.76249	0.23751	0.47502	0.99974	True
Alector_lib_2_sgRNA_275	CSF1R	1314.2/1077.8	1734.8/1576.1	1196	1655.4	0.46864	27935	3.9063e+05	0.73506	0.76223	0.23777	0.47554	0.99974	True
Alector_lib_2_sgRNA_408	GPR87	1180.8/1070	653.03/815.05	1125.4	734.04	-0.61581	6145.5	3.498e+05	0.7317	0.23218	0.76782	0.46435	0.99974	False
Alector_lib_2_sgRNA_37	AIF1	1218.8/1124.2	1574.5/1652.6	1171.5	1613.6	0.46158	4473.2	3.7623e+05	0.72074	0.75766	0.24234	0.48467	0.99974	True
Alector_lib_2_sgRNA_680	MS4A4A	823.56/806.6	1310.4/953.15	815.08	1131.8	0.47307	143.85	1.9488e+05	0.71739	0.75551	0.24449	0.48898	0.99974	True
Alector_lib_2_sgRNA_532	IRF8	1241.2/1290.1	1716.6/1744.2	1265.6	1730.4	0.45093	1195.8	4.3285e+05	0.7064	0.75332	0.24668	0.49336	0.99974	True
Alector_lib_2_sgRNA_638	LSR	1202.2/1080.2	1330.3/1798.2	1141.2	1564.3	0.45458	7449.4	3.5877e+05	0.7063	0.75299	0.24701	0.49402	0.99974	True
Alector_lib_2_sgRNA_164	CD81	1459.2/1542.4	1044.5/974.16	1500.8	1009.3	-0.5719	3461.4	5.8971e+05	0.7003	0.24187	0.75813	0.48374	0.99974	False
Alector_lib_2_sgRNA_666	MRC1	1003.7/820.75	1379.7/1125.8	912.2	1252.7	0.45721	16727	2.39e+05	0.69653	0.74917	0.25083	0.50166	0.99974	True
Alector_lib_2_sgRNA_865	SORL1	936.48/744.49	1200.4/1112.3	840.49	1156.3	0.45978	18430	2.0603e+05	0.69583	0.74868	0.25132	0.50264	0.99974	True
Alector_lib_2_sgRNA_131	CD48	1193.5/1338	807.19/900.61	1265.8	853.9	-0.56731	10449	4.3293e+05	0.68984	0.24515	0.75485	0.49029	0.99974	False
Alector_lib_2_sgRNA_838	SIRPB1	901.44/876.57	1200.4/1235.3	889	1217.9	0.45366	309.3	2.281e+05	0.68859	0.74651	0.25349	0.50697	0.99974	True
Alector_lib_2_sgRNA_867	SPI1	828.43/991.35	536.97/685.97	909.89	611.47	-0.57263	13271	2.379e+05	0.68415	0.24694	0.75306	0.49388	0.99974	False
Alector_lib_2_sgRNA_604	LPAR2	794.36/1022	1349.4/1131.8	908.18	1240.6	0.44952	25912	2.371e+05	0.68262	0.74464	0.25536	0.51072	0.99974	True
Alector_lib_2_sgRNA_982	TREM2	1113.7/974.05	1606.6/1233.8	1043.9	1420.2	0.44383	9744.9	3.052e+05	0.68127	0.74464	0.25536	0.51072	0.99974	True
Alector_lib_2_sgRNA_594	LILRA5	970.56/1717.8	1065.3/768.52	1344.2	916.91	-0.55136	2.7916e+05	4.8279e+05	0.67638	0.2494	0.7506	0.4988	0.99974	False
Alector_lib_2_sgRNA_473	IL1R2	2175.7/1648.6	1206.5/1426	1912.1	1316.2	-0.53846	1.3894e+05	9.1517e+05	0.67594	0.24954	0.75046	0.49908	0.99974	False
Alector_lib_2_sgRNA_619	LRP1	1059.1/993.7	617.52/777.53	1026.4	697.52	-0.55665	2141	2.9602e+05	0.67273	0.25056	0.74944	0.50112	0.99974	False
