id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SPI1	5	5.8471e-06	4.9803e-06	0.001031	1	5	-0.64601	0.99999	1.0	0.999995	207	0	-0.64601
FCGR2C	5	5.6029e-05	0.00024404	0.025258	2	5	-0.48244	0.99994	0.99993	0.999995	206	0	-0.48244
CD44	5	0.00084748	0.003541	0.24433	3	3	-0.48112	0.20167	0.34923	0.999995	63	2	-0.48112
ITGAL	5	0.0017821	0.0069476	0.349897	4	4	-0.62607	0.97926	0.97873	0.999995	200	0	-0.62607
IL15RA	5	0.0022104	0.0084516	0.349897	5	1	0.26689	0.021098	0.064112	0.999995	13	3	0.26689
ICAM3	5	0.0031252	0.01135	0.391581	6	4	-0.4979	0.99344	0.99273	0.999995	204	0	-0.4979
ITGAM	5	0.0043342	0.014916	0.44109	7	4	-0.36761	0.88318	0.88275	0.999995	179	0	-0.36761
CD19	5	0.0066196	0.021988	0.568943	8	3	-0.25239	0.87077	0.87012	0.999995	176	0	-0.25239
MS4A4A	5	0.0076263	0.024917	0.573081	9	3	-0.42595	0.99755	0.99731	0.999995	205	0	-0.42595
CD300LB	5	0.011013	0.035425	0.68634	10	4	-0.33588	0.8564	0.85584	0.999995	172	0	-0.33588
TNFRSF10B	5	0.011387	0.03664	0.68634	11	2	-0.074196	0.058324	0.13852	0.999995	22	1	-0.074196
IRF5	5	0.012524	0.039788	0.68634	12	3	-0.37062	0.95321	0.95268	0.999995	194	0	-0.37062
ACTB	5	0.015391	0.048294	0.752921	13	2	-0.20644	0.50814	0.62348	0.999995	118	1	-0.20644
CD58	5	0.017348	0.053952	0.752921	14	4	-0.37831	0.6413	0.68873	0.999995	135	1	-0.37831
C1QB	5	0.017572	0.054559	0.752921	15	4	-0.27501	0.95048	0.94999	0.999995	193	0	-0.27501
HAVCR1	5	0.022896	0.065387	0.78299	16	3	-0.34892	0.97024	0.96991	0.999995	199	0	-0.34892
P2RY6	5	0.024101	0.067996	0.78299	17	2	-0.028345	0.19653	0.34397	0.999995	61	2	-0.028345
FPR2	5	0.024133	0.068086	0.78299	18	2	-0.047792	0.3989	0.5418	0.999995	98	2	-0.047792
NRP1	5	0.028432	0.076742	0.836082	19	2	-0.19849	0.72082	0.73728	0.999995	143	1	-0.19849
HEXB	5	0.031607	0.083047	0.859536	20	2	0.13	0.17964	0.32757	0.999995	60	2	0.13
IRF8	5	0.037049	0.093545	0.922091	21	1	-0.10364	0.14361	0.28602	0.999995	52	2	-0.10364
CD86	5	0.043189	0.10545	0.948819	22	3	-0.31596	0.9914	0.99063	0.999995	202	0	-0.31596
IL1RN	5	0.047926	0.11425	0.948819	23	3	-0.32477	0.96169	0.96108	0.999995	197	0	-0.32477
LILRB4	5	0.049068	0.11644	0.948819	24	3	-0.26944	0.76409	0.77011	0.999995	150	1	-0.26944
ICAM1	5	0.05013	0.11838	0.948819	25	2	-0.13301	0.77233	0.77643	0.999995	151	1	-0.13301
SNCA	5	0.051032	0.12023	0.948819	26	3	-0.26785	0.29839	0.44231	0.999995	81	2	-0.26785
TLR2	5	0.054472	0.12615	0.948819	27	2	-0.028589	0.93431	0.9337	0.999995	189	0	-0.028589
CD200R1	5	0.058324	0.13347	0.948819	28	2	-0.095768	0.80781	0.80687	0.999995	161	1	-0.095768
SIGLEC5	5	0.059633	0.13596	0.948819	29	3	-0.30236	0.74244	0.75362	0.999995	148	1	-0.30236
TGFBR1	5	0.062433	0.1415	0.948819	30	3	-0.29243	0.47992	0.61161	0.999995	115	1	-0.29243
CD48	5	0.068343	0.15265	0.948819	31	2	-0.18456	0.48514	0.61363	0.999995	116	1	-0.18456
SIGLEC7	5	0.069555	0.15459	0.948819	32	2	0.023204	0.28219	0.42675	0.999995	76	1	0.023204
TNFRSF13C	5	0.070506	0.15649	0.948819	33	3	-0.30767	0.88238	0.88189	0.999995	178	0	-0.30767
PLCG2	5	0.072802	0.16084	0.948819	34	3	-0.29799	0.90845	0.90732	0.999995	184	0	-0.29799
CXCR3	5	0.07448	0.16403	0.948819	35	2	0.14518	0.78813	0.79012	0.999995	155	1	0.14518
LTBR	5	0.079222	0.17215	0.948819	36	1	0.1656	0.095671	0.20473	0.999995	34	2	0.1656
MS4A6A	5	0.08867	0.1893	0.948819	37	2	-0.0013811	0.5303	0.63349	0.999995	122	1	-0.0013811
EPHA1	5	0.091347	0.19413	0.948819	38	2	-0.10045	0.20066	0.34831	0.999995	62	2	-0.10045
NFATC1	5	0.091581	0.19446	0.948819	39	2	-0.052158	0.41563	0.55889	0.999995	102	2	-0.052158
C3AR1	5	0.092634	0.19636	0.948819	40	3	-0.2562	0.87502	0.87463	0.999995	177	0	-0.2562
CR1	5	0.095416	0.20182	0.948819	41	2	0.060938	0.80544	0.80487	0.999995	160	1	0.060938
SIRPB1	5	0.095671	0.20233	0.948819	42	1	-0.15674	0.38741	0.52984	0.999995	97	2	-0.15674
IFNGR1	5	0.098904	0.20815	0.948819	43	3	-0.25548	0.28552	0.43019	0.999995	77	2	-0.25548
CDKN2A	5	0.10234	0.2145	0.948819	44	2	-0.24853	0.31222	0.45571	0.999995	83	1	-0.24853
CTSH	5	0.10258	0.21491	0.948819	45	3	-0.2326	0.92366	0.92262	0.999995	186	0	-0.2326
TREML2	5	0.10374	0.21709	0.948819	46	2	-0.022681	0.92479	0.9238	0.999995	187	0	-0.022681
PLCB3	5	0.10381	0.21724	0.948819	47	2	-0.13992	0.73943	0.75139	0.999995	147	1	-0.13992
IL6R	5	0.10539	0.22002	0.948819	48	3	-0.21647	0.96037	0.95965	0.999995	195	0	-0.21647
CTLA4	5	0.10824	0.22524	0.951504	49	3	-0.25459	0.9607	0.95999	0.999995	196	0	-0.25459
LDLRAD3	5	0.11376	0.23444	0.970577	50	2	-0.18535	0.89822	0.89793	0.999995	182	0	-0.18535
FCGR1A	5	0.12408	0.24593	0.980787	51	2	-0.074143	0.15528	0.30462	0.999995	58	2	-0.074143
