sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SCARB1_CRISPRa_sgRNA_4	SCARB1	852.79/802.29	4294.4/4353.2	827.54	4323.8	2.384	1274.9	39120	17.677	1	3.1735e-70	6.3469e-70	7.1721e-67	True
LDLR_CRISPRa_sgRNA_4	LDLR	654.3/539.33	2483.1/2485.7	596.82	2484.4	2.0557	6609	23514	12.31	1	4.0154e-35	8.0307e-35	4.5374e-32	True
TREM2_CRISPRa_sgRNA_5	TREM2	957.52/662.76	2878.3/2860.2	810.14	2869.2	1.8231	43440	37846	10.584	1	1.7599e-26	3.5198e-26	1.3258e-23	True
LDLR_CRISPRa_sgRNA_5	LDLR	581.49/454.36	1916.5/1743	517.93	1829.8	1.8188	8080.8	18860	9.5524	1	6.3374e-22	1.2675e-21	3.5807e-19	True
SCARB1_CRISPRa_sgRNA_5	SCARB1	1133.1/1258.4	3472.3/3442.9	1195.8	3457.6	1.5311	7860.6	69462	8.582	1	4.6602e-18	9.3203e-18	2.1064e-15	True
TREM2_CRISPRa_sgRNA_2	TREM2	773.99/661.87	2362.9/2028.7	717.93	2195.8	1.6115	6285.9	31351	8.3465	1	3.5152e-17	7.0304e-17	1.3241e-14	True
CD68_CRISPRa_sgRNA_3	CD68	761.03/628.78	2284.2/1927.1	694.9	2105.7	1.598	8745.2	29799	8.1725	1	1.51e-16	3.02e-16	4.8752e-14	True
AXL_CRISPRa_sgRNA_4	AXL	990.43/929.3	2827/2695.2	959.87	2761.1	1.5233	1868.6	49300	8.1123	1	2.4843e-16	4.9685e-16	7.018e-14	True
LDLR_CRISPRa_sgRNA_1	LDLR	722.13/693.17	2034.9/2193.7	707.65	2114.3	1.5777	419.16	30655	8.0343	1	4.7075e-16	9.415e-16	1.1821e-13	True
AXL_CRISPRa_sgRNA_2	AXL	773.99/597.47	2185.2/1792.5	685.73	1988.9	1.5349	15580	29189	7.6276	1	1.196e-14	2.392e-14	2.7029e-12	True
SCARB1_CRISPRa_sgRNA_2	SCARB1	1059.3/1143.1	2560.9/2733.3	1101.2	2647.1	1.2646	3512.3	61078	6.2552	1	1.9845e-10	3.9691e-10	4.0769e-08	True
MERTK_CRISPRa_sgRNA_5	MERTK	969.49/1091.2	2411.5/2578.4	1030.3	2494.9	1.2751	7405.9	55060	6.2417	1	2.1647e-10	4.3294e-10	4.0769e-08	True
CD68_CRISPRa_sgRNA_2	CD68	1426.3/2059	3517.4/4067.5	1742.6	3792.4	1.1214	2.0012e+05	1.2509e+05	5.7957	1	3.401e-09	6.8021e-09	5.9126e-07	True
TNFRSF10B_CRISPRa_sgRNA_1	TNFRSF10B	1430.3/1335.4	2949/3077.3	1382.8	3013.1	1.1231	4505.4	87158	5.5222	1	1.6735e-08	3.347e-08	2.7015e-06	True
SQSTM1_CRISPRa_sgRNA_2	SQSTM1	1415.3/1442.7	2888/3261.4	1429	3074.7	1.1049	374.44	91746	5.4331	1	2.7695e-08	5.539e-08	4.1727e-06	True
MRC1_CRISPRa_sgRNA_3	MRC1	1123.1/1284.4	2671.4/2556.8	1203.7	2614.1	1.1181	13008	70187	5.3236	1	5.0877e-08	1.0175e-07	7.1863e-06	True
CSF2RB_CRISPRa_sgRNA_4	CSF2RB	1183.9/1276.3	2728.9/2589.8	1230.1	2659.3	1.1116	4269.3	72604	5.3041	1	5.6615e-08	1.1323e-07	7.5264e-06	True
