sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
LDLR_CRISPRi_sgRNA_2	LDLR	2902.5/2821.2	415.9/604.19	2861.8	510.05	-2.4859	3306.3	2.7634e+08	2.0281	0.021273	0.97873	0.042546	0.42746	False
LDLR_CRISPRi_sgRNA_1	LDLR	6853.4/7428.7	1427/1670.9	7141.1	1549	-2.2041	1.6549e+05	2.5778e+09	2.0194	0.021721	0.97828	0.043441	0.42746	False
IL6R_CRISPRi_sgRNA_2	IL6R	12837/13856	3325.4/3255.6	13347	3290.5	-2.0198	5.1954e+05	1.1873e+10	2.0174	0.021827	0.97817	0.043654	0.42746	False
PILRA_CRISPRi_sgRNA_2	PILRA	6109.1/7455.8	2175.3/1826.2	6782.4	2000.7	-1.7608	9.0678e+05	2.273e+09	1.8829	0.029858	0.97014	0.059715	0.42746	False
ITGAM_CRISPRi_sgRNA_4	ITGAM	3971.3/3254	1079.7/1180	3612.7	1129.9	-1.6761	2.573e+05	4.8815e+08	1.8021	0.035766	0.96423	0.071532	0.42746	False
MS4A6A_CRISPRi_sgRNA_4	MS4A6A	4017/4559.3	1509.6/1890.8	4288.1	1700.2	-1.3341	1.4701e+05	7.419e+08	1.707	0.043909	0.95609	0.087818	0.42746	False
LDLR_CRISPRi_sgRNA_5	LDLR	6095.5/6738.9	2413.7/3106	6417.2	2759.9	-1.217	2.0698e+05	1.9856e+09	1.7055	0.044051	0.95595	0.088101	0.42746	False
Non_Targeting_43	Non	3486.5/3537.1	1426.1/1418.1	3511.8	1422.1	-1.3036	1280.5	4.5553e+08	1.6787	0.046607	0.95339	0.093214	0.42746	False
FPR1_CRISPRi_sgRNA_3	FPR1	2928.7/3234.7	1197/1253.7	3081.7	1225.4	-1.3298	46805	3.311e+08	1.6755	0.046919	0.95308	0.093839	0.42746	False
CD1D_CRISPRi_sgRNA_3	CD1D	2862.6/3827.9	1393.2/1448.7	3345.3	1421	-1.2347	4.6585e+05	4.0457e+08	1.6511	0.049355	0.95065	0.09871	0.42746	False
CCR2_CRISPRi_sgRNA_2	CCR2	2755.7/3347.7	1344.4/1296.8	3051.7	1320.6	-1.2078	1.7521e+05	3.2329e+08	1.6336	0.051176	0.94882	0.10235	0.42746	False
ITGAX_CRISPRi_sgRNA_4	ITGAX	3578.8/3950.6	1743.4/1837.5	3764.7	1790.5	-1.0718	69120	5.3984e+08	1.6068	0.054047	0.94595	0.10809	0.42746	False
RPL11_CRISPRi_sgRNA_2	RPL11	1864.7/2069.5	954.8/736.82	1967.1	845.81	-1.2167	20971	1.1062e+08	1.5959	0.055261	0.94474	0.11052	0.42746	False
P2RY6_CRISPRi_sgRNA_2	P2RY6	2857.8/3889.7	1759.4/1539.4	3373.7	1649.4	-1.032	5.3245e+05	4.1304e+08	1.5827	0.056748	0.94325	0.1135	0.42746	False
LRRK2_CRISPRi_sgRNA_5	LRRK2	3431.1/4014.3	1971.6/1921.4	3722.7	1946.5	-0.93513	1.701e+05	5.2527e+08	1.5584	0.059572	0.94043	0.11914	0.42746	False
SIGLEC7_CRISPRi_sgRNA_4	SIGLEC7	2539.1/2805.7	1247.7/1376.2	2672.4	1311.9	-1.0259	35548	2.3378e+08	1.5583	0.059581	0.94042	0.11916	0.42746	False
APOC1_CRISPRi_sgRNA_2	APOC1	2413.7/2676.2	1108.8/1394.3	2545	1251.5	-1.0234	34460	2.0749e+08	1.5528	0.060241	0.93976	0.12048	0.42746	False
