sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
MMP9_CRISPRa_sgRNA_4	MMP9	531.82/793.93	431.2/469.36	662.87	450.28	-0.55689	34351	1.9336e+06	0.91827	0.17924	0.82076	0.35848	0.66559	False
IL1R2_CRISPRa_sgRNA_4	IL1R2	638.18/813.4	501.66/548.12	725.79	524.89	-0.46678	15351	2.3664e+06	0.8777	0.19005	0.80995	0.38011	0.66559	False
EPHA1_CRISPRa_sgRNA_4	EPHA1	913.61/1182.5	685.79/893.4	1048	789.59	-0.40807	36148	5.3648e+06	0.86727	0.1929	0.8071	0.38579	0.66559	False
LRRK2_CRISPRa_sgRNA_4	LRRK2	835.23/796.59	575.87/664.65	815.91	620.26	-0.39497	746.87	3.0713e+06	0.84718	0.19845	0.80155	0.3969	0.66559	False
FCGR2A_CRISPRa_sgRNA_2	FCGR2A	999.82/949.71	801.34/718.6	974.76	759.97	-0.35869	1255.6	4.5648e+06	0.83808	0.20099	0.79901	0.40199	0.66559	False
CD40_CRISPRa_sgRNA_4	CD40	573.24/605.41	420.87/468.28	589.32	444.57	-0.40585	517.16	1.4879e+06	0.83555	0.2017	0.7983	0.40341	0.66559	False
CCR2_CRISPRa_sgRNA_5	CCR2	981.9/976.26	743.09/793.05	979.08	768.07	-0.34978	15.931	4.61e+06	0.83371	0.20222	0.79778	0.40444	0.66559	False
LPL_CRISPRa_sgRNA_5	LPL	998.7/1204.6	904.68/852.4	1101.7	878.54	-0.32617	21201	5.9955e+06	0.82797	0.20385	0.79615	0.40769	0.66559	False
CD44_CRISPRa_sgRNA_3	CD44	962.87/741.71	743.09/602.07	852.29	672.58	-0.34118	24456	3.3847e+06	0.82166	0.20563	0.79437	0.41127	0.66559	False
ICAM3_CRISPRa_sgRNA_5	ICAM3	876.66/800.13	685.79/649.55	838.39	667.67	-0.32806	2928.8	3.263e+06	0.8139	0.20785	0.79215	0.4157	0.66559	False
IL15_CRISPRa_sgRNA_1	IL15	1136.4/1014.3	886.83/857.79	1075.4	872.31	-0.3016	7453.3	5.6814e+06	0.81383	0.20787	0.79213	0.41574	0.66559	False
P2RY6_CRISPRa_sgRNA_5	P2RY6	999.82/903.68	775.97/767.16	951.75	771.57	-0.30244	4621.1	4.3282e+06	0.80747	0.2097	0.7903	0.4194	0.66559	False
MS4A4A_CRISPRa_sgRNA_4	MS4A4A	607.95/523.98	463.14/422.96	565.96	443.05	-0.35253	3526	1.3597e+06	0.80544	0.21028	0.78972	0.42057	0.66559	False
IL2RA_CRISPRa_sgRNA_5	IL2RA	813.96/820.48	683.91/636.6	817.22	660.25	-0.30729	21.264	3.0823e+06	0.80156	0.2114	0.7886	0.42281	0.66559	False
CLIC1_CRISPRa_sgRNA_5	CLIC1	838.59/998.39	744.03/753.13	918.49	748.58	-0.29475	12767	3.9985e+06	0.80144	0.21144	0.78856	0.42288	0.66559	False
Non_Targeting_92	Non	1043.5/902.8	864.28/732.63	973.14	798.45	-0.28511	9896.3	4.5479e+06	0.79959	0.21198	0.78802	0.42395	0.66559	False
LRRK2_CRISPRa_sgRNA_1	LRRK2	805.01/663.82	520.45/664.65	734.41	592.55	-0.30918	9966.4	2.4294e+06	0.79667	0.21282	0.78718	0.42565	0.66559	False
OLR1_CRISPRa_sgRNA_1	OLR1	726.63/857.66	630.36/660.34	792.14	645.35	-0.29527	8583.8	2.8755e+06	0.79348	0.21375	0.78625	0.4275	0.66559	False
CD86_CRISPRa_sgRNA_4	CD86	719.91/690.37	588.09/554.6	705.14	571.34	-0.30309	436.3	2.219e+06	0.79118	0.21442	0.78558	0.42884	0.66559	False
