id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
IRF8	5	0.0004347	0.0011704	0.242268	1	2	-0.13854	0.42814	0.42787	0.922605	96	0	-0.13854
P2RY6	5	0.0022104	0.0050152	0.519072	2	2	-0.012547	0.5586	0.55809	0.972722	118	0	-0.012547
VCP	5	0.011013	0.020554	0.935567	3	1	-0.1369	0.99225	0.99163	0.999995	203	0	-0.1369
LYZ	5	0.011387	0.021291	0.935567	4	2	-0.0056408	0.73025	0.72883	0.989998	151	0	-0.0056408
GPNMB	5	0.014946	0.027287	0.935567	5	2	-0.040547	0.35381	0.35453	0.917358	80	0	-0.040547
TARDBP	5	0.015391	0.028054	0.935567	6	1	0.10937	0.1159	0.11825	0.895485	27	1	0.10937
VLDLR	5	0.019754	0.035365	0.935567	7	1	0.096808	0.079222	0.083943	0.858548	20	1	0.096808
CTSB	5	0.021098	0.037746	0.935567	8	2	-0.20449	1.0	1.0	0.999995	207	0	-0.20449
CD300LB	5	0.024101	0.041501	0.935567	9	1	-0.031251	0.095671	0.099542	0.858548	24	1	-0.031251
CTLA4	5	0.028432	0.045196	0.935567	10	1	-0.022284	0.80544	0.80417	0.989998	167	0	-0.022284
FCGR1A	5	0.037049	0.052169	0.95174	11	1	-0.0043303	0.76409	0.76289	0.989998	159	0	-0.0043303
LRP1	5	0.041335	0.055605	0.95174	12	1	-0.032549	0.015391	0.027965	0.858548	5	1	-0.032549
DPYD	5	0.04986	0.063026	0.95174	13	1	-0.048535	0.67861	0.67732	0.985646	143	0	-0.048535
LRP6	5	0.0541	0.066253	0.95174	14	1	0.068347	0.63146	0.63059	0.979419	134	0	0.068347
Non	100	0.057687	0.20758	0.982592	15	9	-5.0009e-05	0.5922	0.80608	0.989998	125	3	-5.0009e-05
LILRA5	5	0.058324	0.069759	0.95174	16	1	0.04345	0.41096	0.41134	0.922605	91	0	0.04345
LAPTM5	5	0.062534	0.073564	0.95174	17	1	-0.12529	0.93917	0.9386	0.996472	191	0	-0.12529
TGFBR3	5	0.083356	0.091992	0.982592	18	1	-0.16138	0.99949	0.99943	0.999995	206	0	-0.16138
FCGR3B	5	0.087476	0.095538	0.982592	19	1	-0.017675	0.31875	0.31931	0.915054	72	0	-0.017675
LDLR	5	0.091581	0.099512	0.982592	20	1	-0.15046	0.99773	0.9975	0.999995	205	0	-0.15046
C3AR1	5	0.095671	0.10312	0.982592	21	1	-0.0061711	0.27195	0.27273	0.910559	62	0	-0.0061711
CSF2RB	5	0.099746	0.10655	0.982592	22	1	0.032058	0.62946	0.62859	0.979419	133	0	0.032058
CR1	5	0.10381	0.11031	0.982592	23	1	-0.15806	0.11188	0.11454	0.895485	26	1	-0.15806
CLIC1	5	0.10785	0.11415	0.982592	24	1	-0.018966	0.31222	0.31273	0.915054	70	0	-0.018966
ITGA5	5	0.1159	0.12132	0.982592	25	1	-0.052421	0.89964	0.89939	0.994204	187	0	-0.052421
UNC13D	5	0.1199	0.12533	0.982592	26	1	0.055102	0.10381	0.10691	0.885237	25	1	0.055102
LDLRAD3	5	0.12389	0.12874	0.982592	27	1	-0.11181	0.44768	0.4474	0.935468	99	0	-0.11181
C1QA	5	0.13577	0.13948	0.982592	28	1	-0.12008	0.94057	0.93985	0.996472	192	0	-0.12008
PTPRE	5	0.1397	0.14341	0.982592	29	1	-0.13557	0.98801	0.9873	0.999995	202	0	-0.13557
TMEM106A	5	0.14361	0.14722	0.982592	30	1	-0.033551	0.77098	0.7696	0.989998	160	0	-0.033551
CD180	5	0.14752	0.15098	0.982592	31	1	0.12172	0.45588	0.45519	0.941477	100	0	0.12172
TREM1	5	0.1514	0.15479	0.982592	32	1	0.0023975	0.95397	0.95339	0.996472	196	0	0.0023975
APP	5	0.15913	0.16221	0.982592	33	1	-0.046443	0.041335	0.050167	0.858548	11	1	-0.046443
RYR1	5	0.17063	0.1732	0.982592	34	1	-0.1307	0.36926	0.3693	0.922605	82	0	-0.1307
FLT1	5	0.17443	0.17701	0.982592	35	1	-0.070585	0.50814	0.50775	0.964258	109	0	-0.070585
TGFBR2	5	0.17822	0.18061	0.982592	36	1	-0.12554	0.070908	0.076214	0.858548	18	1	-0.12554
IRF5	5	0.18199	0.18391	0.982592	37	1	-0.017628	0.53511	0.53438	0.966087	114	0	-0.017628
TLR4	5	0.1895	0.19089	0.982592	38	1	-0.047817	0.18199	0.18296	0.895485	41	1	-0.047817
IL10	5	0.20066	0.20212	0.982592	39	1	-0.028527	0.2476	0.24846	0.910559	55	0	-0.028527
IL23A	5	0.20435	0.20555	0.982592	40	1	0.04608	0.045605	0.053942	0.858548	12	1	0.04608
CSF3R	5	0.20803	0.20955	0.982592	41	1	0.021937	0.88863	0.88811	0.99239	185	0	0.021937
NLRP3	5	0.2117	0.21303	0.982592	42	1	-0.17142	0.61111	0.60998	0.977883	130	0	-0.17142
RPL7	5	0.21535	0.21637	0.982592	43	1	0.056046	0.322	0.3227	0.915054	73	0	0.056046
FCGR2B	5	0.22622	0.22802	0.982592	44	1	-0.024195	0.73792	0.73722	0.989998	152	0	-0.024195
ITGAX	5	0.2334	0.23475	0.982592	45	0	-0.080017	0.64518	0.6443	0.979419	137	0	-0.080017
LYVE1	5	0.24407	0.24499	0.982592	46	0	0.078229	0.57892	0.57835	0.972722	122	0	0.078229
CD40	5	0.2476	0.24846	0.982592	47	0	-0.064714	0.99405	0.99345	0.999995	204	0	-0.064714
SLC16A5	5	0.25112	0.25194	0.982592	48	0	-0.071261	0.53271	0.5322	0.966087	113	0	-0.071261
CD68	5	0.25812	0.25895	0.982592	49	0	-0.15298	0.29231	0.29324	0.915054	66	0	-0.15298
NFATC2	5	0.26506	0.26604	0.982592	50	0	-0.0443	0.91724	0.91633	0.996472	190	0	-0.0443
PLEK	5	0.26851	0.26949	0.982592	51	0	0.09159	0.54932	0.54845	0.972722	116	0	0.09159
SUCNR1	5	0.27538	0.27587	0.982592	52	0	-0.049732	0.90379	0.90295	0.994204	188	0	-0.049732
IL1R1	5	0.27879	0.27933	0.982592	53	0	-0.072019	0.19323	0.19414	0.895485	44	0	-0.072019
C1QC	5	0.28219	0.28301	0.982592	54	0	-0.024807	0.57447	0.57379	0.972722	121	0	-0.024807
MMP9	5	0.28558	0.28654	0.982592	55	0	-0.079658	0.716	0.71417	0.989998	149	0	-0.079658
