sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
IL6R_CRISPRi_sgRNA_2	IL6R	1068.1/1328.5	2492.7/1853	1198.3	2172.9	0.85808	33912	75882	3.5379	0.9998	0.00020167	0.00040333	0.45577	True
IL15_CRISPRi_sgRNA_5	IL15	1336.3/1220.7	1662.7/2074.3	1278.5	1868.5	0.54706	6679.7	84030	2.0353	0.97909	0.02091	0.041821	0.99987	True
IL21R_CRISPRi_sgRNA_4	IL21R	758.77/864.93	1287.7/881.94	811.85	1084.8	0.41774	5635.3	41137	1.3459	0.91083	0.089167	0.17833	0.99987	True
LRP1_CRISPRi_sgRNA_2	LRP1	582.36/657.24	883.95/786.51	619.8	835.23	0.42977	2803.2	26923	1.3129	0.90539	0.09461	0.18922	0.99987	True
LRRK2_CRISPRi_sgRNA_1	LRRK2	767.22/956.07	1272.4/998.35	861.64	1135.4	0.39762	17831	45171	1.288	0.90112	0.098877	0.19775	0.99987	True
P2RY6_CRISPRi_sgRNA_1	P2RY6	1261.4/1423.1	963.99/1030.9	1342.3	997.42	-0.42802	13083	90721	1.1449	0.12612	0.87388	0.25224	0.99987	False
ABCA7_CRISPRi_sgRNA_2	ABCA7	1062/1041.9	1219.4/1432.5	1052	1325.9	0.33361	201.71	61825	1.1018	0.86472	0.13528	0.27057	0.99987	True
C1QB_CRISPRi_sgRNA_2	C1QB	780.51/871.94	1102.5/968.99	826.23	1035.7	0.32568	4179.3	42287	1.0188	0.84584	0.15416	0.30832	0.99987	True
IRF8_CRISPRi_sgRNA_2	IRF8	645.19/745.75	546.74/492.88	695.47	519.81	-0.4193	5055.8	32260	0.97818	0.16399	0.83601	0.32798	0.99987	False
VCP_CRISPRi_sgRNA_2	VCP	494.16/515.28	376.78/362.85	504.72	369.81	-0.44765	222.86	19507	0.96641	0.16692	0.83308	0.33384	0.99987	False
ABCA1_CRISPRi_sgRNA_2	ABCA1	601.7/647.6	803.92/758.2	624.65	781.06	0.32193	1053.6	27255	0.94744	0.82828	0.17172	0.34344	0.99987	True
NPC2_CRISPRi_sgRNA_4	NPC2	517.12/511.77	637.56/657.53	514.45	647.54	0.33138	14.308	20100	0.9388	0.82606	0.17394	0.34788	0.99987	True
APP_CRISPRi_sgRNA_4	APP	631.9/574.87	742.77/764.49	603.38	753.63	0.32031	1626.5	25813	0.93518	0.82514	0.17486	0.34973	0.99987	True
IL23A_CRISPRi_sgRNA_2	IL23A	617.4/610.8	871.36/660.67	614.1	766.02	0.31844	21.832	26536	0.9326	0.82447	0.17553	0.35105	0.99987	True
IFNGR2_CRISPRi_sgRNA_2	IFNGR2	587.2/744	819.21/820.07	665.6	819.64	0.29994	12293	30111	0.88773	0.81264	0.18736	0.37471	0.99987	True
SCARB1_CRISPRi_sgRNA_4	SCARB1	492.96/514.4	645.66/606.14	503.68	625.9	0.31287	229.92	19444	0.87649	0.80959	0.19041	0.38082	0.99987	True
TARDBP_CRISPRi_sgRNA_3	TARDBP	714.06/722.96	587.2/531.68	718.51	559.44	-0.36045	39.632	33955	0.86339	0.19396	0.80604	0.38792	0.99987	False
SIGLEC5_CRISPRi_sgRNA_5	SIGLEC5	636.73/583.63	701.41/798.05	610.18	749.73	0.29669	1410.1	26270	0.86096	0.80536	0.19464	0.38929	0.99987	True
SPI1_CRISPRi_sgRNA_5	SPI1	325.01/368.05	497.28/373.33	346.53	435.31	0.32819	926.3	10825	0.85322	0.80315	0.19685	0.39371	0.99987	True
TGFBI_CRISPRi_sgRNA_3	TGFBI	727.35/634.46	845.29/816.93	680.9	831.11	0.2872	4314.8	31206	0.85028	0.8024	0.1976	0.39519	0.99987	True
TGFBR2_CRISPRi_sgRNA_5	TGFBR2	784.14/751.01	897.44/964.79	767.57	931.12	0.27833	548.86	37667	0.84266	0.80028	0.19972	0.39943	0.99987	True
VLDLR_CRISPRi_sgRNA_2	VLDLR	807.09/720.34	595.3/607.19	763.72	601.24	-0.34458	3763.6	37370	0.84057	0.20029	0.79971	0.40059	0.99987	False
CLN3_CRISPRi_sgRNA_5	CLN3	701.98/666.88	874.06/788.61	684.43	831.34	0.28016	615.98	31460	0.82826	0.79623	0.20377	0.40755	0.99987	True
VLDLR_CRISPRi_sgRNA_4	VLDLR	775.68/789.56	1029.6/859.92	782.62	944.78	0.27134	96.382	38834	0.82285	0.7947	0.2053	0.41061	0.99987	True
SIGLEC9_CRISPRi_sgRNA_4	SIGLEC9	693.52/658.99	765.25/874.6	676.26	819.93	0.27755	596.11	30872	0.81769	0.79322	0.20678	0.41356	0.99987	True
SELPLG_CRISPRi_sgRNA_3	SELPLG	784.14/878.07	1047.6/950.11	831.11	998.86	0.26496	4411.9	42681	0.81202	0.7916	0.2084	0.41679	0.99987	True
SQSTM1_CRISPRi_sgRNA_5	SQSTM1	485.71/504.76	646.55/567.34	495.23	606.95	0.29292	181.53	18936	0.81183	0.79152	0.20848	0.41696	0.99987	True
CD300LB_CRISPRi_sgRNA_4	CD300LB	749.1/779.93	974.78/868.31	764.51	921.54	0.26919	475.1	37431	0.81165	0.7915	0.2085	0.41701	0.99987	True
IL2RA_CRISPRi_sgRNA_1	IL2RA	639.15/595.9	783.24/713.11	617.52	748.17	0.27647	935.43	26768	0.79853	0.7877	0.2123	0.4246	0.99987	True
CD300LB_CRISPRi_sgRNA_1	CD300LB	855.42/912.25	748.17/673.26	883.84	710.71	-0.31412	1614.6	47013	0.79851	0.21229	0.78771	0.42457	0.99987	False
CTLA4_CRISPRi_sgRNA_1	CTLA4	730.98/636.21	498.18/587.26	683.59	542.72	-0.33238	4490.5	31399	0.79514	0.21327	0.78673	0.42653	0.99987	False
UNC13D_CRISPRi_sgRNA_5	UNC13D	476.04/531.93	659.14/570.48	503.98	614.81	0.28626	1561.6	19463	0.79444	0.7865	0.2135	0.42701	0.99987	True
Non_Targeting_17	Non	642.78/674.77	767.95/820.07	658.77	794.01	0.26901	511.7	29628	0.7857	0.78396	0.21604	0.43207	0.99987	True
CR1_CRISPRi_sgRNA_1	CR1	826.43/810.6	1030.5/925.99	818.51	978.26	0.25693	125.29	41668	0.78259	0.78306	0.21694	0.43388	0.99987	True
TARDBP_CRISPRi_sgRNA_2	TARDBP	530.41/539.81	689.72/609.29	535.11	649.5	0.27902	44.202	21380	0.78231	0.78296	0.21704	0.43409	0.99987	True
IRF8_CRISPRi_sgRNA_3	IRF8	1077.7/1348.7	1010.7/980.52	1213.2	995.63	-0.28487	36699	77374	0.78217	0.21706	0.78294	0.43412	0.99987	False
NFATC1_CRISPRi_sgRNA_1	NFATC1	775.68/741.37	979.27/837.9	758.52	908.59	0.26012	588.72	36972	0.78044	0.78242	0.21758	0.43515	0.99987	True
CD300A_CRISPRi_sgRNA_5	CD300A	471.21/531.05	655.55/563.14	501.13	609.35	0.28157	1790.5	19290	0.77916	0.78202	0.21798	0.43595	0.99987	True
Non_Targeting_20	Non	737.02/791.32	962.19/867.26	764.17	914.73	0.25914	1474.2	37405	0.77847	0.78184	0.21816	0.43631	0.99987	True
ACTB_CRISPRi_sgRNA_2	ACTB	459.13/503.01	595.3/575.73	481.07	585.51	0.28293	962.83	18093	0.77649	0.78123	0.21877	0.43754	0.99987	True
FCGR1A_CRISPRi_sgRNA_5	FCGR1A	848.17/722.96	563.82/700.52	785.57	632.17	-0.31297	7838.8	39064	0.77621	0.21881	0.78119	0.43762	0.99987	False
LRP1_CRISPRi_sgRNA_5	LRP1	926.71/940.29	825.5/691.08	933.5	758.29	-0.29954	92.247	51233	0.77411	0.21943	0.78057	0.43886	0.99987	False
LSR_CRISPRi_sgRNA_2	LSR	601.7/733.48	785.04/810.63	667.59	797.84	0.25678	8683.5	30253	0.74883	0.77301	0.22699	0.45398	0.99987	True
LYZ_CRISPRi_sgRNA_3	LYZ	849.38/828.12	629.47/737.23	838.75	683.35	-0.29524	225.99	43299	0.74691	0.22756	0.77244	0.45512	0.99987	False
DPYD_CRISPRi_sgRNA_4	DPYD	1085/757.14	727.49/781.27	921.06	754.38	-0.28767	53741	50164	0.74427	0.22836	0.77164	0.45671	0.99987	False
LRP6_CRISPRi_sgRNA_4	LRP6	743.06/694.05	586.31/576.78	718.55	581.54	-0.30474	1201.1	33958	0.74363	0.22855	0.77145	0.4571	0.99987	False
P2RY12_CRISPRi_sgRNA_3	P2RY12	819.18/895.6	1072.8/955.35	857.39	1014.1	0.24188	2920.2	44821	0.7401	0.77037	0.22963	0.45925	0.99987	True
LILRA5_CRISPRi_sgRNA_5	LILRA5	767.22/779.93	649.25/610.33	773.57	629.79	-0.29624	80.67	38131	0.73641	0.23074	0.76926	0.46148	0.99987	False
LAPTM5_CRISPRi_sgRNA_2	LAPTM5	912.21/701.06	607.89/711.01	806.63	659.45	-0.29026	22293	40722	0.72945	0.23286	0.76714	0.46572	0.99987	False
Non_Targeting_89	Non	672.98/715.95	820.11/829.51	694.47	824.81	0.24782	923.3	32187	0.72651	0.76622	0.23378	0.46755	0.99987	True
GPNMB_CRISPRi_sgRNA_3	GPNMB	672.98/732.6	552.13/591.46	702.79	571.8	-0.29713	1777.4	32795	0.72349	0.23469	0.76531	0.46938	0.99987	False
Non_Targeting_87	Non	535.24/566.1	443.33/442.55	550.67	442.94	-0.31346	476.14	22364	0.72073	0.23554	0.76446	0.47108	0.99987	False
P2RY6_CRISPRi_sgRNA_5	P2RY6	810.72/893.85	696.91/704.72	852.28	700.81	-0.28194	3455.1	44402	0.71889	0.23611	0.76389	0.47221	0.99987	False
IL2RA_CRISPRi_sgRNA_4	IL2RA	544.91/492.49	632.17/610.33	518.7	621.25	0.25981	1373.8	20361	0.71868	0.7638	0.2362	0.47241	0.99987	True
Non_Targeting_96	Non	421.67/421.51	334.52/334.53	421.59	334.52	-0.33284	0.012894	14713	0.71841	0.23625	0.76375	0.4725	0.99987	False
ICAM1_CRISPRi_sgRNA_1	ICAM1	739.43/838.64	850.68/1012	789.04	931.33	0.23892	4920.8	39335	0.71747	0.76345	0.23655	0.4731	0.99987	True
TGFBR3_CRISPRi_sgRNA_2	TGFBR3	815.55/1002.5	669.04/831.61	909.03	750.32	-0.27649	17477	49137	0.71603	0.23699	0.76301	0.47397	0.99987	False
LPAR2_CRISPRi_sgRNA_2	LPAR2	480.87/349.65	429.84/571.53	415.26	500.69	0.26929	8609.6	14369	0.71262	0.7619	0.2381	0.47621	0.99987	True
FCGR3B_CRISPRi_sgRNA_3	FCGR3B	872.34/987.61	753.56/785.47	929.98	769.51	-0.27292	6644.1	50929	0.71108	0.23852	0.76148	0.47704	0.99987	False
LDLR_CRISPRi_sgRNA_1	LDLR	778.1/742.24	571.92/675.35	760.17	623.64	-0.28521	642.75	37098	0.70897	0.23917	0.76083	0.47834	0.99987	False
FCGR3A_CRISPRi_sgRNA_4	FCGR3A	505.04/590.64	607.89/698.42	547.84	653.16	0.25325	3663.8	22183	0.7071	0.76022	0.23978	0.47956	0.99987	True
P2RY13_CRISPRi_sgRNA_4	P2RY13	612.57/590.64	743.67/685.84	601.61	714.76	0.24826	240.47	25693	0.70591	0.75986	0.24014	0.48029	0.99987	True
C3AR1_CRISPRi_sgRNA_2	C3AR1	949.67/923.64	800.32/754	936.65	777.16	-0.26898	338.61	51505	0.7028	0.24109	0.75891	0.48218	0.99987	False
GPR87_CRISPRi_sgRNA_1	GPR87	618.61/583.63	714/712.06	601.12	713.03	0.24593	611.87	25661	0.69859	0.75757	0.24243	0.48485	0.99987	True
C9orf72_CRISPRi_sgRNA_1	C9orf72	643.98/630.07	701.41/806.44	637.03	753.92	0.24271	96.742	28107	0.69724	0.75716	0.24284	0.48569	0.99987	True
CSF2RB_CRISPRi_sgRNA_4	CSF2RB	712.85/739.61	605.19/589.36	726.23	597.28	-0.28161	358.09	34530	0.6941	0.24381	0.75619	0.48762	0.99987	False
CR1_CRISPRi_sgRNA_3	CR1	657.27/702.81	589.9/525.39	680.04	557.65	-0.28581	1036.7	31144	0.69369	0.24394	0.75606	0.48787	0.99987	False
CLIC1_CRISPRi_sgRNA_3	CLIC1	314.14/270.78	227.51/231.76	292.46	229.63	-0.34756	939.86	8303.3	0.69108	0.24476	0.75524	0.48952	0.99987	False
GRN_CRISPRi_sgRNA_4	GRN	791.39/669.51	865.07/853.63	730.45	859.35	0.23417	7427.2	34845	0.69054	0.75506	0.24494	0.48988	0.99987	True
CD19_CRISPRi_sgRNA_3	CD19	606.53/677.4	801.22/713.11	641.96	757.17	0.23778	2511	28450	0.683	0.75268	0.24732	0.49464	0.99987	True
TLR4_CRISPRi_sgRNA_2	TLR4	786.55/701.06	958.59/787.56	743.81	873.08	0.2309	3655	35851	0.68273	0.7526	0.2474	0.4948	0.99987	True
Non_Targeting_95	Non	726.14/747.5	598.89/618.72	736.82	608.81	-0.27492	228.08	35324	0.68122	0.24787	0.75213	0.49573	0.99987	False
ITGA5_CRISPRi_sgRNA_1	ITGA5	453.08/412.75	339.91/357.6	432.92	348.76	-0.31106	813.56	15337	0.68011	0.24822	0.75178	0.49643	0.99987	False
UNC13D_CRISPRi_sgRNA_1	UNC13D	614.99/677.4	522.46/540.07	646.19	531.27	-0.28204	1947.4	28744	0.67802	0.24888	0.75112	0.49776	0.99987	False
CR2_CRISPRi_sgRNA_4	CR2	844.55/852.66	1089/892.43	848.6	990.71	0.22312	32.887	44101	0.67666	0.75068	0.24932	0.49863	0.99987	True
ADGRG1_CRISPRi_sgRNA_1	ADGRG1	868.71/741.37	989.17/893.48	805.04	941.32	0.22537	8108.6	40596	0.67639	0.7506	0.2494	0.49881	0.99987	True
LDLRAD3_CRISPRi_sgRNA_2	LDLRAD3	628.28/687.91	536.85/548.46	658.09	542.65	-0.27779	1778.1	29580	0.67136	0.251	0.749	0.50199	0.99987	False
Non_Targeting_81	Non	895.3/1000.8	743.67/845.24	948.03	794.46	-0.25467	5561.2	52492	0.67033	0.25132	0.74868	0.50265	0.99987	False
Non_Targeting_11	Non	860.26/765.03	714/640.75	812.64	677.37	-0.26232	4534.3	41200	0.6665	0.25255	0.74745	0.50509	0.99987	False
IL1R1_CRISPRi_sgRNA_5	IL1R1	651.23/778.17	842.59/828.46	714.7	835.53	0.22505	8056.8	33672	0.65843	0.74486	0.25514	0.51029	0.99987	True
