sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
Non_Targeting_53	Non	2095/2226	826.32/1206.4	2160.5	1016.3	-1.0872	8576.6	3.0088e+05	2.0868	0.018454	0.98155	0.036908	0.99987	False
TGFBR2_CRISPRa_sgRNA_1	TGFBR2	1442.4/1235	1932.1/2259.6	1338.7	2095.8	0.6463	21500	1.3747e+05	2.0421	0.97942	0.020575	0.04115	0.99987	True
Non_Targeting_5	Non	1064.7/989	1635.6/1634.4	1026.9	1635	0.67052	2868.9	89100	2.0373	0.97919	0.020814	0.041627	0.99987	True
Non_Targeting_96	Non	600.52/409.04	656.05/814.7	504.78	735.37	0.54192	18334	27948	1.3793	0.916	0.084002	0.168	0.99987	True
SPI1_CRISPRa_sgRNA_2	SPI1	825.82/692.6	1041.7/1077.1	759.21	1059.4	0.48009	8874.5	54399	1.2869	0.90088	0.099121	0.19824	0.99987	True
MS4A4A_CRISPRa_sgRNA_1	MS4A4A	1817.6/1873.3	1479.4/974.12	1845.4	1226.7	-0.58874	1549.1	2.3245e+05	1.2836	0.099642	0.90036	0.19928	0.99987	False
FCGR2C_CRISPRa_sgRNA_3	FCGR2C	923.64/850.68	1049.7/1384.6	887.16	1217.1	0.4558	2661.5	70158	1.2458	0.89354	0.10646	0.21292	0.99987	True
Non_Targeting_94	Non	1221.9/847.71	786.25/548.57	1034.8	667.41	-0.63194	70006	90228	1.2244	0.11039	0.88961	0.22079	0.99987	False
Non_Targeting_6	Non	732.82/707.42	1055.7/928.93	720.12	992.31	0.46201	322.57	49900	1.2185	0.88841	0.11159	0.22318	0.99987	True
FCGR2C_CRISPRa_sgRNA_4	FCGR2C	586.89/628.38	679.08/1004.3	607.63	841.67	0.46939	860.34	37819	1.2034	0.88549	0.11451	0.22901	0.99987	True
CD48_CRISPRa_sgRNA_3	CD48	725.6/623.44	932.49/916.38	674.52	924.43	0.45414	5218.8	44846	1.1801	0.88094	0.11906	0.23812	0.99987	True
CD80_CRISPRa_sgRNA_4	CD80	919.63/739.03	1172.9/1073.3	829.33	1123.1	0.43699	16307	62843	1.1718	0.8793	0.1207	0.24139	0.99987	True
CLEC2B_CRISPRa_sgRNA_2	CLEC2B	1208.3/754.84	1541.5/1094.6	981.55	1318	0.42489	1.028e+05	82763	1.1697	0.87889	0.12111	0.24222	0.99987	True
Non_Targeting_41	Non	861.9/954.42	1420.3/1024.3	908.16	1222.3	0.42817	4279.8	72892	1.1635	0.87765	0.12235	0.2447	0.99987	True
SIGLEC9_CRISPRa_sgRNA_2	SIGLEC9	977.36/894.15	1174.9/1334.4	935.75	1254.6	0.42268	3461.5	76546	1.1526	0.87541	0.12459	0.24917	0.99987	True
GPR65_CRISPRa_sgRNA_1	GPR65	800.16/867.47	1016.6/1230.2	833.82	1123.4	0.42964	2265.3	63399	1.1501	0.8749	0.1251	0.2502	0.99987	True
PLAUR_CRISPRa_sgRNA_1	PLAUR	1068/1362.5	835.33/832.27	1215.2	833.8	-0.54289	43369	1.1734e+05	1.1142	0.13259	0.86741	0.26518	0.99987	False
SORL1_CRISPRa_sgRNA_2	SORL1	1263.6/1351.6	895.43/913.87	1307.6	904.65	-0.53099	3873.2	1.3228e+05	1.1085	0.13381	0.86619	0.26763	0.99987	False
NLRC4_CRISPRa_sgRNA_4	NLRC4	750.46/854.63	1159.9/971.61	802.54	1065.7	0.40875	5426.2	59561	1.0784	0.85951	0.14049	0.28099	0.99987	True
C9orf72_CRISPRa_sgRNA_5	C9orf72	1355.8/1175.7	857.37/911.36	1265.8	884.36	-0.5168	16210	1.2543e+05	1.0776	0.14061	0.85939	0.28122	0.99987	False
ICAM1_CRISPRa_sgRNA_2	ICAM1	1242.7/1661.8	1164.9/886.25	1452.3	1025.6	-0.50151	87820	1.5706e+05	1.0773	0.14068	0.85932	0.28136	0.99987	False
CD81_CRISPRa_sgRNA_5	CD81	834.64/736.07	937.5/1147.4	785.35	1042.4	0.40808	4858.2	57492	1.0721	0.8581	0.1419	0.28381	0.99987	True
PILRB_CRISPRa_sgRNA_4	PILRB	1472/1549.2	1148.8/1003	1510.6	1075.9	-0.4892	2976.5	1.6751e+05	1.0626	0.14399	0.85601	0.28798	0.99987	False
Non_Targeting_32	Non	546.81/657.03	776.24/836.04	601.92	806.14	0.42086	6074.4	37240	1.0583	0.8549	0.1451	0.2902	0.99987	True
HLA-DRB5_CRISPRa_sgRNA_3	HLA-DRB5	1494.5/1377.3	1084.7/957.81	1435.9	1021.3	-0.49118	6868.8	1.5417e+05	1.0565	0.14538	0.85462	0.29075	0.99987	False
NLRP3_CRISPRa_sgRNA_3	NLRP3	752.06/839.81	1053.7/1049.4	795.93	1051.6	0.40137	3850.2	58762	1.0545	0.85411	0.14589	0.29179	0.99987	True
IRF8_CRISPRa_sgRNA_5	IRF8	618.97/501.91	737.18/763.23	560.44	750.2	0.42008	6850.9	33146	1.0423	0.85122	0.14878	0.29757	0.99987	True
