id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD37	5	0.0021071	0.0048132	0.363667	1	2	-0.33469	0.94523	0.94481	0.992545	194	0	-0.33469
LSR	5	0.0022302	0.0050626	0.363667	2	1	0.016153	0.51649	0.51596	0.954949	109	0	0.016153
FCER1G	5	0.002366	0.005322	0.363667	3	2	-0.064329	0.88595	0.88552	0.992545	181	0	-0.064329
LYVE1	5	0.0066785	0.012784	0.655164	4	2	-0.34989	0.69282	0.6913	0.990229	139	0	-0.34989
CD300LF	5	0.010479	0.019497	0.704329	5	2	-0.061701	0.87451	0.8741	0.992545	177	0	-0.061701
TLR2	5	0.011111	0.020614	0.704329	6	1	-0.11783	0.99576	0.99532	0.998888	203	0	-0.11783
IL6R	5	0.015528	0.028216	0.737347	7	1	-0.097754	0.53854	0.53787	0.954949	115	0	-0.097754
FPR2	5	0.01585	0.028775	0.737347	8	2	-0.3027	0.99903	0.99889	0.998888	205	0	-0.3027
CD48	5	0.022211	0.039508	0.835123	9	2	-0.16683	0.37811	0.3784	0.954949	77	0	-0.16683
IL1R2	5	0.024314	0.041643	0.835123	10	1	-0.23478	0.52146	0.52048	0.954949	110	0	-0.23478
LDLR	5	0.028683	0.045374	0.835123	11	1	-0.1126	0.7731	0.77179	0.992545	156	0	-0.1126
FCGR3A	5	0.033037	0.048885	0.835123	12	1	-0.11411	0.982	0.9813	0.998888	199	0	-0.11411
NLRC4	5	0.041697	0.055898	0.881469	13	1	0.17975	0.019984	0.035777	0.814928	9	2	0.17975
ILDR1	5	0.050296	0.06342	0.899604	14	1	-0.094687	0.82037	0.81878	0.992545	163	0	-0.094687
VENTX	5	0.054572	0.066482	0.899604	15	1	-0.009065	0.71961	0.71783	0.990229	147	0	-0.009065
CLIC1	5	0.058832	0.070213	0.899604	16	1	-0.11069	0.90361	0.90277	0.992545	185	0	-0.11069
Non	100	0.059949	0.2137	0.94992	17	8	-0.004534	0.2084	0.48709	0.954949	44	5	-0.004534
ADAM10	5	0.067307	0.077555	0.935222	18	1	-0.048359	0.83353	0.83261	0.992545	168	0	-0.048359
PILRA	5	0.084075	0.092618	0.94992	19	1	-0.030934	0.72601	0.72455	0.990229	149	0	-0.030934
P2RY6	5	0.088228	0.096209	0.94992	20	1	0.052851	0.067307	0.079251	0.932867	17	1	0.052851
TYROBP	5	0.092367	0.10016	0.94992	21	1	0.047477	0.088228	0.097696	0.932867	21	1	0.047477
CD180	5	0.10469	0.11115	0.94992	22	1	0.03447	0.81232	0.81078	0.992545	162	0	0.03447
MS4A4A	5	0.10877	0.11507	0.94992	23	1	-0.066042	0.37198	0.37182	0.954949	75	0	-0.066042
CLEC2B	5	0.11689	0.12215	0.94992	24	1	-0.10382	0.15657	0.16069	0.954949	34	1	-0.10382
VLDLR	5	0.12092	0.1264	0.94992	25	1	0.14778	0.61471	0.6137	0.974304	129	0	0.14778
MS4A6A	5	0.12494	0.1297	0.94992	26	1	0.1049	0.4051	0.40545	0.954949	85	0	0.1049
EPHA1	5	0.12894	0.13344	0.94992	27	1	-0.0064937	0.58245	0.58192	0.972449	121	0	-0.0064937
CD300A	5	0.13691	0.14073	0.94992	28	1	0.016303	0.77446	0.77324	0.992545	157	0	0.016303
FCGR2B	5	0.14087	0.14458	0.94992	29	1	-0.13591	0.87952	0.87905	0.992545	179	0	-0.13591
CD68	5	0.14482	0.14841	0.94992	30	1	0.13211	0.58907	0.5882	0.972449	122	0	0.13211
CD58	5	0.14875	0.15226	0.94992	31	1	-0.11929	0.44523	0.44461	0.954949	94	0	-0.11929
FERMT3	5	0.15267	0.15609	0.94992	32	1	-0.084741	0.44801	0.44773	0.954949	95	0	-0.084741
LRP1	5	0.16046	0.1636	0.94992	33	1	-0.31373	0.98454	0.9838	0.998888	200	0	-0.31373
TMEM106A	5	0.16433	0.16735	0.94992	34	1	-0.10379	0.96917	0.96883	0.998888	197	0	-0.10379
CD40	5	0.17587	0.17841	0.94992	35	1	-0.098083	0.94781	0.94728	0.992545	195	0	-0.098083
P2RY12	5	0.18349	0.18522	0.94992	36	1	-0.12269	0.61885	0.61785	0.974304	130	0	-0.12269
HEXA	5	0.18728	0.18876	0.94992	37	1	0.096511	0.20972	0.2112	0.954949	45	1	0.096511
SIRPB1	5	0.19481	0.19639	0.94992	38	1	-0.18846	0.99879	0.99854	0.998888	204	0	-0.18846
TREML4	5	0.20229	0.20359	0.94992	39	1	-0.071171	0.74749	0.74707	0.992545	152	0	-0.071171
CSF3R	5	0.20601	0.20745	0.94992	40	1	0.14473	0.40804	0.4084	0.954949	86	0	0.14473
