sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
LSR_CRISPRi_sgRNA_3	LSR	9874.6/8188.1	904.98/2163.9	9031.4	1534.4	-2.5565	1.4222e+06	6.5337e+06	2.9731	0.0014738	0.99853	0.0029477	0.99948	False
VCP_CRISPRi_sgRNA_1	VCP	553.39/502.94	942.83/1097.5	528.17	1020.2	0.94844	1272.7	49563	2.21	0.98633	0.013672	0.027345	0.99948	True
CD226_CRISPRi_sgRNA_1	CD226	456.62/700.36	1165.7/894.17	578.49	1029.9	0.8311	29704	57936	1.8756	0.96939	0.030606	0.061211	0.99948	True
ABCA7_CRISPRi_sgRNA_1	ABCA7	973.37/995.31	1740.2/1601.1	984.34	1670.6	0.76256	240.62	1.4429e+05	1.8067	0.96442	0.035575	0.07115	0.99948	True
LYVE1_CRISPRi_sgRNA_3	LYVE1	1663.9/1935.4	843.58/932.91	1799.7	888.24	-1.0179	36842	4.0703e+05	1.4442	0.074346	0.92565	0.14869	0.99948	False
TMEM106B_CRISPRi_sgRNA_1	TMEM106B	1015.7/1213.9	1668.7/1716.2	1114.8	1692.5	0.60194	19647	1.7868e+05	1.3666	0.91377	0.08623	0.17246	0.99948	True
TLR2_CRISPRi_sgRNA_2	TLR2	1668.6/2568.8	1242.2/1120.1	2118.7	1181.2	-0.8424	4.0512e+05	5.3891e+05	1.2871	0.099029	0.90097	0.19806	0.99948	False
NPC2_CRISPRi_sgRNA_2	NPC2	923.58/874.27	1333.9/1336.4	898.92	1335.2	0.57022	1215.3	1.2346e+05	1.2415	0.89223	0.10777	0.21554	0.99948	True
Non_Targeting_88	Non	817.41/809.64	1257.4/1130.9	813.52	1194.1	0.55315	30.135	1.0401e+05	1.1802	0.88033	0.11967	0.23933	0.99948	True
SPI1_CRISPRi_sgRNA_4	SPI1	535.54/846.07	979.83/1061	690.81	1020.4	0.5621	48214	78556	1.1759	0.87936	0.12064	0.24128	0.99948	True
VDR_CRISPRi_sgRNA_2	VDR	1040.1/1351.4	1931.1/1500	1195.7	1715.5	0.5204	48449	2.0156e+05	1.1578	0.87605	0.12395	0.2479	0.99948	True
