id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD86	5	6.9451e-05	0.00026396	0.03866	1	5	-0.19607	0.99993	0.99991	0.999905	207	0	-0.19607
TGFBR3	5	9.5343e-05	0.00037352	0.03866	2	3	-0.15122	0.86904	0.86835	0.999905	176	0	-0.15122
LPL	5	0.000258	0.0011505	0.079381	3	4	-0.28946	0.36926	0.4212	0.999905	79	1	-0.28946
GRN	5	0.0011581	0.004039	0.209021	4	4	-0.28707	0.99611	0.99568	0.999905	203	0	-0.28707
P2RY13	5	0.0016357	0.0057224	0.23183	5	4	-0.18979	0.90173	0.90112	0.999905	181	0	-0.18979
SIRPA	5	0.0022104	0.0077743	0.23183	6	2	-0.12456	0.76961	0.76816	0.999905	147	0	-0.12456
GBA	5	0.0023934	0.0083122	0.23183	7	3	-0.23711	0.87418	0.87376	0.999905	177	0	-0.23711
IFNGR2	5	0.0026041	0.0089596	0.23183	8	4	-0.20738	0.99865	0.99843	0.999905	206	0	-0.20738
CLEC2D	5	0.003494	0.011798	0.271363	9	4	-0.2102	0.97256	0.97215	0.999905	196	0	-0.2102
LRP1B	5	0.009264	0.027397	0.518557	10	3	-0.19654	0.80183	0.80075	0.999905	154	0	-0.19654
FCGR2C	5	0.0093335	0.027556	0.518557	11	3	-0.20769	0.99825	0.998	0.999905	205	0	-0.20769
GPR141	5	0.017562	0.046043	0.794244	12	2	-0.060199	0.95797	0.95727	0.999905	192	0	-0.060199
CD58	5	0.020236	0.051641	0.814352	13	3	-0.16265	0.67861	0.67732	0.999905	130	0	-0.16265
TREM1	5	0.022896	0.057438	0.814352	14	3	-0.16324	0.47992	0.49879	0.999905	93	1	-0.16324
LILRA5	5	0.024101	0.060197	0.814352	15	1	-0.048692	0.83666	0.8359	0.999905	164	0	-0.048692
NRP2	5	0.032491	0.078375	0.814352	16	2	-0.072092	0.99352	0.99282	0.999905	201	0	-0.072092
IL10	5	0.032748	0.078804	0.814352	17	2	-0.10959	0.51561	0.5269	0.999905	101	1	-0.10959
LRP8	5	0.038014	0.089721	0.814352	18	3	-0.14298	0.69607	0.69432	0.999905	134	0	-0.14298
CD69	5	0.03897	0.091842	0.814352	19	2	-0.088512	0.9761	0.97572	0.999905	197	0	-0.088512
FCGR2A	5	0.041335	0.096583	0.814352	20	1	-0.042596	0.4196	0.45496	0.999905	85	1	-0.042596
TREM2	5	0.042893	0.099781	0.814352	21	2	-0.11282	0.12786	0.21129	0.976426	44	2	-0.11282
IFNGR1	5	0.043898	0.10177	0.814352	22	2	0.0013724	0.76824	0.76683	0.999905	146	0	0.0013724
CD1D	5	0.044913	0.10366	0.814352	23	2	-0.12035	0.96514	0.96456	0.999905	193	0	-0.12035
CLN3	5	0.045938	0.10575	0.814352	24	2	-0.12873	0.62139	0.62055	0.999905	120	1	-0.12873
LDLRAD3	5	0.046116	0.10608	0.814352	25	3	-0.13888	0.64711	0.64629	0.999905	124	0	-0.13888
IL2RA	5	0.049068	0.11226	0.814352	26	2	-0.094417	0.49802	0.51282	0.999905	96	1	-0.094417
SLC16A5	5	0.04986	0.11384	0.814352	27	1	0.0059174	0.21378	0.32339	0.999905	64	2	0.0059174
SYK	5	0.052283	0.11868	0.814352	28	2	-0.087638	0.58333	0.58478	0.999905	112	1	-0.087638
TLR7	5	0.0541	0.12198	0.814352	29	2	-0.069993	0.94149	0.94082	0.999905	188	0	-0.069993
CD300LB	5	0.05558	0.12405	0.814352	30	2	-0.10728	0.71922	0.71737	0.999905	138	0	-0.10728
CD40	5	0.058324	0.12756	0.814352	31	1	-0.040423	0.93125	0.93035	0.999905	186	0	-0.040423
LRP1	5	0.0601	0.12977	0.814352	32	2	-0.081086	0.99058	0.98973	0.999905	200	0	-0.081086
CD52	5	0.061252	0.13117	0.814352	33	2	0.0030776	0.045605	0.10343	0.789138	27	1	0.0030776
TLR5	5	0.06476	0.13583	0.814352	34	2	-0.066376	0.19995	0.30511	0.999905	62	2	-0.066376
PTPRC	5	0.066728	0.13799	0.814352	35	2	-0.077258	0.81822	0.81681	0.999905	159	0	-0.077258
ABCA7	5	0.070908	0.14321	0.814352	36	1	0.09943	0.18199	0.28105	0.999905	57	1	0.09943
APP	5	0.073237	0.1464	0.814352	37	2	-0.11497	0.66776	0.66677	0.999905	127	0	-0.11497
SELPLG	5	0.075732	0.14949	0.814352	38	2	0.038293	0.4929	0.50881	0.999905	95	1	0.038293
ILDR1	5	0.079222	0.15363	0.815411	39	1	-0.034522	0.73334	0.73217	0.999905	140	0	-0.034522
TARDBP	5	0.084709	0.16066	0.831418	40	2	0.036276	0.79569	0.79476	0.999905	152	0	0.036276
SPI1	5	0.096786	0.17631	0.858561	41	2	-0.023039	0.90647	0.90541	0.999905	183	0	-0.023039
