sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
AXL_CRISPRa_sgRNA_4	AXL	871.5/977.73	1315/1431.5	924.62	1373.2	0.57016	5641.9	14243	3.7592	0.99991	8.5225e-05	0.00017045	0.19261	True
PILRA_CRISPRa_sgRNA_4	PILRA	845.95/805.84	988.35/1291.3	825.9	1139.8	0.46431	804.27	12209	2.8413	0.99775	0.0022468	0.0044935	0.99892	True
FPR3_CRISPRa_sgRNA_1	FPR3	848.59/1132.4	1343.9/1321.5	990.51	1332.7	0.42774	40281	15646	2.7357	0.99689	0.0031125	0.006225	0.99892	True
CD300C_CRISPRa_sgRNA_3	CD300C	897.94/946.39	1291.3/1141.5	922.16	1216.4	0.39917	1173.5	14191	2.4701	0.99325	0.0067531	0.013506	0.99892	True
SIRPA_CRISPRa_sgRNA_5	SIRPA	839.78/986.83	705.96/541.11	913.31	623.53	-0.5499	10812	14005	2.4486	0.0071715	0.99283	0.014343	0.99892	False
NFATC1_CRISPRa_sgRNA_1	NFATC1	837.14/748.21	940.94/1158.7	792.67	1049.8	0.40493	3954	11544	2.3935	0.99166	0.0083433	0.016687	0.99892	True
Non_Targeting_96	Non	818.63/615.76	594.66/381.58	717.2	488.12	-0.5542	20579	10072	2.2826	0.011227	0.98877	0.022453	0.99892	False
AXL_CRISPRa_sgRNA_5	AXL	823.04/838.2	1083.2/1080.1	830.62	1081.6	0.38052	114.91	12304	2.2627	0.98817	0.011826	0.023652	0.99892	True
CSF1R_CRISPRa_sgRNA_1	CSF1R	871.5/1183	1300.6/1333.4	1027.2	1317	0.35816	48509	16444	2.2595	0.98807	0.011926	0.023853	0.99892	True
TGFBR3_CRISPRa_sgRNA_5	TGFBR3	763.12/660.25	584.35/404.21	711.68	494.28	-0.52501	5291.3	9966.3	2.1777	0.014716	0.98528	0.029431	0.99892	False
TGFBR3_CRISPRa_sgRNA_2	TGFBR3	779.86/715.86	578.17/487.21	747.86	532.69	-0.48869	2048.3	10663	2.0837	0.018593	0.98141	0.037187	0.99892	False
