id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SPI1	5	1.1762e-09	4.9803e-06	0.000515	1	5	-0.82646	1.0	1.0	0.999995	207	0	-0.82646
VCP	5	2.481e-08	4.9803e-06	0.000515	2	4	-0.73349	0.65474	0.65418	0.999995	127	0	-0.73349
CLIC1	5	4.873e-05	0.00011455	0.007904	3	2	-0.24506	0.93775	0.93721	0.999995	183	0	-0.24506
CLEC7A	5	0.00061403	0.0015987	0.082732	4	3	-0.38304	0.99999	1.0	0.999995	206	0	-0.38304
TNFRSF1A	5	0.00093427	0.0024155	0.1	5	3	-0.34455	0.99567	0.99521	0.999995	203	0	-0.34455
CD226	5	0.0020705	0.0047562	0.164089	6	2	-0.22764	0.78685	0.78617	0.999995	150	0	-0.22764
Non	100	0.0042742	0.027148	0.432276	7	12	-0.066932	0.91488	0.914	0.999995	176	0	-0.066932
APOC1	5	0.0068999	0.013223	0.391016	8	2	-0.135	0.91104	0.90996	0.999995	174	0	-0.135
CLEC2B	5	0.0082792	0.015344	0.397036	9	2	-0.26318	0.8227	0.82135	0.999995	158	0	-0.26318
FCGR1A	5	0.0103	0.019199	0.432276	10	2	-0.26154	0.90714	0.90599	0.999995	173	0	-0.26154
P2RY13	5	0.011387	0.021291	0.432276	11	2	-0.17447	0.97632	0.97591	0.999995	192	0	-0.17447
GPR141	5	0.013111	0.024229	0.432276	12	2	-0.16112	0.95969	0.95886	0.999995	189	0	-0.16112
NRP1	5	0.014323	0.026321	0.432276	13	2	0.04851	0.0541	0.053872	0.903952	12	1	0.04851
TLR7	5	0.0541	0.066253	0.96268	14	1	-0.1969	0.32524	0.32567	0.99795	66	0	-0.1969
LPAR2	5	0.058324	0.069759	0.96268	15	1	0.018176	0.46667	0.46593	0.999995	95	0	0.018176
FCGR2C	5	0.087476	0.095538	0.999109	16	1	-0.042507	0.94886	0.94841	0.999995	186	0	-0.042507
