sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
VCP_CRISPRi_sgRNA_5	VCP	813.33/766.6	354.77/362.46	789.96	358.62	-1.1372	1092	72377	1.6178	0.052855	0.94714	0.10571	0.99973	False
CLIC1_CRISPRi_sgRNA_3	CLIC1	211.39/674.18	175.34/187.94	442.79	181.64	-1.2809	1.0708e+05	27582	1.6045	0.054297	0.9457	0.10859	0.99973	False
CLIC1_CRISPRi_sgRNA_4	CLIC1	103.91/510.74	132.27/113.27	307.32	122.77	-1.3168	82757	15026	1.5517	0.060371	0.93963	0.12074	0.99973	False
VCP_CRISPRi_sgRNA_4	VCP	672.4/749.09	411.17/327.22	710.74	369.19	-0.94308	2940.3	60681	1.3984	0.080996	0.919	0.16199	0.99973	False
SPI1_CRISPRi_sgRNA_1	SPI1	711.81/703.36	346.57/401.05	707.59	373.81	-0.91878	35.711	60233	1.3715	0.085113	0.91489	0.17023	0.99973	False
SPI1_CRISPRi_sgRNA_5	SPI1	637.77/700.44	347.6/359.1	669.11	353.35	-0.91922	1964.3	54870	1.3602	0.086876	0.91312	0.17375	0.99973	False
CD226_CRISPRi_sgRNA_2	CD226	253.2/314.23	55.369/215.63	283.71	135.5	-1.0606	1862.4	13157	1.328	0.092083	0.90792	0.18417	0.99973	False
SPI1_CRISPRi_sgRNA_3	SPI1	641.35/679.04	306.58/437.13	660.2	371.86	-0.82646	710.37	53658	1.2555	0.10465	0.89535	0.2093	0.99973	False
APP_CRISPRi_sgRNA_1	APP	760.78/839.56	1187.4/1058	800.17	1122.7	0.48806	3103.1	73943	1.186	0.88201	0.11799	0.23599	0.99973	True
VCP_CRISPRi_sgRNA_1	VCP	770.34/721.85	488.07/408.6	746.09	448.34	-0.73349	1175.6	65797	1.1687	0.12127	0.87873	0.24254	0.99973	False
VCP_CRISPRi_sgRNA_2	VCP	763.17/770.49	413.22/512.64	766.83	462.93	-0.72688	26.784	68876	1.1655	0.12191	0.87809	0.24382	0.99973	False
Non_Targeting_86	Non	658.07/710.17	246.09/579.76	684.12	412.92	-0.72699	1357.4	56939	1.1452	0.12606	0.87394	0.25211	0.99973	False
SPI1_CRISPRi_sgRNA_2	SPI1	696.29/692.66	400.92/445.52	694.47	423.22	-0.71319	6.575	58383	1.131	0.12903	0.87097	0.25806	0.99973	False
TLR7_CRISPRi_sgRNA_4	TLR7	586.41/517.55	229.68/436.29	551.98	332.99	-0.72744	2370.9	39816	1.1088	0.13375	0.86625	0.26751	0.99973	False
LPAR2_CRISPRi_sgRNA_2	LPAR2	512.36/646.94	237.88/471.53	579.65	354.71	-0.70698	9055.3	43196	1.0926	0.13728	0.86272	0.27455	0.99973	False
TGFBI_CRISPRi_sgRNA_2	TGFBI	976.95/759.79	1300.2/1048.8	868.37	1174.5	0.43519	23580	84754	1.0514	0.85326	0.14674	0.29348	0.99973	True
GPR141_CRISPRi_sgRNA_1	GPR141	754.81/737.41	413.22/578.08	746.11	495.65	-0.58909	151.33	65800	0.98254	0.16292	0.83708	0.32583	0.99973	False
CLEC7A_CRISPRi_sgRNA_4	CLEC7A	605.52/620.67	357.85/447.2	613.1	402.52	-0.60581	114.79	47429	0.97506	0.16476	0.83524	0.32953	0.99973	False
DPYD_CRISPRi_sgRNA_4	DPYD	861.1/748.11	1135.1/1005.1	804.61	1070.1	0.41096	6383.4	74629	0.97188	0.83418	0.16582	0.33164	0.99973	True
CD226_CRISPRi_sgRNA_1	CD226	249.61/324.93	116.89/239.12	287.27	178.01	-0.68742	2836.2	13433	0.96444	0.16741	0.83259	0.33483	0.99973	False
TGFBI_CRISPRi_sgRNA_1	TGFBI	1039.1/833.72	1321.7/1139.4	936.39	1230.5	0.39374	21081	96120	0.94877	0.82841	0.17159	0.34317	0.99973	True
CLEC7A_CRISPRi_sgRNA_5	CLEC7A	558.94/788	437.83/469.85	673.47	453.84	-0.5684	26234	55468	0.93935	0.17377	0.82623	0.34755	0.99973	False
SPI1_CRISPRi_sgRNA_4	SPI1	681.96/705.31	513.71/429.58	693.63	471.64	-0.5555	272.67	58265	0.92608	0.1772	0.8228	0.35441	0.99973	False
SCIMP_CRISPRi_sgRNA_5	SCIMP	611.49/731.57	912.57/865.03	671.53	888.8	0.40388	7210.1	55203	0.92473	0.82207	0.17793	0.35587	0.99973	True
Non_Targeting_59	Non	607.91/651.8	381.43/472.37	629.86	426.9	-0.56003	963.34	49610	0.91852	0.17917	0.82083	0.35834	0.99973	False
C1QB_CRISPRi_sgRNA_2	C1QB	617.46/528.25	788.5/730.79	572.86	759.64	0.40653	3979.3	42356	0.90759	0.81746	0.18254	0.36508	0.99973	True
FCGR2C_CRISPRi_sgRNA_1	FCGR2C	800.19/741.3	478.84/592.35	770.75	535.6	-0.5243	1734	69464	0.89748	0.18473	0.81527	0.36946	0.99973	False
FPR3_CRISPRi_sgRNA_3	FPR3	616.27/617.75	340.42/505.09	617.01	422.75	-0.5444	1.1018	47935	0.89458	0.1855	0.8145	0.37101	0.99973	False
CLEC2B_CRISPRi_sgRNA_2	CLEC2B	597.16/736.44	424.5/499.22	666.8	461.86	-0.52885	9699.4	54555	0.88388	0.18838	0.81162	0.37676	0.99973	False
NRP1_CRISPRi_sgRNA_4	NRP1	449.06/772.43	385.54/468.17	610.75	426.85	-0.51582	52284	47127	0.85419	0.1965	0.8035	0.393	0.99973	False
TNFRSF1A_CRISPRi_sgRNA_4	TNFRSF1A	733.31/624.56	355.8/605.77	678.94	480.79	-0.49701	5913.2	56221	0.84167	0.19999	0.80001	0.39997	0.99973	False
Non_Targeting_63	Non	625.82/733.52	455.26/511.8	679.67	483.53	-0.49037	5799.4	56323	0.83237	0.2026	0.7974	0.4052	0.99973	False
Non_Targeting_96	Non	502.81/620.67	320.94/469.85	561.74	395.39	-0.50553	6945.9	40995	0.82933	0.20346	0.79654	0.40692	0.99973	False
GRN_CRISPRi_sgRNA_1	GRN	840.8/752	1045.9/994.24	796.4	1020.1	0.35668	3942.3	73363	0.82571	0.79518	0.20482	0.40964	0.99973	True
FCGR1A_CRISPRi_sgRNA_1	FCGR1A	618.66/720.87	402.97/557.95	669.77	480.46	-0.4784	5224.1	54961	0.8134	0.20799	0.79201	0.41599	0.99973	False
SPP1_CRISPRi_sgRNA_5	SPP1	884.99/772.43	1002.8/1109.2	828.71	1056	0.34928	6334.4	78395	0.81174	0.79121	0.20879	0.41758	0.99973	True
CD300A_CRISPRi_sgRNA_5	CD300A	525.5/585.65	747.49/683.8	555.57	715.64	0.36468	1808.9	40248	0.79787	0.78693	0.21307	0.42614	0.99973	True
CD300C_CRISPRi_sgRNA_3	CD300C	832.44/773.41	1031.5/1009.3	802.92	1020.4	0.34545	1742.4	74368	0.79757	0.7871	0.2129	0.42581	0.99973	True
ITGB2_CRISPRi_sgRNA_5	ITGB2	994.87/773.41	1104.3/1135.2	884.14	1119.8	0.3405	24522	87338	0.79727	0.78706	0.21294	0.42589	0.99973	True
APOC1_CRISPRi_sgRNA_5	APOC1	550.58/632.35	396.81/452.23	591.46	424.52	-0.47749	3342.7	44673	0.79678	0.21279	0.78721	0.42558	0.99973	False
FCGR2B_CRISPRi_sgRNA_3	FCGR2B	789.44/688.77	973.07/907.82	739.11	940.44	0.34714	5067.7	64773	0.79108	0.78516	0.21484	0.42969	0.99973	True
GPR65_CRISPRi_sgRNA_2	GPR65	556.55/681.96	419.37/475.72	619.26	447.55	-0.4676	7863.6	48227	0.78833	0.21525	0.78475	0.43051	0.99973	False
APOC1_CRISPRi_sgRNA_1	APOC1	435.93/644.99	292.23/484.11	540.46	388.17	-0.47645	21854	38441	0.78451	0.21637	0.78363	0.43274	0.99973	False
NRP1_CRISPRi_sgRNA_3	NRP1	718.98/825.94	1060.2/895.23	772.46	977.73	0.33958	5720.3	69721	0.77739	0.78116	0.21884	0.43768	0.99973	True
Non_Targeting_93	Non	439.51/743.25	372.21/487.47	591.38	429.84	-0.45938	46129	44663	0.77112	0.22032	0.77968	0.44063	0.99973	False
TGFBR3_CRISPRi_sgRNA_2	TGFBR3	751.23/728.66	945.38/925.44	739.94	935.41	0.33778	254.7	64895	0.76731	0.77814	0.22186	0.44371	0.99973	True
CD19_CRISPRi_sgRNA_5	CD19	496.84/714.06	422.45/462.3	605.45	442.37	-0.45187	23594	46448	0.76313	0.22269	0.77731	0.44539	0.99973	False
CLEC2B_CRISPRi_sgRNA_3	CLEC2B	435.93/473.77	225.58/431.26	454.85	328.42	-0.46864	716.17	28844	0.75395	0.22544	0.77456	0.45088	0.99973	False
Non_Targeting_3	Non	588.8/718.93	537.29/430.42	653.86	483.85	-0.43365	8466.8	52802	0.74551	0.22798	0.77202	0.45596	0.99973	False
IL15RA_CRISPRi_sgRNA_2	IL15RA	629.41/726.71	514.73/490.83	678.06	502.78	-0.43075	4734.1	56100	0.74539	0.22802	0.77198	0.45604	0.99973	False
ITGAM_CRISPRi_sgRNA_2	ITGAM	750.03/638.18	855.15/889.36	694.11	872.26	0.32917	6255.2	58331	0.73762	0.76916	0.23084	0.46168	0.99973	True
P2RY13_CRISPRi_sgRNA_3	P2RY13	760.78/745.19	415.27/714.01	752.99	564.64	-0.41466	121.46	66815	0.73317	0.23173	0.76827	0.46346	0.99973	False
FCGR1A_CRISPRi_sgRNA_4	FCGR1A	429.95/499.07	266.59/412.8	464.51	339.7	-0.45033	2388.2	29871	0.73118	0.23233	0.76767	0.46467	0.99973	False
ABCA7_CRISPRi_sgRNA_2	ABCA7	930.37/753.95	1078.7/1018.6	842.16	1048.6	0.31599	15563	80530	0.72755	0.7662	0.2338	0.46759	0.99973	True
CHRNE_CRISPRi_sgRNA_1	CHRNE	698.68/821.08	607.01/537.81	759.88	572.41	-0.40809	7490.9	67837	0.72415	0.23449	0.76551	0.46898	0.99973	False
UNC13D_CRISPRi_sgRNA_4	UNC13D	599.55/499.07	737.23/645.21	549.31	691.22	0.33099	5048.3	39495	0.71409	0.76173	0.23827	0.47653	0.99973	True
P2RY13_CRISPRi_sgRNA_4	P2RY13	742.87/723.79	435.78/672.89	733.33	554.34	-0.40307	181.91	63931	0.7125	0.23808	0.76192	0.47616	0.99973	False
LRRK2_CRISPRi_sgRNA_3	LRRK2	765.56/786.05	1092/833.98	775.81	963	0.31147	210.04	70226	0.70638	0.75961	0.24039	0.48078	0.99973	True
