id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD52	5	5.8674e-06	4.9803e-06	0.001031	1	4	-0.58227	0.97305	0.97257	0.999746	199	0	-0.58227
FCER1G	5	2.2431e-05	3.4862e-05	0.003608	2	4	-0.50034	0.9998	0.99975	0.999746	207	0	-0.50034
TREM1	5	0.00032089	0.00085164	0.058763	3	3	-0.38928	0.95867	0.95796	0.999746	193	0	-0.38928
P2RY12	5	0.0031734	0.0067483	0.349227	4	2	-0.27128	0.77233	0.77108	0.999746	145	0	-0.27128
CD44	5	0.0045003	0.0090592	0.375052	5	2	-0.23073	0.58113	0.58066	0.999746	107	0	-0.23073
VLDLR	5	0.015391	0.028054	0.813402	6	1	0.062324	0.59204	0.59106	0.999746	109	0	0.062324
CD300A	5	0.017562	0.031779	0.813402	7	2	-0.23457	0.99979	0.99974	0.999746	206	0	-0.23457
TNFRSF1A	5	0.018942	0.03409	0.813402	8	2	-0.32137	0.99295	0.99233	0.999746	202	0	-0.32137
ADAM10	5	0.019754	0.035365	0.813402	9	2	-0.31395	0.93531	0.93457	0.999746	189	0	-0.31395
IL21R	5	0.037049	0.052169	0.98211	10	1	-0.14743	0.79067	0.7897	0.999746	150	0	-0.14743
CD300LB	5	0.045605	0.059251	0.98211	11	1	-0.15458	0.72557	0.72395	0.999746	136	0	-0.15458
ITM2C	5	0.04986	0.063026	0.98211	12	1	0.052564	0.523	0.52201	0.999746	96	0	0.052564
FCGR2B	5	0.0541	0.066253	0.98211	13	1	-0.097915	0.95582	0.95525	0.999746	191	0	-0.097915
SLC52A1	5	0.058324	0.069759	0.98211	14	1	0.072994	0.30232	0.30286	0.999746	49	0	0.072994
ITGB2	5	0.062534	0.073564	0.98211	15	1	-0.1597	0.83769	0.83681	0.999746	160	0	-0.1597
HLA-DRB5	5	0.066728	0.077021	0.98211	16	1	0.0074342	0.5942	0.59329	0.999746	110	0	0.0074342
PLCB3	5	0.070908	0.080656	0.98211	17	1	-0.037517	0.60483	0.60396	0.999746	112	0	-0.037517
LILRB4	5	0.091581	0.099512	0.999995	18	1	-0.037156	0.82709	0.82616	0.999746	159	0	-0.037156
ILDR1	5	0.095671	0.10312	0.999995	19	1	0.021228	0.79319	0.79223	0.999746	151	0	0.021228
PLCG2	5	0.099746	0.10655	0.999995	20	1	-0.018359	0.46934	0.46846	0.999746	84	0	-0.018359
CR2	5	0.10785	0.11415	0.999995	21	1	-0.12877	0.93331	0.93259	0.999746	186	0	-0.12877
CD48	5	0.11188	0.11771	0.999995	22	1	-0.067011	0.95691	0.95629	0.999746	192	0	-0.067011
CD58	5	0.1159	0.12132	0.999995	23	1	-0.17545	0.90379	0.90295	0.999746	172	0	-0.17545
FLT1	5	0.1199	0.12533	0.999995	24	1	-0.1426	0.52788	0.52738	0.999746	97	0	-0.1426
TP53	5	0.12389	0.12874	0.999995	25	1	0.17168	0.42814	0.42787	0.999746	73	0	0.17168
IL1R2	5	0.13182	0.13593	0.999995	26	1	-0.062803	0.30563	0.30599	0.999746	50	0	-0.062803
BIN1	5	0.13577	0.13948	0.999995	27	1	-0.12236	0.95969	0.95886	0.999746	195	0	-0.12236
TLR4	5	0.1397	0.14341	0.999995	28	1	0.076356	0.25812	0.25895	0.999746	42	0	0.076356
IFNGR1	5	0.14361	0.14722	0.999995	29	1	0.0051188	0.45588	0.45519	0.999746	82	0	0.0051188
TGFB1	5	0.14752	0.15098	0.999995	30	1	-0.048137	0.32846	0.32923	0.999746	53	0	-0.048137
TLR10	5	0.15528	0.15856	0.999995	31	1	-0.034928	0.62342	0.62272	0.999746	118	0	-0.034928
LAPTM5	5	0.16298	0.16596	0.999995	32	1	-0.17184	0.99578	0.99534	0.999746	204	0	-0.17184
CD40	5	0.16681	0.16937	0.999995	33	1	-0.067011	0.36312	0.36311	0.999746	59	0	-0.067011
CSF2RB	5	0.17063	0.1732	0.999995	34	1	0.0073189	0.85826	0.85795	0.999746	162	0	0.0073189
LPL	5	0.17443	0.17701	0.999995	35	1	0.0059846	0.75273	0.75176	0.999746	142	0	0.0059846
IL2RG	5	0.17822	0.18061	0.999995	36	1	-0.13409	0.77637	0.77522	0.999746	146	0	-0.13409
C1QA	5	0.18199	0.18391	0.999995	37	1	-0.024913	0.80663	0.80526	0.999746	155	0	-0.024913
GRN	5	0.1895	0.19089	0.999995	38	1	-0.077344	0.44768	0.4474	0.999746	79	0	-0.077344
GPR141	5	0.19323	0.19467	0.999995	39	1	-0.096119	0.68039	0.679	0.999746	127	0	-0.096119
FCGR2C	5	0.19695	0.19858	0.999995	40	1	-0.041352	0.78035	0.77949	0.999746	147	0	-0.041352
TARDBP	5	0.21898	0.22015	0.999995	41	1	0.12505	0.34124	0.3422	0.999746	56	0	0.12505
ITM2B	5	0.22261	0.22443	0.999995	42	1	-0.058037	0.98005	0.97949	0.999746	200	0	-0.058037
FCGR3B	5	0.22622	0.22802	0.999995	43	1	-0.084795	0.41096	0.41134	0.999746	70	0	-0.084795
CD226	5	0.22982	0.23143	0.999995	44	0	0.0011989	0.91167	0.91084	0.999746	177	0	0.0011989
VCP	5	0.24053	0.24175	0.999995	45	0	-0.07787	0.71438	0.71244	0.999746	132	0	-0.07787
FCGR3A	5	0.2476	0.24846	0.999995	46	0	-0.07678	0.92195	0.921	0.999746	182	0	-0.07678
TLR7	5	0.25112	0.25194	0.999995	47	0	-0.15487	0.99079	0.98997	0.999746	201	0	-0.15487
PTPRE	5	0.25462	0.25547	0.999995	48	0	0.0026147	0.24407	0.24499	0.999746	38	0	0.0026147
CLU	5	0.25812	0.25895	0.999995	49	0	-0.18068	0.53511	0.53438	0.999746	100	0	-0.18068
IRF8	5	0.26159	0.26218	0.999995	50	0	0.0057186	0.86641	0.86573	0.999746	164	0	0.0057186
FOLR2	5	0.26506	0.26604	0.999995	51	0	-0.14764	0.99789	0.99764	0.999746	205	0	-0.14764
SNCA	5	0.26851	0.26949	0.999995	52	0	-0.08997	0.99412	0.99354	0.999746	203	0	-0.08997
CSF1R	5	0.27538	0.27587	0.999995	53	0	-0.13233	0.97256	0.97215	0.999746	197	0	-0.13233
AIF1	5	0.27879	0.27933	0.999995	54	0	-0.048012	0.23697	0.23821	0.999746	37	0	-0.048012
LILRA5	5	0.28895	0.29003	0.999995	55	0	0.062587	0.51064	0.50998	0.999746	95	0	0.062587
C1QC	5	0.30232	0.30286	0.999995	56	0	-0.15323	0.92021	0.91931	0.999746	180	0	-0.15323
CD33	5	0.30563	0.30599	0.999995	57	0	-0.13409	0.58333	0.58269	0.999746	108	0	-0.13409
TGFBI	5	0.31222	0.31273	0.999995	58	0	-0.173	0.90647	0.90541	0.999746	174	0	-0.173
SPP1	5	0.31549	0.31609	0.999995	59	0	-0.11118	0.65662	0.6562	0.999746	123	0	-0.11118
IL2RA	5	0.31875	0.31931	0.999995	60	0	0.082587	0.27538	0.27587	0.999746	45	0	0.082587
SLC16A5	5	0.32524	0.32567	0.999995	61	0	0.064338	0.68918	0.6877	0.999746	130	0	0.064338
DPYD	5	0.33167	0.3326	0.999995	62	0	0.09417	0.60694	0.60575	0.999746	113	0	0.09417
CLDN7	5	0.33487	0.33592	0.999995	63	0	0.012352	0.472	0.47136	0.999746	85	0	0.012352
CD14	5	0.33806	0.33897	0.999995	64	0	-0.26928	0.90845	0.90732	0.999746	175	0	-0.26928
CHRNE	5	0.34124	0.3422	0.999995	65	0	-0.070164	0.79569	0.79476	0.999746	153	0	-0.070164
LPAR2	5	0.35069	0.35143	0.999995	66	0	-0.029433	0.67861	0.67732	0.999746	126	0	-0.029433
SIRPA	5	0.35381	0.35453	0.999995	67	0	-0.10513	0.70783	0.70593	0.999746	131	0	-0.10513
NFATC1	5	0.36003	0.36045	0.999995	68	0	-0.015046	0.39337	0.39398	0.999746	66	0	-0.015046
SIGLEC7	5	0.37839	0.37859	0.999995	69	0	0.073175	0.74982	0.74917	0.999746	141	0	0.073175
PILRA	5	0.38442	0.38456	0.999995	70	0	-0.052581	0.72082	0.71899	0.999746	135	0	-0.052581
CEMIP2	5	0.38741	0.38761	0.999995	71	0	-0.038287	0.38741	0.38761	0.999746	64	0	-0.038287
IL23A	5	0.3904	0.39087	0.999995	72	0	-0.060699	0.56318	0.56261	0.999746	103	0	-0.060699
TLR2	5	0.39337	0.39398	0.999995	73	0	0.091583	0.18199	0.18293	0.999746	28	0	0.091583
IL15RA	5	0.39928	0.39963	0.999995	74	0	0.059499	0.3904	0.39087	0.999746	65	0	0.059499
SPI1	5	0.40222	0.40225	0.999995	75	0	-0.09661	0.78685	0.78617	0.999746	149	0	-0.09661
CLIC1	5	0.41096	0.41134	0.999995	76	0	-0.023527	0.27195	0.27273	0.999746	44	0	-0.023527
TYRO3	5	0.42246	0.42217	0.999995	77	0	-0.16649	0.4196	0.41943	0.999746	71	0	-0.16649
MRC1	5	0.42814	0.42787	0.999995	78	0	-0.059001	0.25112	0.25194	0.999746	40	0	-0.059001
NRP1	5	0.43096	0.43056	0.999995	79	0	-0.18684	0.87248	0.87198	0.999746	165	0	-0.18684
ITGA5	5	0.43937	0.43909	0.999995	80	0	0.12161	0.72714	0.7256	0.999746	137	0	0.12161
ADGRG1	5	0.44492	0.44424	0.999995	81	0	0.046725	0.49802	0.4973	0.999746	91	0	0.046725
CXCR4	5	0.45042	0.44993	0.999995	82	0	-0.020314	0.16681	0.16756	0.999746	25	0	-0.020314
FERMT3	5	0.45316	0.4525	0.999995	83	0	-0.097174	0.88318	0.88275	0.999746	166	0	-0.097174
FCGR1A	5	0.4586	0.45772	0.999995	84	0	-0.16353	0.716	0.71417	0.999746	133	0	-0.16353
P2RY6	5	0.4613	0.46039	0.999995	85	0	-0.043781	0.062534	0.063903	0.999746	9	1	-0.043781
CXCR3	5	0.46934	0.46846	0.999995	86	0	0.1518	0.43937	0.43909	0.999746	76	0	0.1518
ICAM1	5	0.472	0.47136	0.999995	87	0	0.060484	0.45316	0.4525	0.999746	81	0	0.060484
SIGLEC5	5	0.47729	0.47642	0.999995	88	0	-0.068574	0.26851	0.26949	0.999746	43	0	-0.068574
IL10	5	0.48254	0.48172	0.999995	89	0	0.077482	0.36926	0.3693	0.999746	60	0	0.077482
CLECL1	5	0.48514	0.48433	0.999995	90	0	0.040562	0.16298	0.16399	0.999746	24	0	0.040562
APOC1	5	0.5031	0.5025	0.999995	91	0	-0.017431	0.2476	0.24846	0.999746	39	0	-0.017431
PLAUR	5	0.50562	0.50513	0.999995	92	0	-0.036386	0.62746	0.62663	0.999746	119	0	-0.036386
MMP9	5	0.50814	0.50775	0.999995	93	0	-0.040537	0.93021	0.92933	0.999746	183	0	-0.040537
ACTB	5	0.51064	0.50998	0.999995	94	0	-0.055896	0.95901	0.95824	0.999746	194	0	-0.055896
MS4A6A	5	0.51313	0.51258	0.999995	95	0	0.025179	0.84077	0.84003	0.999746	161	0	0.025179
NLRP3	5	0.52055	0.51961	0.999995	96	0	-0.040517	0.79816	0.79734	0.999746	154	0	-0.040517
ABI3	5	0.523	0.52201	0.999995	97	0	-0.13561	0.57447	0.57379	0.999746	105	0	-0.13561
C3AR1	5	0.52544	0.52472	0.999995	98	0	-0.031889	0.75988	0.7589	0.999746	144	0	-0.031889
CD300LF	5	0.52788	0.52738	0.999995	99	0	0.057975	0.28558	0.28654	0.999746	48	0	0.057975
CTLA4	5	0.53271	0.5322	0.999995	100	0	-0.13604	0.5031	0.5025	0.999746	93	0	-0.13604
SORL1	5	0.53751	0.53671	0.999995	101	0	-0.011016	0.90173	0.90112	0.999746	169	0	-0.011016
CD19	5	0.54226	0.5416	0.999995	102	0	0.0064147	0.57892	0.57835	0.999746	106	0	0.0064147
APP	5	0.54932	0.54845	0.999995	103	0	0.0039995	0.73943	0.73877	0.999746	139	0	0.0039995
S100A4	5	0.56546	0.56486	0.999995	104	0	-0.029101	0.91356	0.91258	0.999746	178	0	-0.029101
LYVE1	5	0.56772	0.56732	0.999995	105	0	0.11375	0.53989	0.53918	0.999746	101	0	0.11375
GPNMB	5	0.57892	0.57835	0.999995	106	0	-0.062416	0.93229	0.93143	0.999746	185	0	-0.062416
NRP2	5	0.58113	0.58066	0.999995	107	0	0.057412	0.27879	0.27933	0.999746	46	0	0.057412
NPC2	5	0.58333	0.58269	0.999995	108	0	0.16991	0.50056	0.50005	0.999746	92	0	0.16991
P2RY13	5	0.5877	0.58677	0.999995	109	0	-0.03082	0.97155	0.97122	0.999746	196	0	-0.03082
NFATC2	5	0.58988	0.58908	0.999995	110	0	-0.073246	0.92138	0.92055	0.999746	181	0	-0.073246
CDKN2A	5	0.5942	0.59329	0.999995	111	0	0.13502	0.45042	0.44993	0.999746	80	0	0.13502
CLEC2D	5	0.60272	0.602	0.999995	112	0	-0.058812	0.88787	0.88742	0.999746	167	0	-0.058812
ADA2	5	0.61111	0.60998	0.999995	113	0	0.021166	0.48254	0.48172	0.999746	88	0	0.021166
GPR65	5	0.61731	0.61612	0.999995	114	0	-0.018445	0.13577	0.13566	0.999746	21	1	-0.018445
CD69	5	0.61935	0.61831	0.999995	115	0	-0.019154	0.9031	0.9024	0.999746	171	0	-0.019154
HAVCR1	5	0.62544	0.62472	0.999995	116	0	0.0094552	0.13182	0.13183	0.999746	20	1	0.0094552
LRP6	5	0.63344	0.63262	0.999995	117	0	-0.069496	0.75847	0.75755	0.999746	143	0	-0.069496
NLRC4	5	0.63739	0.63645	0.999995	118	0	-0.0096957	0.91664	0.91577	0.999746	179	0	-0.0096957
HEXA	5	0.6413	0.6403	0.999995	119	0	0.08618	0.61525	0.61413	0.999746	116	0	0.08618
SELPLG	5	0.64325	0.6422	0.999995	120	0	0.20544	0.2334	0.23475	0.999746	36	0	0.20544
MRC2	5	0.64903	0.64821	0.999995	121	0	0.056538	0.82159	0.82017	0.999746	157	0	0.056538
CD86	5	0.65094	0.65032	0.999995	122	0	0.028492	0.28219	0.28301	0.999746	47	0	0.028492
ABCA7	5	0.65662	0.6562	0.999995	123	0	0.05072	0.12389	0.12399	0.999746	19	1	0.05072
TNFRSF13C	5	0.6585	0.65795	0.999995	124	0	0.0029105	0.14361	0.14406	0.999746	22	0	0.0029105
CR1	5	0.66037	0.65949	0.999995	125	0	-0.1002	0.90975	0.90853	0.999746	176	0	-0.1002
SERPINA1	5	0.66408	0.66312	0.999995	126	0	-0.098069	0.93964	0.93903	0.999746	190	0	-0.098069
SIGLEC9	5	0.67503	0.67399	0.999995	127	0	-0.0096974	0.93481	0.93405	0.999746	187	0	-0.0096974
CD200R1	5	0.67683	0.67554	0.999995	128	0	-0.049185	0.93073	0.92979	0.999746	184	0	-0.049185
CLN3	5	0.68039	0.679	0.999995	129	0	0.052403	0.37839	0.37859	0.999746	62	0	0.052403
ITGB3	5	0.69091	0.68929	0.999995	130	0	0.19239	0.44492	0.44424	0.999746	78	0	0.19239
CLEC7A	5	0.69436	0.69268	0.999995	131	0	0.092445	0.43658	0.43609	0.999746	75	0	0.092445
CD1D	5	0.70115	0.69923	0.999995	132	0	0.25602	0.091581	0.09239	0.999746	13	1	0.25602
LRRK2	5	0.70617	0.70401	0.999995	133	0	-0.07956	0.66037	0.65949	0.999746	124	0	-0.07956
SELL	5	0.71761	0.71577	0.999995	134	0	-0.0028006	0.47992	0.47914	0.999746	87	0	-0.0028006
RYR1	5	0.72241	0.72069	0.999995	135	0	-0.06019	0.79445	0.79348	0.999746	152	0	-0.06019
GPR183	5	0.7287	0.72712	0.999995	136	0	0.07579	0.48774	0.48689	0.999746	89	0	0.07579
IL15	5	0.7364	0.73552	0.999995	137	0	0.03348	0.17443	0.17554	0.999746	26	0	0.03348
