sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TREM2_CRISPRa_sgRNA_2	TREM2	452.7/416.04	2515.9/2121	434.37	2318.5	2.4135	671.71	52187	8.2475	1	8.3264e-17	1.6653e-16	1.8818e-13	True
TREM2_CRISPRa_sgRNA_5	TREM2	604.54/633.77	2970.6/2306.1	619.15	2638.3	2.0895	426.96	98123	6.446	1	5.8854e-11	1.1771e-10	6.6505e-08	True
TREM2_CRISPRa_sgRNA_4	TREM2	486.86/503.35	2123.2/1810.9	495.1	1967	1.988	135.89	65883	5.7346	1	5.0222e-09	1.0044e-08	3.7834e-06	True
PTPRC_CRISPRa_sgRNA_4	PTPRC	517.23/589.57	1543.7/1517.3	553.4	1530.5	1.4659	2616.8	80333	3.4474	0.99971	0.0002904	0.0005808	0.16408	True
TREM2_CRISPRa_sgRNA_3	TREM2	641.56/606.82	1685.7/1248	624.19	1466.9	1.2314	603.33	99549	2.6708	0.99612	0.0038765	0.007753	0.99981	True
MS4A4A_CRISPRa_sgRNA_3	MS4A4A	648.2/629.45	1542.6/1436.9	638.83	1489.8	1.2203	175.7	1.0375e+05	2.6419	0.99578	0.0042221	0.0084441	0.99981	True
MS4A4A_CRISPRa_sgRNA_1	MS4A4A	718.43/643.47	1461.4/1532.9	680.95	1497.1	1.1354	2809.8	1.1625e+05	2.3938	0.99147	0.008532	0.017064	0.99981	True
ABCA1_CRISPRa_sgRNA_1	ABCA1	539.06/485.02	1265.6/873.98	512.04	1069.8	1.0615	1459.9	69951	2.1088	0.98204	0.017957	0.035914	0.99981	True
TREM2_CRISPRa_sgRNA_1	TREM2	703.25/739.39	1526.4/1397.2	721.32	1461.8	1.018	653.35	1.2882e+05	2.0631	0.98	0.019997	0.039993	0.99981	True
ITGAX_CRISPRa_sgRNA_5	ITGAX	539.06/582.03	1189.5/736.39	560.54	962.92	0.77952	923.22	82189	1.4035	0.91769	0.082308	0.16462	0.99981	True
