sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
Non_Targeting_95	Non	751.02/750.31	1037.2/8464.7	750.66	4751	2.6604	0.24651	36391	20.97	1	6.1863e-98	1.2373e-97	1.3981e-94	True
TREM2_CRISPRi_sgRNA_3	TREM2	3760.7/3252.6	206.51/302.21	3506.6	254.36	-3.7799	1.2908e+05	4.1248e+05	5.0873	1.8161e-07	1	3.6322e-07	0.00020522	False
TREM2_CRISPRi_sgRNA_2	TREM2	2871.1/2767.9	170.67/267.16	2819.5	218.92	-3.6809	5329.7	2.924e+05	4.8353	6.6473e-07	1	1.3295e-06	0.00050076	False
TREM2_CRISPRi_sgRNA_5	TREM2	3176/2418.5	286.66/347.68	2797.2	317.17	-3.1367	2.8693e+05	2.8876e+05	4.6257	1.8663e-06	1	3.7327e-06	0.0010545	False
TYROBP_CRISPRi_sgRNA_1	TYROBP	2079.2/2436.4	215.94/309.79	2257.8	262.86	-3.0977	63792	2.0597e+05	4.4089	5.1941e-06	0.99999	1.0388e-05	0.0023477	False
TYROBP_CRISPRi_sgRNA_4	TYROBP	1344.9/1784.2	178.22/237.79	1564.6	208	-2.9051	96487	1.1555e+05	4.0063	3.0844e-05	0.99997	6.1689e-05	0.011618	False
TREM2_CRISPRi_sgRNA_4	TREM2	2314.4/1844.1	413.96/430.1	2079.2	422.03	-2.2979	1.106e+05	1.8088e+05	3.8991	4.8281e-05	0.99995	9.6563e-05	0.015588	False
TYROBP_CRISPRi_sgRNA_2	TYROBP	1381.2/1511.4	284.77/233.05	1446.3	258.91	-2.4773	8475.7	1.021e+05	3.7237	9.8161e-05	0.9999	0.00019632	0.027731	False
TREM2_CRISPRi_sgRNA_1	TREM2	1877.5/1811.8	385.67/464.21	1844.6	424.94	-2.1154	2163.3	1.4978e+05	3.6703	0.00012111	0.99988	0.00024222	0.028746	False
TYROBP_CRISPRi_sgRNA_5	TYROBP	1738.1/2307.2	498.82/503.05	2022.7	500.94	-2.0114	1.6192e+05	1.7318e+05	3.6578	0.00012719	0.99987	0.00025439	0.028746	False
TYROBP_CRISPRi_sgRNA_3	TYROBP	1381.2/1519.8	298.92/283.26	1450.5	291.09	-2.3131	9601.4	1.0256e+05	3.6255	0.0001442	0.99986	0.0002884	0.029626	False
PLCB3_CRISPRi_sgRNA_2	PLCB3	401.53/433.2	654.41/835.57	417.36	744.99	0.8344	501.25	14490	2.7217	0.99675	0.003248	0.006496	0.61171	True
SPI1_CRISPRi_sgRNA_5	SPI1	738.93/585.17	216.88/274.74	662.05	245.81	-1.4257	11821	29876	2.4111	0.0079524	0.99205	0.015905	0.99961	False
SPI1_CRISPRi_sgRNA_1	SPI1	711.05/609.11	245.17/270	660.08	257.58	-1.3542	5196.1	29736	2.3366	0.0097312	0.99027	0.019462	0.99961	False
SPI1_CRISPRi_sgRNA_3	SPI1	750.09/546.88	259.31/324	648.48	291.65	-1.1501	20647	28920	2.0998	0.017873	0.98213	0.035747	0.99961	False
GRN_CRISPRi_sgRNA_1	GRN	898.8/805.36	1103.3/1477.9	852.08	1290.6	0.59837	4365.7	44410	2.0807	0.98127	0.018729	0.037459	0.99961	True
SPI1_CRISPRi_sgRNA_4	SPI1	747.3/624.66	300.8/362.84	685.98	331.82	-1.0455	7519.6	31588	1.9937	0.023094	0.97691	0.046187	0.99961	False
SPI1_CRISPRi_sgRNA_2	SPI1	517.72/605.52	256.48/274.74	561.62	265.61	-1.0774	3854.3	23077	1.9504	0.025567	0.97443	0.051134	0.99961	False
CD300A_CRISPRi_sgRNA_5	CD300A	510.28/510.98	743.99/826.1	510.63	785.04	0.61951	0.24316	19877	1.9464	0.97419	0.025806	0.051612	0.99961	True
LRP1_CRISPRi_sgRNA_5	LRP1	1289.2/1419.3	764.73/803.36	1354.2	784.05	-0.78767	8459.3	92050	1.8793	0.030099	0.9699	0.060199	0.99961	False
C1QB_CRISPRi_sgRNA_1	C1QB	493.55/532.52	584.63/932.21	513.03	758.42	0.56303	759.25	20024	1.7341	0.95854	0.041457	0.082913	0.99961	True
IRF8_CRISPRi_sgRNA_1	IRF8	546.53/744.33	893.92/972.94	645.43	933.43	0.53159	19562	28706	1.6998	0.95541	0.044586	0.089172	0.99961	True
IRF8_CRISPRi_sgRNA_4	IRF8	633.9/630.65	815.65/1008	632.27	911.82	0.52751	5.2993	27793	1.6768	0.95321	0.046791	0.093582	0.99961	True
ACTB_CRISPRi_sgRNA_5	ACTB	759.38/763.48	992.93/1168.1	761.43	1080.5	0.50438	8.3885	37214	1.6541	0.95094	0.04906	0.09812	0.99961	True
DPYD_CRISPRi_sgRNA_4	DPYD	958.29/877.16	1312.6/1230.6	917.72	1271.6	0.47008	3290.9	49906	1.5841	0.94341	0.056587	0.11317	0.99961	True
CD14_CRISPRi_sgRNA_2	CD14	669.22/691.68	795.85/1103.7	680.45	949.76	0.48048	252.11	31189	1.525	0.93636	0.063639	0.12728	0.99961	True
Non_Targeting_86	Non	697.11/703.64	572.37/282.31	700.37	427.34	-0.71142	21.367	32636	1.5117	0.065299	0.9347	0.1306	0.99961	False
IL15RA_CRISPRi_sgRNA_2	IL15RA	495.41/628.25	802.45/779.68	561.83	791.07	0.49292	8823.6	23090	1.5086	0.93429	0.065713	0.13143	0.99961	True
Non_Targeting_37	Non	753.8/825.7	1260.7/917.05	789.75	1088.9	0.46288	2584.8	39413	1.5068	0.93406	0.065937	0.13187	0.99961	True
HLA-DRB5_CRISPRi_sgRNA_2	HLA-DRB5	698.96/759.89	855.26/1144.4	729.43	999.84	0.4544	1855.7	34787	1.4498	0.92644	0.073557	0.14711	0.99961	True
SELPLG_CRISPRi_sgRNA_3	SELPLG	748.23/840.06	1058.9/1103.7	794.15	1081.3	0.44482	4217	39758	1.4402	0.92509	0.074911	0.14982	0.99961	True
CSF1R_CRISPRi_sgRNA_4	CSF1R	793.77/860.41	1101.4/1143.5	827.09	1122.4	0.44004	2220.2	42380	1.4346	0.92429	0.075706	0.15141	0.99961	True
DPYD_CRISPRi_sgRNA_2	DPYD	798.42/902.29	1152.3/1145.4	850.35	1148.8	0.43358	5394.7	44269	1.4186	0.92199	0.078014	0.15603	0.99961	True
TYRO3_CRISPRi_sgRNA_4	TYRO3	858.83/796.98	1006.1/1227.8	827.91	1117	0.43158	1912.8	42446	1.403	0.91969	0.080315	0.16063	0.99961	True
NFATC2_CRISPRi_sgRNA_2	NFATC2	825.37/954.94	1062.7/1321.6	890.16	1192.1	0.42101	8394.3	47569	1.3846	0.91691	0.083094	0.16619	0.99961	True
IRF8_CRISPRi_sgRNA_5	IRF8	667.36/720.4	950.49/925.57	693.88	938.03	0.43441	1406.3	32162	1.3614	0.91331	0.086693	0.17339	0.99961	True
PLAUR_CRISPRi_sgRNA_5	PLAUR	820.73/892.72	1023.1/1264.7	856.72	1143.9	0.41666	2591.4	44791	1.357	0.91261	0.087392	0.17478	0.99961	True
GPR183_CRISPRi_sgRNA_3	GPR183	742.65/794.59	604.43/425.37	768.62	514.9	-0.57706	1348.9	37768	1.3058	0.095818	0.90418	0.19164	0.99961	False
Non_Targeting_94	Non	793.77/871.18	724.19/405.47	832.47	564.83	-0.55877	2995.8	42814	1.2936	0.097894	0.90211	0.19579	0.99961	False
SIGLEC9_CRISPRi_sgRNA_3	SIGLEC9	843.96/798.18	614.8/498.31	821.07	556.56	-0.56014	1048	41896	1.2924	0.098102	0.9019	0.1962	0.99961	False
ITGAM_CRISPRi_sgRNA_1	ITGAM	652.49/704.84	938.24/867.79	678.67	903.01	0.41151	1370.2	31061	1.2729	0.89847	0.10153	0.20305	0.99961	True
Non_Targeting_8	Non	677.59/801.77	952.38/1004.2	739.68	978.29	0.40289	7710.7	35558	1.2654	0.89713	0.10287	0.20574	0.99961	True
ADGRG1_CRISPRi_sgRNA_4	ADGRG1	614.38/706.04	987.27/761.68	660.21	874.47	0.40496	4200.2	29745	1.2423	0.89294	0.10706	0.21412	0.99961	True
CD48_CRISPRi_sgRNA_4	CD48	1133/1096.2	839.23/756.94	1114.6	798.08	-0.48139	679.99	67750	1.216	0.11199	0.88801	0.22398	0.99961	False
CLDN7_CRISPRi_sgRNA_2	CLDN7	638.55/604.32	684.58/950.21	621.43	817.39	0.39487	585.84	27049	1.1915	0.88326	0.11674	0.23348	0.99961	True
ILDR1_CRISPRi_sgRNA_5	ILDR1	592.08/673.73	792.08/868.73	632.9	830.41	0.3913	3333.4	27836	1.1838	0.88174	0.11826	0.23652	0.99961	True
FCGR1A_CRISPRi_sgRNA_3	FCGR1A	501.92/646.2	495.99/287.05	574.06	391.52	-0.55094	10409	23884	1.1816	0.11868	0.88132	0.23737	0.99961	False
SIGLEC9_CRISPRi_sgRNA_2	SIGLEC9	765.89/935.8	671.38/533.37	850.84	602.37	-0.49754	14435	44309	1.1805	0.1189	0.8811	0.2378	0.99961	False
SQSTM1_CRISPRi_sgRNA_2	SQSTM1	655.28/852.03	1025/934.1	753.65	979.54	0.37777	19355	36619	1.1804	0.88108	0.11892	0.23784	0.99961	True
PILRA_CRISPRi_sgRNA_1	PILRA	725.92/588.76	981.61/738	657.34	859.8	0.38685	9406	29542	1.1779	0.88058	0.11942	0.23884	0.99961	True
SELPLG_CRISPRi_sgRNA_2	SELPLG	746.37/877.16	1102.3/998.52	811.76	1050.4	0.37142	8553.3	41152	1.1764	0.88028	0.11972	0.23943	0.99961	True
SNCA_CRISPRi_sgRNA_3	SNCA	939.7/858.01	726.07/557.05	898.86	641.56	-0.48586	3336.2	48302	1.1708	0.12084	0.87916	0.24168	0.99961	False
CD226_CRISPRi_sgRNA_3	CD226	751.94/807.75	722.3/381.79	779.85	552.04	-0.49765	1557.3	38639	1.1591	0.12321	0.87679	0.24643	0.99961	False
PILRB_CRISPRi_sgRNA_4	PILRB	634.83/531.32	705.33/821.36	583.08	763.35	0.38807	5357	24475	1.1523	0.87539	0.12461	0.24923	0.99961	True
ITGB2_CRISPRi_sgRNA_3	ITGB2	694.32/558.85	434.7/440.52	626.58	437.61	-0.51686	9176.3	27401	1.1419	0.12675	0.87325	0.2535	0.99961	False
Non_Targeting_55	Non	738/685.69	614.8/392.21	711.85	503.51	-0.49872	1368.2	33479	1.1389	0.12738	0.87262	0.25476	0.99961	False
CD80_CRISPRi_sgRNA_5	CD80	816.08/673.73	545.97/514.42	744.9	530.19	-0.48975	10132	35953	1.1325	0.12871	0.87129	0.25741	0.99961	False
